"STE_CODE16","age_group","sex","year_range","bmi_categories","p","uncertainty"
1,"2-4","male","2017-2018","underweight",0.05,1
1,"2-4","male","2017-2018","normal",0.69,1
1,"2-4","male","2017-2018","overweight",0.16,1
1,"2-4","male","2017-2018","obese",0.05,1
1,"2-4","female","2017-2018","underweight",0.04,1
1,"2-4","female","2017-2018","normal",0.62,1
1,"2-4","female","2017-2018","overweight",0.16,1
1,"2-4","female","2017-2018","obese",0.06,1
1,"5-7","male","2017-2018","underweight",0.11,0
1,"5-7","male","2017-2018","normal",0.59,1
1,"5-7","male","2017-2018","overweight",0.2,1
1,"5-7","male","2017-2018","obese",0.1,1
1,"5-7","female","2017-2018","underweight",0.05,1
1,"5-7","female","2017-2018","normal",0.6,1
1,"5-7","female","2017-2018","overweight",0.24,1
1,"5-7","female","2017-2018","obese",0.14,0
1,"8-11","male","2017-2018","underweight",0.13,0
1,"8-11","male","2017-2018","normal",0.56,1
1,"8-11","male","2017-2018","overweight",0.23,0
1,"8-11","male","2017-2018","obese",0.03,1
1,"8-11","female","2017-2018","underweight",0.16,0
1,"8-11","female","2017-2018","normal",0.72,1
1,"8-11","female","2017-2018","overweight",0.12,0
1,"8-11","female","2017-2018","obese",0.06,0
1,"12-15","male","2017-2018","underweight",0.07,1
1,"12-15","male","2017-2018","normal",0.74,1
1,"12-15","male","2017-2018","overweight",0.12,0
1,"12-15","male","2017-2018","obese",0.07,0
1,"12-15","female","2017-2018","underweight",0.12,0
1,"12-15","female","2017-2018","normal",0.7,0
1,"12-15","female","2017-2018","overweight",0.2,0
1,"12-15","female","2017-2018","obese",0.06,0
1,"16-17","male","2017-2018","underweight",0.05,1
1,"16-17","male","2017-2018","normal",0.58,1
1,"16-17","male","2017-2018","overweight",0.14,0
1,"16-17","male","2017-2018","obese",0.08,1
1,"16-17","female","2017-2018","underweight",0.06,1
1,"16-17","female","2017-2018","normal",0.58,1
1,"16-17","female","2017-2018","overweight",0.13,1
1,"16-17","female","2017-2018","obese",0.18,1
2,"2-4","male","2017-2018","underweight",0.03,1
2,"2-4","male","2017-2018","normal",0.69,1
2,"2-4","male","2017-2018","overweight",0.24,1
2,"2-4","male","2017-2018","obese",0.17,1
2,"2-4","female","2017-2018","underweight",0.09,1
2,"2-4","female","2017-2018","normal",0.63,1
2,"2-4","female","2017-2018","overweight",0.16,0
2,"2-4","female","2017-2018","obese",0.07,0
2,"5-7","male","2017-2018","underweight",0.12,1
2,"5-7","male","2017-2018","normal",0.61,1
2,"5-7","male","2017-2018","overweight",0.14,1
2,"5-7","male","2017-2018","obese",0.12,0
2,"5-7","female","2017-2018","underweight",0,0
2,"5-7","female","2017-2018","normal",0.69,1
2,"5-7","female","2017-2018","overweight",0.18,1
2,"5-7","female","2017-2018","obese",0.08,1
2,"8-11","male","2017-2018","underweight",0.03,1
2,"8-11","male","2017-2018","normal",0.75,0
2,"8-11","male","2017-2018","overweight",0.16,0
2,"8-11","male","2017-2018","obese",0.03,1
2,"8-11","female","2017-2018","underweight",0.07,1
2,"8-11","female","2017-2018","normal",0.7,1
2,"8-11","female","2017-2018","overweight",0.1,0
2,"8-11","female","2017-2018","obese",0.05,1
2,"12-15","male","2017-2018","underweight",0.02,1
2,"12-15","male","2017-2018","normal",0.85,0
2,"12-15","male","2017-2018","overweight",0.09,0
2,"12-15","male","2017-2018","obese",0.07,0
2,"12-15","female","2017-2018","underweight",0.05,0
2,"12-15","female","2017-2018","normal",0.75,1
2,"12-15","female","2017-2018","overweight",0.17,1
2,"12-15","female","2017-2018","obese",0.06,1
2,"16-17","male","2017-2018","underweight",0.07,1
2,"16-17","male","2017-2018","normal",0.61,1
2,"16-17","male","2017-2018","overweight",0.15,1
2,"16-17","male","2017-2018","obese",0.22,1
2,"16-17","female","2017-2018","underweight",0.04,1
2,"16-17","female","2017-2018","normal",0.72,1
2,"16-17","female","2017-2018","overweight",0.15,1
2,"16-17","female","2017-2018","obese",0,0
3,"2-4","male","2017-2018","underweight",0.2,1
3,"2-4","male","2017-2018","normal",0.63,1
3,"2-4","male","2017-2018","overweight",0.08,1
3,"2-4","male","2017-2018","obese",0.05,1
3,"2-4","female","2017-2018","underweight",0.07,0
3,"2-4","female","2017-2018","normal",0.66,1
3,"2-4","female","2017-2018","overweight",0.16,0
3,"2-4","female","2017-2018","obese",0.11,0
3,"5-7","male","2017-2018","underweight",0.07,0
3,"5-7","male","2017-2018","normal",0.69,1
3,"5-7","male","2017-2018","overweight",0.08,0
3,"5-7","male","2017-2018","obese",0.13,0
3,"5-7","female","2017-2018","underweight",0.03,1
3,"5-7","female","2017-2018","normal",0.61,1
3,"5-7","female","2017-2018","overweight",0.22,1
3,"5-7","female","2017-2018","obese",0.06,0
3,"8-11","male","2017-2018","underweight",0.11,1
3,"8-11","male","2017-2018","normal",0.6,1
3,"8-11","male","2017-2018","overweight",0.25,0
3,"8-11","male","2017-2018","obese",0.08,0
3,"8-11","female","2017-2018","underweight",0.18,1
3,"8-11","female","2017-2018","normal",0.58,1
3,"8-11","female","2017-2018","overweight",0.11,0
3,"8-11","female","2017-2018","obese",0.1,0
3,"12-15","male","2017-2018","underweight",0.04,1
3,"12-15","male","2017-2018","normal",0.66,1
3,"12-15","male","2017-2018","overweight",0.18,0
