"STE_CODE16","age_group","sex","year_range","bmi_categories","p","uncertainty"
1,"18-24","male","2017-2018","underweight",0.04,1
1,"18-24","male","2017-2018","normal",0.41,1
1,"18-24","male","2017-2018","overweight",0.36,1
1,"18-24","male","2017-2018","total_obese",0.16,0
1,"18-24","female","2017-2018","underweight",0.08,1
1,"18-24","female","2017-2018","normal",0.6,1
1,"18-24","female","2017-2018","overweight",0.23,0
1,"18-24","female","2017-2018","total_obese",0.12,0
2,"18-24","male","2017-2018","underweight",0.03,1
2,"18-24","male","2017-2018","normal",0.5,0
2,"18-24","male","2017-2018","overweight",0.36,0
2,"18-24","male","2017-2018","total_obese",0.18,0
2,"18-24","female","2017-2018","underweight",0.02,1
2,"18-24","female","2017-2018","normal",0.6,1
2,"18-24","female","2017-2018","overweight",0.3,1
2,"18-24","female","2017-2018","total_obese",0.14,0
3,"18-24","male","2017-2018","underweight",0.12,0
3,"18-24","male","2017-2018","normal",0.44,0
3,"18-24","male","2017-2018","overweight",0.26,0
3,"18-24","male","2017-2018","total_obese",0.2,0
3,"18-24","female","2017-2018","underweight",0.03,1
3,"18-24","female","2017-2018","normal",0.6,1
3,"18-24","female","2017-2018","overweight",0.21,0
3,"18-24","female","2017-2018","total_obese",0.14,0
4,"18-24","male","2017-2018","underweight",0,0
4,"18-24","male","2017-2018","normal",0.56,1
4,"18-24","male","2017-2018","overweight",0.4,1
4,"18-24","male","2017-2018","total_obese",0.13,0
4,"18-24","female","2017-2018","underweight",0.09,1
4,"18-24","female","2017-2018","normal",0.6,1
4,"18-24","female","2017-2018","overweight",0.28,1
4,"18-24","female","2017-2018","total_obese",0.09,1
5,"18-24","male","2017-2018","underweight",0,0
5,"18-24","male","2017-2018","normal",0.6,1
5,"18-24","male","2017-2018","overweight",0.36,1
5,"18-24","male","2017-2018","total_obese",0.22,1
5,"18-24","female","2017-2018","underweight",0.05,1
5,"18-24","female","2017-2018","normal",0.58,1
5,"18-24","female","2017-2018","overweight",0.33,1
5,"18-24","female","2017-2018","total_obese",0.18,1
6,"18-24","male","2017-2018","underweight",0,0
6,"18-24","male","2017-2018","normal",0.4,1
6,"18-24","male","2017-2018","overweight",0.42,1
6,"18-24","male","2017-2018","total_obese",0.2,1
6,"18-24","female","2017-2018","underweight",0,0
6,"18-24","female","2017-2018","normal",0.6,1
6,"18-24","female","2017-2018","overweight",0.16,1
6,"18-24","female","2017-2018","total_obese",0.14,1
7,"18-24","male","2017-2018","underweight",0,0
7,"18-24","male","2017-2018","normal",0.5,1
7,"18-24","male","2017-2018","overweight",0.35,1
7,"18-24","male","2017-2018","total_obese",0.39,1
7,"18-24","female","2017-2018","underweight",0.06,1
7,"18-24","female","2017-2018","normal",0.56,1
7,"18-24","female","2017-2018","overweight",0.41,1
7,"18-24","female","2017-2018","total_obese",0.08,1
8,"18-24","male","2017-2018","underweight",0,0
8,"18-24","male","2017-2018","normal",0.66,1
8,"18-24","male","2017-2018","overweight",0.31,1
8,"18-24","male","2017-2018","total_obese",0.07,1
8,"18-24","female","2017-2018","underweight",0,0
8,"18-24","female","2017-2018","normal",0.58,1
8,"18-24","female","2017-2018","overweight",0.22,1
8,"18-24","female","2017-2018","total_obese",0.17,1
