"STE_CODE16","age_group","sex","year_range","bmi_categories","n","p"
1,"18-24","male","2017-2018","underweight",9999999,"9999999"
1,"18-24","male","2017-2018","normal",153000,"NULL"
1,"18-24","male","2017-2018","overweight",134000,"NULL"
1,"18-24","male","2017-2018","total_obese",61100,"0.16"
1,"18-24","female","2017-2018","underweight",9999999,"9999999"
1,"18-24","female","2017-2018","normal",202600,"NULL"
1,"18-24","female","2017-2018","overweight",76900,"0.23"
1,"18-24","female","2017-2018","total_obese",40500,"0.12"
2,"18-24","male","2017-2018","underweight",9999999,"9999999"
2,"18-24","male","2017-2018","normal",147800,"0.5"
2,"18-24","male","2017-2018","overweight",112200,"0.36"
2,"18-24","male","2017-2018","total_obese",56400,"0.18"
2,"18-24","female","2017-2018","underweight",9999999,"9999999"
2,"18-24","female","2017-2018","normal",163500,"NULL"
2,"18-24","female","2017-2018","overweight",92500,"NULL"
2,"18-24","female","2017-2018","total_obese",44800,"0.14"
3,"18-24","male","2017-2018","underweight",28100,"0.12"
3,"18-24","male","2017-2018","normal",101500,"0.44"
3,"18-24","male","2017-2018","overweight",59700,"0.26"
3,"18-24","male","2017-2018","total_obese",45700,"0.2"
3,"18-24","female","2017-2018","underweight",9999999,"9999999"
3,"18-24","female","2017-2018","normal",131800,"NULL"
3,"18-24","female","2017-2018","overweight",45600,"0.21"
3,"18-24","female","2017-2018","total_obese",29600,"0.14"
4,"18-24","male","2017-2018","underweight",9999999,"9999999"
4,"18-24","male","2017-2018","normal",42000,"NULL"
4,"18-24","male","2017-2018","overweight",30100,"NULL"
4,"18-24","male","2017-2018","total_obese",9800,"0.13"
4,"18-24","female","2017-2018","underweight",9999999,"9999999"
4,"18-24","female","2017-2018","normal",42100,"NULL"
4,"18-24","female","2017-2018","overweight",19700,"NULL"
4,"18-24","female","2017-2018","total_obese",9999999,"9999999"
5,"18-24","male","2017-2018","underweight",9999999,"9999999"
5,"18-24","male","2017-2018","normal",57200,"NULL"
5,"18-24","male","2017-2018","overweight",38400,"NULL"
5,"18-24","male","2017-2018","total_obese",23800,"NULL"
5,"18-24","female","2017-2018","underweight",9999999,"9999999"
5,"18-24","female","2017-2018","normal",58100,"NULL"
5,"18-24","female","2017-2018","overweight",32600,"NULL"
5,"18-24","female","2017-2018","total_obese",17700,"NULL"
6,"18-24","male","2017-2018","underweight",9999999,"9999999"
6,"18-24","male","2017-2018","normal",9200,"NULL"
6,"18-24","male","2017-2018","overweight",9900,"NULL"
6,"18-24","male","2017-2018","total_obese",4700,"NULL"
6,"18-24","female","2017-2018","underweight",9999999,"9999999"
6,"18-24","female","2017-2018","normal",11000,"NULL"
6,"18-24","female","2017-2018","overweight",9999999,"9999999"
6,"18-24","female","2017-2018","total_obese",2900,"NULL"
7,"18-24","male","2017-2018","underweight",9999999,"9999999"
7,"18-24","male","2017-2018","normal",3400,"NULL"
7,"18-24","male","2017-2018","overweight",2600,"NULL"
7,"18-24","male","2017-2018","total_obese",2900,"NULL"
7,"18-24","female","2017-2018","underweight",9999999,"9999999"
7,"18-24","female","2017-2018","normal",3500,"NULL"
7,"18-24","female","2017-2018","overweight",2600,"NULL"
7,"18-24","female","2017-2018","total_obese",9999999,"9999999"
8,"18-24","male","2017-2018","underweight",9999999,"9999999"
8,"18-24","male","2017-2018","normal",12200,"NULL"
8,"18-24","male","2017-2018","overweight",5800,"NULL"
8,"18-24","male","2017-2018","total_obese",9999999,"9999999"
8,"18-24","female","2017-2018","underweight",9999999,"9999999"
8,"18-24","female","2017-2018","normal",11200,"NULL"
8,"18-24","female","2017-2018","overweight",4300,"NULL"
8,"18-24","female","2017-2018","total_obese",3300,"NULL"
