"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n","p"
1,"2-3","male","2017-2018","met_recommendation",85900,"NULL"
1,"2-3","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
1,"4-8","male","2017-2018","met_recommendation",184100,"0.73"
1,"4-8","male","2017-2018","did_not_meet_recommendation",69500,"0.28"
1,"9-11","male","2017-2018","met_recommendation",107900,"NULL"
1,"9-11","male","2017-2018","did_not_meet_recommendation",70300,"NULL"
1,"12-13","male","2017-2018","met_recommendation",61100,"NULL"
1,"12-13","male","2017-2018","did_not_meet_recommendation",45100,"NULL"
1,"14-17","male","2017-2018","met_recommendation",102900,"0.56"
1,"14-17","male","2017-2018","did_not_meet_recommendation",79800,"0.44"
2,"2-3","male","2017-2018","met_recommendation",78400,"NULL"
2,"2-3","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
2,"4-8","male","2017-2018","met_recommendation",152900,"NULL"
2,"4-8","male","2017-2018","did_not_meet_recommendation",44300,"0.22"
2,"9-11","male","2017-2018","met_recommendation",83600,"NULL"
2,"9-11","male","2017-2018","did_not_meet_recommendation",38300,"NULL"
2,"12-13","male","2017-2018","met_recommendation",48400,"NULL"
2,"12-13","male","2017-2018","did_not_meet_recommendation",15400,"NULL"
2,"14-17","male","2017-2018","met_recommendation",92600,"NULL"
2,"14-17","male","2017-2018","did_not_meet_recommendation",53700,"NULL"
3,"2-3","male","2017-2018","met_recommendation",50200,"NULL"
3,"2-3","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
3,"4-8","male","2017-2018","met_recommendation",139900,"0.74"
3,"4-8","male","2017-2018","did_not_meet_recommendation",49800,"0.26"
3,"9-11","male","2017-2018","met_recommendation",64800,"NULL"
3,"9-11","male","2017-2018","did_not_meet_recommendation",28200,"NULL"
3,"12-13","male","2017-2018","met_recommendation",44700,"NULL"
3,"12-13","male","2017-2018","did_not_meet_recommendation",26800,"NULL"
3,"14-17","male","2017-2018","met_recommendation",60500,"NULL"
3,"14-17","male","2017-2018","did_not_meet_recommendation",57000,"NULL"
4,"2-3","male","2017-2018","did_not_meet_recommendation",16700,"0"
4,"4-8","male","2017-2018","did_not_meet_recommendation",51300,"NULL"
4,"9-11","male","2017-2018","did_not_meet_recommendation",23600,"NULL"
4,"12-13","male","2017-2018","did_not_meet_recommendation",9800,"NULL"
4,"14-17","male","2017-2018","did_not_meet_recommendation",19800,"NULL"
5,"2-3","male","2017-2018","met_recommendation",28100,"1"
5,"2-3","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
5,"4-8","male","2017-2018","met_recommendation",78400,"NULL"
5,"4-8","male","2017-2018","did_not_meet_recommendation",15000,"0.18"
5,"9-11","male","2017-2018","met_recommendation",49400,"NULL"
5,"9-11","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
5,"12-13","male","2017-2018","met_recommendation",16700,"NULL"
5,"12-13","male","2017-2018","did_not_meet_recommendation",9800,"NULL"
5,"14-17","male","2017-2018","met_recommendation",28300,"NULL"
