"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","n","p"
1,"2-3","male","2017-2018","met_recommendation",9999999,"9999999"
1,"2-3","male","2017-2018","did_not_meet_recommendation",75300,"NULL"
1,"4-8","male","2017-2018","met_recommendation",8900,"0.04"
1,"4-8","male","2017-2018","did_not_meet_recommendation",245900,"0.97"
1,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
1,"9-11","male","2017-2018","did_not_meet_recommendation",162300,"NULL"
1,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
1,"12-13","male","2017-2018","did_not_meet_recommendation",102300,"1"
1,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
1,"14-17","male","2017-2018","did_not_meet_recommendation",173500,"0.95"
2,"2-3","male","2017-2018","met_recommendation",21400,"NULL"
2,"2-3","male","2017-2018","did_not_meet_recommendation",69200,"NULL"
2,"4-8","male","2017-2018","met_recommendation",9999999,"9999999"
2,"4-8","male","2017-2018","did_not_meet_recommendation",187500,"0.91"
2,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
2,"9-11","male","2017-2018","did_not_meet_recommendation",113100,"NULL"
2,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
2,"12-13","male","2017-2018","did_not_meet_recommendation",70000,"1"
2,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
2,"14-17","male","2017-2018","did_not_meet_recommendation",141000,"NULL"
3,"2-3","male","2017-2018","met_recommendation",9999999,"9999999"
3,"2-3","male","2017-2018","did_not_meet_recommendation",40000,"0.77"
3,"4-8","male","2017-2018","met_recommendation",9999999,"9999999"
3,"4-8","male","2017-2018","did_not_meet_recommendation",187700,"NULL"
3,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
3,"9-11","male","2017-2018","did_not_meet_recommendation",90400,"0.94"
3,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
3,"12-13","male","2017-2018","did_not_meet_recommendation",65100,"0.91"
3,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
3,"14-17","male","2017-2018","did_not_meet_recommendation",111900,"0.97"
4,"2-3","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"4-8","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"9-11","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"12-13","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
4,"14-17","male","2017-2018","did_not_meet_recommendation",9999999,"9999999"
5,"2-3","male","2017-2018","met_recommendation",8500,"NULL"
5,"2-3","male","2017-2018","did_not_meet_recommendation",29800,"NULL"
5,"4-8","male","2017-2018","met_recommendation",9999999,"9999999"
5,"4-8","male","2017-2018","did_not_meet_recommendation",81200,"NULL"
5,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
5,"9-11","male","2017-2018","did_not_meet_recommendation",47900,"0.81"
5,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
5,"12-13","male","2017-2018","did_not_meet_recommendation",26800,"1"
5,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
5,"14-17","male","2017-2018","did_not_meet_recommendation",58500,"0.92"
6,"2-3","male","2017-2018","met_recommendation",9999999,"9999999"
6,"2-3","male","2017-2018","did_not_meet_recommendation",4100,"NULL"
6,"4-8","male","2017-2018","met_recommendation",9999999,"9999999"
6,"4-8","male","2017-2018","did_not_meet_recommendation",17500,"NULL"
6,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
6,"9-11","male","2017-2018","did_not_meet_recommendation",9100,"1"
6,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
6,"12-13","male","2017-2018","did_not_meet_recommendation",7000,"NULL"
6,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
6,"14-17","male","2017-2018","did_not_meet_recommendation",12600,"1"
7,"2-3","male","2017-2018","met_recommendation",600,"NULL"
7,"2-3","male","2017-2018","did_not_meet_recommendation",2600,"NULL"
7,"4-8","male","2017-2018","met_recommendation",9999999,"9999999"
7,"4-8","male","2017-2018","did_not_meet_recommendation",6300,"NULL"
7,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
7,"9-11","male","2017-2018","did_not_meet_recommendation",3800,"NULL"
7,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
7,"12-13","male","2017-2018","did_not_meet_recommendation",3200,"1"
7,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
7,"14-17","male","2017-2018","did_not_meet_recommendation",3900,"NULL"
8,"2-3","male","2017-2018","met_recommendation",1300,"NULL"
8,"2-3","male","2017-2018","did_not_meet_recommendation",6000,"NULL"
8,"4-8","male","2017-2018","met_recommendation",9999999,"9999999"
8,"4-8","male","2017-2018","did_not_meet_recommendation",12300,"1"
8,"9-11","male","2017-2018","met_recommendation",9999999,"9999999"
8,"9-11","male","2017-2018","did_not_meet_recommendation",7700,"1"
8,"12-13","male","2017-2018","met_recommendation",9999999,"9999999"
8,"12-13","male","2017-2018","did_not_meet_recommendation",4400,"1"
8,"14-17","male","2017-2018","met_recommendation",9999999,"9999999"
8,"14-17","male","2017-2018","did_not_meet_recommendation",9400,"1"
1,"2-3","female","2017-2018","met_recommendation",24000,"NULL"
1,"2-3","female","2017-2018","did_not_meet_recommendation",75900,"NULL"
1,"4-8","female","2017-2018","met_recommendation",25100,"0.1"
1,"4-8","female","2017-2018","did_not_meet_recommendation",231400,"0.91"
1,"9-11","female","2017-2018","met_recommendation",12900,"0.09"
1,"9-11","female","2017-2018","did_not_meet_recommendation",133600,"0.9"
1,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
1,"12-13","female","2017-2018","did_not_meet_recommendation",74900,"NULL"
1,"14-17","female","2017-2018","met_recommendation",9999999,"9999999"
1,"14-17","female","2017-2018","did_not_meet_recommendation",168300,"NULL"
2,"2-3","female","2017-2018","met_recommendation",18600,"NULL"
2,"2-3","female","2017-2018","did_not_meet_recommendation",70600,"NULL"
2,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
2,"4-8","female","2017-2018","did_not_meet_recommendation",184700,"NULL"
2,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
2,"9-11","female","2017-2018","did_not_meet_recommendation",100900,"0.85"
2,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
2,"12-13","female","2017-2018","did_not_meet_recommendation",72200,"NULL"
2,"14-17","female","2017-2018","met_recommendation",9999999,"9999999"
2,"14-17","female","2017-2018","did_not_meet_recommendation",122400,"NULL"
3,"2-3","female","2017-2018","met_recommendation",9800,"0.14"
3,"2-3","female","2017-2018","did_not_meet_recommendation",59300,"0.83"
3,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
3,"4-8","female","2017-2018","did_not_meet_recommendation",146200,"0.96"
3,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
3,"9-11","female","2017-2018","did_not_meet_recommendation",89100,"NULL"
3,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
3,"12-13","female","2017-2018","did_not_meet_recommendation",63700,"NULL"
3,"14-17","female","2017-2018","met_recommendation",11400,"0.1"
3,"14-17","female","2017-2018","did_not_meet_recommendation",105700,"0.89"
4,"2-3","female","2017-2018","met_recommendation",9999999,"9999999"
4,"2-3","female","2017-2018","did_not_meet_recommendation",10700,"NULL"
4,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
4,"4-8","female","2017-2018","did_not_meet_recommendation",59600,"NULL"
4,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
4,"9-11","female","2017-2018","did_not_meet_recommendation",28500,"1"
4,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
4,"12-13","female","2017-2018","did_not_meet_recommendation",17600,"NULL"
4,"14-17","female","2017-2018","met_recommendation",9999999,"9999999"
4,"14-17","female","2017-2018","did_not_meet_recommendation",37400,"0.87"
5,"2-3","female","2017-2018","met_recommendation",9999999,"9999999"
5,"2-3","female","2017-2018","did_not_meet_recommendation",25800,"NULL"
5,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
5,"4-8","female","2017-2018","did_not_meet_recommendation",88900,"NULL"
5,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
5,"9-11","female","2017-2018","did_not_meet_recommendation",38900,"0.92"
5,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
5,"12-13","female","2017-2018","did_not_meet_recommendation",29300,"1"
5,"14-17","female","2017-2018","met_recommendation",9999999,"9999999"
5,"14-17","female","2017-2018","did_not_meet_recommendation",48600,"NULL"
6,"2-3","female","2017-2018","met_recommendation",9999999,"9999999"
6,"2-3","female","2017-2018","did_not_meet_recommendation",5900,"NULL"
6,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
6,"4-8","female","2017-2018","did_not_meet_recommendation",14600,"NULL"
6,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
6,"9-11","female","2017-2018","did_not_meet_recommendation",6600,"NULL"
6,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
6,"12-13","female","2017-2018","did_not_meet_recommendation",3800,"1"
6,"14-17","female","2017-2018","met_recommendation",9999999,"9999999"
6,"14-17","female","2017-2018","did_not_meet_recommendation",12400,"NULL"
7,"2-3","female","2017-2018","met_recommendation",9999999,"9999999"
7,"2-3","female","2017-2018","did_not_meet_recommendation",1700,"NULL"
7,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
7,"4-8","female","2017-2018","did_not_meet_recommendation",6300,"1"
7,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
7,"9-11","female","2017-2018","did_not_meet_recommendation",2300,"NULL"
7,"12-13","female","2017-2018","met_recommendation",9999999,"9999999"
7,"12-13","female","2017-2018","did_not_meet_recommendation",2000,"NULL"
7,"14-17","female","2017-2018","met_recommendation",9999999,"9999999"
7,"14-17","female","2017-2018","did_not_meet_recommendation",3900,"NULL"
8,"2-3","female","2017-2018","met_recommendation",1700,"NULL"
8,"2-3","female","2017-2018","did_not_meet_recommendation",3200,"NULL"
8,"4-8","female","2017-2018","met_recommendation",9999999,"9999999"
8,"4-8","female","2017-2018","did_not_meet_recommendation",14200,"NULL"
8,"9-11","female","2017-2018","met_recommendation",9999999,"9999999"
8,"9-11","female","2017-2018","did_not_meet_recommendation",6400,"NULL"
