"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","p"
1,"2-3","male","2017-2018","did_not_consume",61900,"NULL"
1,"2-3","male","2017-2018","1_metric_cup_or_less",9999999,"9999999"
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"2-3","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"4-8","male","2017-2018","did_not_consume",166200,"NULL"
1,"4-8","male","2017-2018","1_metric_cup_or_less",64900,"NULL"
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"4-8","male","2017-2018","2_metric_cups_or_more",14800,"0.06"
1,"9-11","male","2017-2018","did_not_consume",89400,"NULL"
1,"9-11","male","2017-2018","1_metric_cup_or_less",60600,"NULL"
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"9-11","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"12-13","male","2017-2018","did_not_consume",24400,"NULL"
1,"12-13","male","2017-2018","1_metric_cup_or_less",60200,"NULL"
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"12-13","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"14-17","male","2017-2018","did_not_consume",48500,"0.27"
1,"14-17","male","2017-2018","1_metric_cup_or_less",95500,"NULL"
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",19200,"0.1"
1,"14-17","male","2017-2018","2_metric_cups_or_more",14600,"0.08"
2,"2-3","male","2017-2018","did_not_consume",72500,"0.88"
2,"2-3","male","2017-2018","1_metric_cup_or_less",9999999,"9999999"
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"2-3","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"4-8","male","2017-2018","did_not_consume",132700,"0.65"
2,"4-8","male","2017-2018","1_metric_cup_or_less",63700,"0.31"
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"4-8","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"9-11","male","2017-2018","did_not_consume",68400,"NULL"
