"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","n","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",85900,0
1,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
1,"4-8","male","2017-2018","met_recommendation",184100,0
1,"4-8","male","2017-2018","did_not_meet_recommendation",69500,0
1,"9-11","male","2017-2018","met_recommendation",107900,0
1,"9-11","male","2017-2018","did_not_meet_recommendation",70300,0
1,"12-13","male","2017-2018","met_recommendation",61100,0
1,"12-13","male","2017-2018","did_not_meet_recommendation",45100,0
1,"14-17","male","2017-2018","met_recommendation",102900,0
1,"14-17","male","2017-2018","did_not_meet_recommendation",79800,0
2,"2-3","male","2017-2018","met_recommendation",78400,0
2,"2-3","male","2017-2018","did_not_meet_recommendation",4400,2
2,"4-8","male","2017-2018","met_recommendation",152900,0
2,"4-8","male","2017-2018","did_not_meet_recommendation",44300,0
2,"9-11","male","2017-2018","met_recommendation",83600,0
2,"9-11","male","2017-2018","did_not_meet_recommendation",38300,0
2,"12-13","male","2017-2018","met_recommendation",48400,0
2,"12-13","male","2017-2018","did_not_meet_recommendation",15400,1
2,"14-17","male","2017-2018","met_recommendation",92600,0
2,"14-17","male","2017-2018","did_not_meet_recommendation",53700,0
3,"2-3","male","2017-2018","met_recommendation",50200,0
3,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
3,"4-8","male","2017-2018","met_recommendation",139900,0
3,"4-8","male","2017-2018","did_not_meet_recommendation",49800,0
3,"9-11","male","2017-2018","met_recommendation",64800,0
3,"9-11","male","2017-2018","did_not_meet_recommendation",28200,0
3,"12-13","male","2017-2018","met_recommendation",44700,0
3,"12-13","male","2017-2018","did_not_meet_recommendation",26800,0
3,"14-17","male","2017-2018","met_recommendation",60500,0
3,"14-17","male","2017-2018","did_not_meet_recommendation",57000,0
4,"2-3","male","2017-2018","did_not_meet_recommendation",16700,0
4,"4-8","male","2017-2018","did_not_meet_recommendation",51300,0
4,"9-11","male","2017-2018","did_not_meet_recommendation",23600,0
4,"12-13","male","2017-2018","did_not_meet_recommendation",9800,1
4,"14-17","male","2017-2018","did_not_meet_recommendation",19800,0
5,"2-3","male","2017-2018","met_recommendation",28100,0
5,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
5,"4-8","male","2017-2018","met_recommendation",78400,0
5,"4-8","male","2017-2018","did_not_meet_recommendation",15000,1
5,"9-11","male","2017-2018","met_recommendation",49400,0
5,"9-11","male","2017-2018","did_not_meet_recommendation",8600,2
5,"12-13","male","2017-2018","met_recommendation",16700,1
5,"12-13","male","2017-2018","did_not_meet_recommendation",9800,1
