"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
1,"2-3","male","2017-2018","did_not_consume",61900,0
1,"2-3","male","2017-2018","1_metric_cup_or_less",15400,2
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","male","2017-2018","2_metric_cups_or_more",5500,2
1,"4-8","male","2017-2018","did_not_consume",166200,0
1,"4-8","male","2017-2018","1_metric_cup_or_less",64900,1
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","male","2017-2018","2_metric_cups_or_more",14800,1
1,"9-11","male","2017-2018","did_not_consume",89400,0
1,"9-11","male","2017-2018","1_metric_cup_or_less",60600,0
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",4100,2
1,"9-11","male","2017-2018","2_metric_cups_or_more",10700,2
1,"12-13","male","2017-2018","did_not_consume",24400,1
1,"12-13","male","2017-2018","1_metric_cup_or_less",60200,0
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",2800,2
1,"12-13","male","2017-2018","2_metric_cups_or_more",10400,2
1,"14-17","male","2017-2018","did_not_consume",48500,0
1,"14-17","male","2017-2018","1_metric_cup_or_less",95500,0
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",19200,1
1,"14-17","male","2017-2018","2_metric_cups_or_more",14600,1
2,"2-3","male","2017-2018","did_not_consume",72500,0
2,"2-3","male","2017-2018","1_metric_cup_or_less",9100,2
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","male","2017-2018","did_not_consume",132700,0
2,"4-8","male","2017-2018","1_metric_cup_or_less",63700,0
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
2,"9-11","male","2017-2018","did_not_consume",68400,0
2,"9-11","male","2017-2018","1_metric_cup_or_less",59300,0
2,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","male","2017-2018","2_metric_cups_or_more",8200,1
2,"12-13","male","2017-2018","did_not_consume",32000,1
2,"12-13","male","2017-2018","1_metric_cup_or_less",32100,0
2,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",4800,2
2,"12-13","male","2017-2018","2_metric_cups_or_more",2500,2
2,"14-17","male","2017-2018","did_not_consume",52200,0
2,"14-17","male","2017-2018","1_metric_cup_or_less",72600,0
2,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",18900,1
2,"14-17","male","2017-2018","2_metric_cups_or_more",12400,1
3,"2-3","male","2017-2018","did_not_consume",44700,0
3,"2-3","male","2017-2018","1_metric_cup_or_less",4300,2
3,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
3,"4-8","male","2017-2018","did_not_consume",113300,0
3,"4-8","male","2017-2018","1_metric_cup_or_less",66000,0
3,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","male","2017-2018","2_metric_cups_or_more",2800,2
3,"9-11","male","2017-2018","did_not_consume",41200,0
3,"9-11","male","2017-2018","1_metric_cup_or_less",50600,0
3,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
3,"12-13","male","2017-2018","did_not_consume",26700,1
3,"12-13","male","2017-2018","1_metric_cup_or_less",32700,0
3,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",3800,2
3,"12-13","male","2017-2018","2_metric_cups_or_more",3800,2
3,"14-17","male","2017-2018","did_not_consume",32000,0
3,"14-17","male","2017-2018","1_metric_cup_or_less",60000,0
3,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",12100,1
3,"14-17","male","2017-2018","2_metric_cups_or_more",19100,1
4,"2-3","male","2017-2018","1_metric_cup_or_less",10700,1
4,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",3500,2
4,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","male","2017-2018","1_metric_cup_or_less",43900,0
4,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",12400,1
4,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","male","2017-2018","1_metric_cup_or_less",18500,0
4,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9600,1
4,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
4,"12-13","male","2017-2018","1_metric_cup_or_less",4200,2
4,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",10400,1
4,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
4,"14-17","male","2017-2018","1_metric_cup_or_less",12700,1
4,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",17900,0
4,"14-17","male","2017-2018","2_metric_cups_or_more",6300,1
5,"2-3","male","2017-2018","did_not_consume",23800,1
5,"2-3","male","2017-2018","1_metric_cup_or_less",10800,1
5,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
5,"4-8","male","2017-2018","did_not_consume",57300,0
