"STE_CODE16","age_group","sex","year_range","daily_consumption_fruit","p","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",0.89,1
1,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
1,"4-8","male","2017-2018","met_recommendation",0.73,0
1,"4-8","male","2017-2018","did_not_meet_recommendation",0.28,0
1,"9-11","male","2017-2018","met_recommendation",0.64,1
1,"9-11","male","2017-2018","did_not_meet_recommendation",0.42,1
1,"12-13","male","2017-2018","met_recommendation",0.6,1
1,"12-13","male","2017-2018","did_not_meet_recommendation",0.44,1
1,"14-17","male","2017-2018","met_recommendation",0.56,0
1,"14-17","male","2017-2018","did_not_meet_recommendation",0.44,0
2,"2-3","male","2017-2018","met_recommendation",0.95,1
2,"2-3","male","2017-2018","did_not_meet_recommendation",0.05,0
2,"4-8","male","2017-2018","met_recommendation",0.74,1
2,"4-8","male","2017-2018","did_not_meet_recommendation",0.22,0
2,"9-11","male","2017-2018","met_recommendation",0.69,1
2,"9-11","male","2017-2018","did_not_meet_recommendation",0.32,1
2,"12-13","male","2017-2018","met_recommendation",0.69,1
2,"12-13","male","2017-2018","did_not_meet_recommendation",0.22,1
2,"14-17","male","2017-2018","met_recommendation",0.63,1
2,"14-17","male","2017-2018","did_not_meet_recommendation",0.36,1
3,"2-3","male","2017-2018","met_recommendation",0.96,1
3,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
3,"4-8","male","2017-2018","met_recommendation",0.74,0
3,"4-8","male","2017-2018","did_not_meet_recommendation",0.26,0
3,"9-11","male","2017-2018","met_recommendation",0.68,1
3,"9-11","male","2017-2018","did_not_meet_recommendation",0.29,1
3,"12-13","male","2017-2018","met_recommendation",0.62,1
3,"12-13","male","2017-2018","did_not_meet_recommendation",0.37,1
3,"14-17","male","2017-2018","met_recommendation",0.6,1
3,"14-17","male","2017-2018","did_not_meet_recommendation",0.5,1
4,"2-3","male","2017-2018","met_recommendation",1,0
4,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
4,"4-8","male","2017-2018","met_recommendation",0.89,1
4,"4-8","male","2017-2018","did_not_meet_recommendation",0.2,1
4,"9-11","male","2017-2018","met_recommendation",0.85,1
4,"9-11","male","2017-2018","did_not_meet_recommendation",0.31,1
4,"12-13","male","2017-2018","met_recommendation",0.5,1
4,"12-13","male","2017-2018","did_not_meet_recommendation",0.63,1
4,"14-17","male","2017-2018","met_recommendation",0.5,1
4,"14-17","male","2017-2018","did_not_meet_recommendation",0.56,1
5,"2-3","male","2017-2018","met_recommendation",1,0
5,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
5,"4-8","male","2017-2018","met_recommendation",0.95,1
5,"4-8","male","2017-2018","did_not_meet_recommendation",0.18,0
5,"9-11","male","2017-2018","met_recommendation",0.84,1
5,"9-11","male","2017-2018","did_not_meet_recommendation",0.15,1
5,"12-13","male","2017-2018","met_recommendation",0.62,1
5,"12-13","male","2017-2018","did_not_meet_recommendation",0.37,1
5,"14-17","male","2017-2018","met_recommendation",0.44,1
5,"14-17","male","2017-2018","did_not_meet_recommendation",0.6,1
6,"2-3","male","2017-2018","met_recommendation",1,0
6,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
6,"4-8","male","2017-2018","met_recommendation",0.78,1
6,"4-8","male","2017-2018","did_not_meet_recommendation",0.18,1
6,"9-11","male","2017-2018","met_recommendation",0.68,1
6,"9-11","male","2017-2018","did_not_meet_recommendation",0.43,1
6,"12-13","male","2017-2018","met_recommendation",0.66,1
6,"12-13","male","2017-2018","did_not_meet_recommendation",0.28,1
6,"14-17","male","2017-2018","met_recommendation",0.41,1
6,"14-17","male","2017-2018","did_not_meet_recommendation",0.59,1
7,"2-3","male","2017-2018","met_recommendation",0.93,1
7,"2-3","male","2017-2018","did_not_meet_recommendation",0.07,1
7,"4-8","male","2017-2018","met_recommendation",0.82,1
7,"4-8","male","2017-2018","did_not_meet_recommendation",0.23,1
7,"9-11","male","2017-2018","met_recommendation",0.71,1
7,"9-11","male","2017-2018","did_not_meet_recommendation",0.35,1
7,"12-13","male","2017-2018","met_recommendation",0.16,1
7,"12-13","male","2017-2018","did_not_meet_recommendation",0.69,1
7,"14-17","male","2017-2018","met_recommendation",0.37,1
7,"14-17","male","2017-2018","did_not_meet_recommendation",0.5,1
8,"2-3","male","2017-2018","met_recommendation",1.03,1
8,"2-3","male","2017-2018","did_not_meet_recommendation",0,0
8,"4-8","male","2017-2018","met_recommendation",0.8,1
8,"4-8","male","2017-2018","did_not_meet_recommendation",0.18,1
8,"9-11","male","2017-2018","met_recommendation",0.96,1
8,"9-11","male","2017-2018","did_not_meet_recommendation",0.25,1
8,"12-13","male","2017-2018","met_recommendation",0.61,1
8,"12-13","male","2017-2018","did_not_meet_recommendation",0.23,1
8,"14-17","male","2017-2018","met_recommendation",0.39,1
8,"14-17","male","2017-2018","did_not_meet_recommendation",0.64,1
1,"2-3","female","2017-2018","met_recommendation",0.95,1
1,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
1,"4-8","female","2017-2018","met_recommendation",0.76,0
1,"4-8","female","2017-2018","did_not_meet_recommendation",0.2,0
1,"9-11","female","2017-2018","met_recommendation",0.84,0
1,"9-11","female","2017-2018","did_not_meet_recommendation",0.18,0
1,"12-13","female","2017-2018","met_recommendation",0.6,1
1,"12-13","female","2017-2018","did_not_meet_recommendation",0.43,1
1,"14-17","female","2017-2018","met_recommendation",0.64,1
1,"14-17","female","2017-2018","did_not_meet_recommendation",0.34,0
2,"2-3","female","2017-2018","met_recommendation",1.01,1
2,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
2,"4-8","female","2017-2018","met_recommendation",0.78,1
2,"4-8","female","2017-2018","did_not_meet_recommendation",0.2,0
2,"9-11","female","2017-2018","met_recommendation",0.77,1
2,"9-11","female","2017-2018","did_not_meet_recommendation",0.22,1
2,"12-13","female","2017-2018","met_recommendation",0.69,1
2,"12-13","female","2017-2018","did_not_meet_recommendation",0.21,1
2,"14-17","female","2017-2018","met_recommendation",0.66,0
2,"14-17","female","2017-2018","did_not_meet_recommendation",0.33,1
3,"2-3","female","2017-2018","met_recommendation",0.97,0
3,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
3,"4-8","female","2017-2018","met_recommendation",0.81,0
3,"4-8","female","2017-2018","did_not_meet_recommendation",0.19,0
3,"9-11","female","2017-2018","met_recommendation",0.66,1
3,"9-11","female","2017-2018","did_not_meet_recommendation",0.3,1
3,"12-13","female","2017-2018","met_recommendation",0.57,1
3,"12-13","female","2017-2018","did_not_meet_recommendation",0.4,1
3,"14-17","female","2017-2018","met_recommendation",0.6,1
3,"14-17","female","2017-2018","did_not_meet_recommendation",0.43,1
4,"2-3","female","2017-2018","met_recommendation",1,0
4,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
4,"4-8","female","2017-2018","met_recommendation",0.78,1
4,"4-8","female","2017-2018","did_not_meet_recommendation",0.21,1
4,"9-11","female","2017-2018","met_recommendation",0.95,1
4,"9-11","female","2017-2018","did_not_meet_recommendation",0.09,1
4,"12-13","female","2017-2018","met_recommendation",0.45,1
4,"12-13","female","2017-2018","did_not_meet_recommendation",0.4,1
4,"14-17","female","2017-2018","met_recommendation",0.58,1
4,"14-17","female","2017-2018","did_not_meet_recommendation",0.37,1
5,"2-3","female","2017-2018","met_recommendation",0.89,1
5,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
5,"4-8","female","2017-2018","met_recommendation",0.77,1
5,"4-8","female","2017-2018","did_not_meet_recommendation",0.22,1
5,"9-11","female","2017-2018","met_recommendation",0.82,1
5,"9-11","female","2017-2018","did_not_meet_recommendation",0.3,1
5,"12-13","female","2017-2018","met_recommendation",0.6,1
5,"12-13","female","2017-2018","did_not_meet_recommendation",0.33,1
5,"14-17","female","2017-2018","met_recommendation",0.76,1
5,"14-17","female","2017-2018","did_not_meet_recommendation",0.36,1
6,"2-3","female","2017-2018","met_recommendation",1,0
6,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
6,"4-8","female","2017-2018","met_recommendation",0.96,1
6,"4-8","female","2017-2018","did_not_meet_recommendation",0.14,1
6,"9-11","female","2017-2018","met_recommendation",0.58,1
6,"9-11","female","2017-2018","did_not_meet_recommendation",0.31,1
6,"12-13","female","2017-2018","met_recommendation",0.66,1
6,"12-13","female","2017-2018","did_not_meet_recommendation",0.34,1
6,"14-17","female","2017-2018","met_recommendation",0.63,1
6,"14-17","female","2017-2018","did_not_meet_recommendation",0.31,1
7,"2-3","female","2017-2018","met_recommendation",0.96,1
7,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
7,"4-8","female","2017-2018","met_recommendation",0.82,1
7,"4-8","female","2017-2018","did_not_meet_recommendation",0.08,1
7,"9-11","female","2017-2018","met_recommendation",0.9,0
7,"9-11","female","2017-2018","did_not_meet_recommendation",0,0
7,"12-13","female","2017-2018","met_recommendation",0.39,1
7,"12-13","female","2017-2018","did_not_meet_recommendation",0.35,1
7,"14-17","female","2017-2018","met_recommendation",0.72,1
7,"14-17","female","2017-2018","did_not_meet_recommendation",0.42,1
8,"2-3","female","2017-2018","met_recommendation",1,0
8,"2-3","female","2017-2018","did_not_meet_recommendation",0,0
8,"4-8","female","2017-2018","met_recommendation",0.81,1
8,"4-8","female","2017-2018","did_not_meet_recommendation",0.23,1
8,"9-11","female","2017-2018","met_recommendation",0.55,1
8,"9-11","female","2017-2018","did_not_meet_recommendation",0.26,1
8,"12-13","female","2017-2018","met_recommendation",0.34,1
8,"12-13","female","2017-2018","did_not_meet_recommendation",0.6,1
8,"14-17","female","2017-2018","met_recommendation",0.62,1
8,"14-17","female","2017-2018","did_not_meet_recommendation",0.4,1
