"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p","uncertainty"
1,"2-3","male","2017-2018","met_recommendation",0.12,1
1,"2-3","male","2017-2018","did_not_meet_recommendation",0.78,1
1,"4-8","male","2017-2018","met_recommendation",0.04,0
1,"4-8","male","2017-2018","did_not_meet_recommendation",0.97,0
1,"9-11","male","2017-2018","met_recommendation",0.05,1
1,"9-11","male","2017-2018","did_not_meet_recommendation",0.96,1
1,"12-13","male","2017-2018","met_recommendation",0,0
1,"12-13","male","2017-2018","did_not_meet_recommendation",1,0
1,"14-17","male","2017-2018","met_recommendation",0.03,1
1,"14-17","male","2017-2018","did_not_meet_recommendation",0.95,0
2,"2-3","male","2017-2018","met_recommendation",0.26,1
2,"2-3","male","2017-2018","did_not_meet_recommendation",0.84,1
2,"4-8","male","2017-2018","met_recommendation",0.04,1
2,"4-8","male","2017-2018","did_not_meet_recommendation",0.91,0
2,"9-11","male","2017-2018","met_recommendation",0.05,1
2,"9-11","male","2017-2018","did_not_meet_recommendation",0.94,1
2,"12-13","male","2017-2018","met_recommendation",0,0
2,"12-13","male","2017-2018","did_not_meet_recommendation",1,0
2,"14-17","male","2017-2018","met_recommendation",0.04,1
2,"14-17","male","2017-2018","did_not_meet_recommendation",0.95,1
3,"2-3","male","2017-2018","met_recommendation",0.15,1
3,"2-3","male","2017-2018","did_not_meet_recommendation",0.77,0
3,"4-8","male","2017-2018","met_recommendation",0.04,1
3,"4-8","male","2017-2018","did_not_meet_recommendation",1,1
3,"9-11","male","2017-2018","met_recommendation",0.03,1
3,"9-11","male","2017-2018","did_not_meet_recommendation",0.94,0
3,"12-13","male","2017-2018","met_recommendation",0.06,1
3,"12-13","male","2017-2018","did_not_meet_recommendation",0.91,0
3,"14-17","male","2017-2018","met_recommendation",0.04,1
3,"14-17","male","2017-2018","did_not_meet_recommendation",0.97,0
4,"2-3","male","2017-2018","met_recommendation",0.16,1
4,"2-3","male","2017-2018","did_not_meet_recommendation",0.91,1
4,"4-8","male","2017-2018","met_recommendation",0,0
4,"4-8","male","2017-2018","did_not_meet_recommendation",1.03,1
4,"9-11","male","2017-2018","met_recommendation",0,0
4,"9-11","male","2017-2018","did_not_meet_recommendation",1.17,1
4,"12-13","male","2017-2018","met_recommendation",0,0
4,"12-13","male","2017-2018","did_not_meet_recommendation",1,0
4,"14-17","male","2017-2018","met_recommendation",0,0
4,"14-17","male","2017-2018","did_not_meet_recommendation",0.9,0
5,"2-3","male","2017-2018","met_recommendation",0.3,1
5,"2-3","male","2017-2018","did_not_meet_recommendation",1.06,1
5,"4-8","male","2017-2018","met_recommendation",0.05,1
5,"4-8","male","2017-2018","did_not_meet_recommendation",0.99,1
5,"9-11","male","2017-2018","met_recommendation",0,0
5,"9-11","male","2017-2018","did_not_meet_recommendation",0.81,0
5,"12-13","male","2017-2018","met_recommendation",0,0
5,"12-13","male","2017-2018","did_not_meet_recommendation",1,0
5,"14-17","male","2017-2018","met_recommendation",0,0
5,"14-17","male","2017-2018","did_not_meet_recommendation",0.92,0
6,"2-3","male","2017-2018","met_recommendation",0.22,1
6,"2-3","male","2017-2018","did_not_meet_recommendation",0.63,1
6,"4-8","male","2017-2018","met_recommendation",0,0
6,"4-8","male","2017-2018","did_not_meet_recommendation",1.01,1
6,"9-11","male","2017-2018","met_recommendation",0,0
6,"9-11","male","2017-2018","did_not_meet_recommendation",1,0
6,"12-13","male","2017-2018","met_recommendation",0,0
6,"12-13","male","2017-2018","did_not_meet_recommendation",1.03,1
6,"14-17","male","2017-2018","met_recommendation",0,0
6,"14-17","male","2017-2018","did_not_meet_recommendation",1,0
7,"2-3","male","2017-2018","met_recommendation",0.22,1
7,"2-3","male","2017-2018","did_not_meet_recommendation",0.96,1
7,"4-8","male","2017-2018","met_recommendation",0.07,1
7,"4-8","male","2017-2018","did_not_meet_recommendation",1.03,1
7,"9-11","male","2017-2018","met_recommendation",0.06,1
7,"9-11","male","2017-2018","did_not_meet_recommendation",1.12,1
7,"12-13","male","2017-2018","met_recommendation",0,0
7,"12-13","male","2017-2018","did_not_meet_recommendation",1,0
7,"14-17","male","2017-2018","met_recommendation",0,0
7,"14-17","male","2017-2018","did_not_meet_recommendation",0.95,1
8,"2-3","male","2017-2018","met_recommendation",0.2,1
8,"2-3","male","2017-2018","did_not_meet_recommendation",0.91,1
8,"4-8","male","2017-2018","met_recommendation",0,0
8,"4-8","male","2017-2018","did_not_meet_recommendation",1,0
8,"9-11","male","2017-2018","met_recommendation",0,0
8,"9-11","male","2017-2018","did_not_meet_recommendation",1,0
8,"12-13","male","2017-2018","met_recommendation",0,0
8,"12-13","male","2017-2018","did_not_meet_recommendation",1,0
8,"14-17","male","2017-2018","met_recommendation",0,0
8,"14-17","male","2017-2018","did_not_meet_recommendation",1,0
1,"2-3","female","2017-2018","met_recommendation",0.25,1
1,"2-3","female","2017-2018","did_not_meet_recommendation",0.78,1
1,"4-8","female","2017-2018","met_recommendation",0.1,0
1,"4-8","female","2017-2018","did_not_meet_recommendation",0.91,0
1,"9-11","female","2017-2018","met_recommendation",0.09,0
1,"9-11","female","2017-2018","did_not_meet_recommendation",0.9,0
1,"12-13","female","2017-2018","met_recommendation",0,0
1,"12-13","female","2017-2018","did_not_meet_recommendation",0.93,1
1,"14-17","female","2017-2018","met_recommendation",0.05,1
1,"14-17","female","2017-2018","did_not_meet_recommendation",0.92,1
2,"2-3","female","2017-2018","met_recommendation",0.23,1
2,"2-3","female","2017-2018","did_not_meet_recommendation",0.87,1
2,"4-8","female","2017-2018","met_recommendation",0.04,1
2,"4-8","female","2017-2018","did_not_meet_recommendation",0.95,1
2,"9-11","female","2017-2018","met_recommendation",0.05,1
2,"9-11","female","2017-2018","did_not_meet_recommendation",0.85,0
2,"12-13","female","2017-2018","met_recommendation",0,0
2,"12-13","female","2017-2018","did_not_meet_recommendation",0.97,1
2,"14-17","female","2017-2018","met_recommendation",0.07,1
2,"14-17","female","2017-2018","did_not_meet_recommendation",0.91,1
3,"2-3","female","2017-2018","met_recommendation",0.14,0
3,"2-3","female","2017-2018","did_not_meet_recommendation",0.83,0
3,"4-8","female","2017-2018","met_recommendation",0.01,1
3,"4-8","female","2017-2018","did_not_meet_recommendation",0.96,0
3,"9-11","female","2017-2018","met_recommendation",0.04,1
3,"9-11","female","2017-2018","did_not_meet_recommendation",0.93,1
3,"12-13","female","2017-2018","met_recommendation",0,0
3,"12-13","female","2017-2018","did_not_meet_recommendation",0.98,1
3,"14-17","female","2017-2018","met_recommendation",0.1,0
