"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
1,"2-3","male","2017-2018","did_not_consume",0.64,1
1,"2-3","male","2017-2018","1_metric_cup_or_less",0.16,1
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","male","2017-2018","2_metric_cups_or_more",0.06,1
1,"4-8","male","2017-2018","did_not_consume",0.66,1
1,"4-8","male","2017-2018","1_metric_cup_or_less",0.26,1
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","male","2017-2018","2_metric_cups_or_more",0.06,0
1,"9-11","male","2017-2018","did_not_consume",0.6,1
1,"9-11","male","2017-2018","1_metric_cup_or_less",0.36,1
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0.02,1
1,"9-11","male","2017-2018","2_metric_cups_or_more",0.06,1
1,"12-13","male","2017-2018","did_not_consume",0.24,1
1,"12-13","male","2017-2018","1_metric_cup_or_less",0.59,1
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0.03,1
1,"12-13","male","2017-2018","2_metric_cups_or_more",0.1,1
1,"14-17","male","2017-2018","did_not_consume",0.27,0
1,"14-17","male","2017-2018","1_metric_cup_or_less",0.6,1
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.1,0
1,"14-17","male","2017-2018","2_metric_cups_or_more",0.08,0
2,"2-3","male","2017-2018","did_not_consume",0.88,0
2,"2-3","male","2017-2018","1_metric_cup_or_less",0.11,1
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","male","2017-2018","did_not_consume",0.65,0
2,"4-8","male","2017-2018","1_metric_cup_or_less",0.31,0
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
2,"9-11","male","2017-2018","did_not_consume",0.56,1
2,"9-11","male","2017-2018","1_metric_cup_or_less",0.5,1
2,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","male","2017-2018","2_metric_cups_or_more",0.07,0
2,"12-13","male","2017-2018","did_not_consume",0.5,1
2,"12-13","male","2017-2018","1_metric_cup_or_less",0.5,1
2,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0.07,1
2,"12-13","male","2017-2018","2_metric_cups_or_more",0.04,1
2,"14-17","male","2017-2018","did_not_consume",0.35,1
2,"14-17","male","2017-2018","1_metric_cup_or_less",0.5,1
2,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.13,0
2,"14-17","male","2017-2018","2_metric_cups_or_more",0.08,0
3,"2-3","male","2017-2018","did_not_consume",0.86,1
3,"2-3","male","2017-2018","1_metric_cup_or_less",0.08,1
3,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
3,"4-8","male","2017-2018","did_not_consume",0.6,0
3,"4-8","male","2017-2018","1_metric_cup_or_less",0.35,1
3,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","male","2017-2018","2_metric_cups_or_more",0.01,1
3,"9-11","male","2017-2018","did_not_consume",0.43,1
3,"9-11","male","2017-2018","1_metric_cup_or_less",0.6,1
3,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
3,"12-13","male","2017-2018","did_not_consume",0.37,1
3,"12-13","male","2017-2018","1_metric_cup_or_less",0.5,1
3,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0.05,1
3,"12-13","male","2017-2018","2_metric_cups_or_more",0.05,1
3,"14-17","male","2017-2018","did_not_consume",0.28,1
3,"14-17","male","2017-2018","1_metric_cup_or_less",0.6,1
3,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",0.1,0
3,"14-17","male","2017-2018","2_metric_cups_or_more",0.17,1
