"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_exercise_only","n","uncertainty"
1,"18-24","male","2017-2018","met_guidelines",76900,0
1,"18-24","male","2017-2018","did_not_meet_guidelines",292000,0
2,"18-24","male","2017-2018","met_guidelines",60600,0
2,"18-24","male","2017-2018","did_not_meet_guidelines",244700,0
3,"18-24","male","2017-2018","met_guidelines",35400,0
3,"18-24","male","2017-2018","did_not_meet_guidelines",188000,0
4,"18-24","male","2017-2018","met_guidelines",22300,0
4,"18-24","male","2017-2018","did_not_meet_guidelines",53600,0
5,"18-24","male","2017-2018","met_guidelines",34100,1
5,"18-24","male","2017-2018","did_not_meet_guidelines",70300,0
6,"18-24","male","2017-2018","met_guidelines",4000,1
6,"18-24","male","2017-2018","did_not_meet_guidelines",19900,0
7,"18-24","male","2017-2018","met_guidelines",1300,2
7,"18-24","male","2017-2018","did_not_meet_guidelines",5700,0
8,"18-24","male","2017-2018","met_guidelines",5500,1
8,"18-24","male","2017-2018","did_not_meet_guidelines",13200,0
1,"18-24","female","2017-2018","met_guidelines",77000,0
1,"18-24","female","2017-2018","did_not_meet_guidelines",282700,0
2,"18-24","female","2017-2018","met_guidelines",66000,0
2,"18-24","female","2017-2018","did_not_meet_guidelines",236400,0
3,"18-24","female","2017-2018","met_guidelines",37000,1
3,"18-24","female","2017-2018","did_not_meet_guidelines",179300,0
4,"18-24","female","2017-2018","met_guidelines",13600,1
4,"18-24","female","2017-2018","did_not_meet_guidelines",58100,0
5,"18-24","female","2017-2018","met_guidelines",24400,1
5,"18-24","female","2017-2018","did_not_meet_guidelines",84800,0
6,"18-24","female","2017-2018","met_guidelines",2300,2
6,"18-24","female","2017-2018","did_not_meet_guidelines",18300,0
7,"18-24","female","2017-2018","met_guidelines",1600,1
7,"18-24","female","2017-2018","did_not_meet_guidelines",4800,0
8,"18-24","female","2017-2018","met_guidelines",2400,2
8,"18-24","female","2017-2018","did_not_meet_guidelines",15800,0
