"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","n","uncertainty"
1,"18-24","male","2017-2018","0_minutes",26300,1
1,"18-24","male","2017-2018","between_1_and_149_minutes",95600,0
1,"18-24","male","2017-2018","between_150_and_300_minutes",83500,1
1,"18-24","male","2017-2018","more_than_300_minutes",187400,0
1,"18-24","male","2017-2018","total_150_minutes_or_more",249500,0
2,"18-24","male","2017-2018","0_minutes",27200,1
2,"18-24","male","2017-2018","between_1_and_149_minutes",72900,0
2,"18-24","male","2017-2018","between_150_and_300_minutes",55800,1
2,"18-24","male","2017-2018","more_than_300_minutes",147200,0
2,"18-24","male","2017-2018","total_150_minutes_or_more",226000,0
3,"18-24","male","2017-2018","0_minutes",30100,1
3,"18-24","male","2017-2018","between_1_and_149_minutes",57100,0
3,"18-24","male","2017-2018","between_150_and_300_minutes",36200,0
3,"18-24","male","2017-2018","more_than_300_minutes",88000,0
3,"18-24","male","2017-2018","total_150_minutes_or_more",131400,0
4,"18-24","male","2017-2018","0_minutes",1700,2
4,"18-24","male","2017-2018","between_1_and_149_minutes",17600,1
4,"18-24","male","2017-2018","between_150_and_300_minutes",21700,1
4,"18-24","male","2017-2018","more_than_300_minutes",33400,0
4,"18-24","male","2017-2018","total_150_minutes_or_more",52500,0
5,"18-24","male","2017-2018","0_minutes",4800,2
5,"18-24","male","2017-2018","between_1_and_149_minutes",26000,1
5,"18-24","male","2017-2018","between_150_and_300_minutes",11000,1
5,"18-24","male","2017-2018","more_than_300_minutes",68100,0
5,"18-24","male","2017-2018","total_150_minutes_or_more",73900,0
6,"18-24","male","2017-2018","0_minutes",2100,2
6,"18-24","male","2017-2018","between_1_and_149_minutes",6200,1
6,"18-24","male","2017-2018","between_150_and_300_minutes",3600,1
6,"18-24","male","2017-2018","more_than_300_minutes",9300,0
6,"18-24","male","2017-2018","total_150_minutes_or_more",12500,0
7,"18-24","male","2017-2018","0_minutes",800,2
7,"18-24","male","2017-2018","between_1_and_149_minutes",1400,2
7,"18-24","male","2017-2018","between_150_and_300_minutes",1300,1
7,"18-24","male","2017-2018","more_than_300_minutes",2100,1
7,"18-24","male","2017-2018","total_150_minutes_or_more",4700,0
8,"18-24","male","2017-2018","0_minutes",4300,1
8,"18-24","male","2017-2018","between_1_and_149_minutes",5700,1
8,"18-24","male","2017-2018","between_150_and_300_minutes",4400,1
8,"18-24","male","2017-2018","more_than_300_minutes",6100,1
8,"18-24","male","2017-2018","total_150_minutes_or_more",10500,0
1,"18-24","female","2017-2018","0_minutes",10900,2
1,"18-24","female","2017-2018","between_1_and_149_minutes",103000,0
1,"18-24","female","2017-2018","between_150_and_300_minutes",79700,0
1,"18-24","female","2017-2018","more_than_300_minutes",134400,0
1,"18-24","female","2017-2018","total_150_minutes_or_more",212900,0
2,"18-24","female","2017-2018","0_minutes",13400,2
2,"18-24","female","2017-2018","between_1_and_149_minutes",68600,0
2,"18-24","female","2017-2018","between_150_and_300_minutes",95000,0
2,"18-24","female","2017-2018","more_than_300_minutes",114600,0
2,"18-24","female","2017-2018","total_150_minutes_or_more",192300,0
3,"18-24","female","2017-2018","0_minutes",31400,0
3,"18-24","female","2017-2018","between_1_and_149_minutes",67800,0
3,"18-24","female","2017-2018","between_150_and_300_minutes",32600,1
3,"18-24","female","2017-2018","more_than_300_minutes",72800,0
3,"18-24","female","2017-2018","total_150_minutes_or_more",105400,0
4,"18-24","female","2017-2018","0_minutes",10100,1
4,"18-24","female","2017-2018","between_1_and_149_minutes",20500,1
4,"18-24","female","2017-2018","between_150_and_300_minutes",16800,1
4,"18-24","female","2017-2018","more_than_300_minutes",37800,0
4,"18-24","female","2017-2018","total_150_minutes_or_more",53100,0
5,"18-24","female","2017-2018","0_minutes",9100,2
5,"18-24","female","2017-2018","between_1_and_149_minutes",31200,1
5,"18-24","female","2017-2018","between_150_and_300_minutes",32800,0
5,"18-24","female","2017-2018","more_than_300_minutes",33900,1
5,"18-24","female","2017-2018","total_150_minutes_or_more",66400,0
6,"18-24","female","2017-2018","0_minutes",3300,2
6,"18-24","female","2017-2018","between_1_and_149_minutes",5900,1
6,"18-24","female","2017-2018","between_150_and_300_minutes",5200,1
6,"18-24","female","2017-2018","more_than_300_minutes",5900,1
6,"18-24","female","2017-2018","total_150_minutes_or_more",11100,0
7,"18-24","female","2017-2018","0_minutes",1100,1
7,"18-24","female","2017-2018","between_1_and_149_minutes",1900,1
7,"18-24","female","2017-2018","between_150_and_300_minutes",1800,1
7,"18-24","female","2017-2018","more_than_300_minutes",2200,1
7,"18-24","female","2017-2018","total_150_minutes_or_more",4300,0
8,"18-24","female","2017-2018","0_minutes",1300,2
8,"18-24","female","2017-2018","between_1_and_149_minutes",5400,1
8,"18-24","female","2017-2018","between_150_and_300_minutes",5300,1
8,"18-24","female","2017-2018","more_than_300_minutes",8300,0
8,"18-24","female","2017-2018","total_150_minutes_or_more",12000,0
