"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_exercise_only","p","uncertainty"
1,"18-24","male","2017-2018","met_guidelines",0.2,0
1,"18-24","male","2017-2018","did_not_meet_guidelines",0.77,0
2,"18-24","male","2017-2018","met_guidelines",0.2,0
2,"18-24","male","2017-2018","did_not_meet_guidelines",0.79,0
3,"18-24","male","2017-2018","met_guidelines",0.16,0
3,"18-24","male","2017-2018","did_not_meet_guidelines",0.82,0
4,"18-24","male","2017-2018","met_guidelines",0.3,1
4,"18-24","male","2017-2018","did_not_meet_guidelines",0.72,1
5,"18-24","male","2017-2018","met_guidelines",0.32,1
5,"18-24","male","2017-2018","did_not_meet_guidelines",0.66,1
6,"18-24","male","2017-2018","met_guidelines",0.17,1
6,"18-24","male","2017-2018","did_not_meet_guidelines",0.85,1
7,"18-24","male","2017-2018","met_guidelines",0.17,1
7,"18-24","male","2017-2018","did_not_meet_guidelines",0.76,1
8,"18-24","male","2017-2018","met_guidelines",0.3,1
8,"18-24","male","2017-2018","did_not_meet_guidelines",0.71,1
1,"18-24","female","2017-2018","met_guidelines",0.23,0
1,"18-24","female","2017-2018","did_not_meet_guidelines",0.83,0
2,"18-24","female","2017-2018","met_guidelines",0.21,0
2,"18-24","female","2017-2018","did_not_meet_guidelines",0.77,0
3,"18-24","female","2017-2018","met_guidelines",0.17,0
3,"18-24","female","2017-2018","did_not_meet_guidelines",0.82,0
4,"18-24","female","2017-2018","met_guidelines",0.19,1
4,"18-24","female","2017-2018","did_not_meet_guidelines",0.82,1
5,"18-24","female","2017-2018","met_guidelines",0.24,1
5,"18-24","female","2017-2018","did_not_meet_guidelines",0.85,1
6,"18-24","female","2017-2018","met_guidelines",0.11,1
6,"18-24","female","2017-2018","did_not_meet_guidelines",0.91,1
7,"18-24","female","2017-2018","met_guidelines",0.25,1
7,"18-24","female","2017-2018","did_not_meet_guidelines",0.76,1
8,"18-24","female","2017-2018","met_guidelines",0.12,1
8,"18-24","female","2017-2018","did_not_meet_guidelines",0.81,1
