"STE_CODE16","age_group","sex","year_range","days_pa_last_week","p","uncertainty"
1,"18-24","male","2017-2018","none",0.02,1
1,"18-24","male","2017-2018","1–4",0.34,1
1,"18-24","male","2017-2018","5–6",0.4,1
1,"18-24","male","2017-2018","7",0.22,1
1,"18-24","male","2017-2018","5_or_more",0.63,1
2,"18-24","male","2017-2018","none",0.06,0
2,"18-24","male","2017-2018","1–4",0.34,0
2,"18-24","male","2017-2018","5–6",0.34,0
2,"18-24","male","2017-2018","7",0.29,0
2,"18-24","male","2017-2018","5_or_more",0.59,0
3,"18-24","male","2017-2018","none",0.09,0
3,"18-24","male","2017-2018","1–4",0.39,1
3,"18-24","male","2017-2018","5–6",0.35,1
3,"18-24","male","2017-2018","7",0.2,0
3,"18-24","male","2017-2018","5_or_more",0.6,1
4,"18-24","male","2017-2018","none",0,0
4,"18-24","male","2017-2018","1–4",0.31,1
4,"18-24","male","2017-2018","5–6",0.6,1
4,"18-24","male","2017-2018","7",0.27,1
4,"18-24","male","2017-2018","5_or_more",0.76,1
5,"18-24","male","2017-2018","none",0.06,1
5,"18-24","male","2017-2018","1–4",0.39,1
5,"18-24","male","2017-2018","5–6",0.35,1
5,"18-24","male","2017-2018","7",0.29,1
5,"18-24","male","2017-2018","5_or_more",0.63,1
6,"18-24","male","2017-2018","none",0.09,1
6,"18-24","male","2017-2018","1–4",0.35,1
6,"18-24","male","2017-2018","5–6",0.29,1
6,"18-24","male","2017-2018","7",0.31,1
6,"18-24","male","2017-2018","5_or_more",0.6,1
7,"18-24","male","2017-2018","none",0,0
7,"18-24","male","2017-2018","1–4",0.27,1
7,"18-24","male","2017-2018","5–6",0.43,1
7,"18-24","male","2017-2018","7",0.33,1
7,"18-24","male","2017-2018","5_or_more",0.67,1
8,"18-24","male","2017-2018","none",0.11,1
8,"18-24","male","2017-2018","1–4",0.4,1
8,"18-24","male","2017-2018","5–6",0.42,1
8,"18-24","male","2017-2018","7",0.2,1
8,"18-24","male","2017-2018","5_or_more",0.6,1
1,"18-24","female","2017-2018","none",0.04,1
1,"18-24","female","2017-2018","1–4",0.36,1
1,"18-24","female","2017-2018","5–6",0.37,1
1,"18-24","female","2017-2018","7",0.28,1
1,"18-24","female","2017-2018","5_or_more",0.66,1
2,"18-24","female","2017-2018","none",0.04,1
2,"18-24","female","2017-2018","1–4",0.34,1
2,"18-24","female","2017-2018","5–6",0.28,1
2,"18-24","female","2017-2018","7",0.22,0
2,"18-24","female","2017-2018","5_or_more",0.57,1
3,"18-24","female","2017-2018","none",0.16,0
3,"18-24","female","2017-2018","1–4",0.37,1
3,"18-24","female","2017-2018","5–6",0.3,0
3,"18-24","female","2017-2018","7",0.2,0
3,"18-24","female","2017-2018","5_or_more",0.6,0
4,"18-24","female","2017-2018","none",0.14,1
4,"18-24","female","2017-2018","1–4",0.57,1
4,"18-24","female","2017-2018","5–6",0.24,1
4,"18-24","female","2017-2018","7",0.17,1
4,"18-24","female","2017-2018","5_or_more",0.36,1
5,"18-24","female","2017-2018","none",0.09,1
5,"18-24","female","2017-2018","1–4",0.43,1
5,"18-24","female","2017-2018","5–6",0.35,1
5,"18-24","female","2017-2018","7",0.17,1
5,"18-24","female","2017-2018","5_or_more",0.43,1
6,"18-24","female","2017-2018","none",0.25,1
6,"18-24","female","2017-2018","1–4",0.31,1
6,"18-24","female","2017-2018","5–6",0.33,1
6,"18-24","female","2017-2018","7",0.18,1
6,"18-24","female","2017-2018","5_or_more",0.5,1
7,"18-24","female","2017-2018","none",0.16,1
7,"18-24","female","2017-2018","1–4",0.3,1
7,"18-24","female","2017-2018","5–6",0.36,1
7,"18-24","female","2017-2018","7",0.27,1
7,"18-24","female","2017-2018","5_or_more",0.62,1
8,"18-24","female","2017-2018","none",0.07,1
8,"18-24","female","2017-2018","1–4",0.41,1
8,"18-24","female","2017-2018","5–6",0.26,1
8,"18-24","female","2017-2018","7",0.23,1
8,"18-24","female","2017-2018","5_or_more",0.55,1
