"STE_CODE16","age_group","sex","year_range","days_exercise_last_week","p","uncertainty"
1,"18-24","male","2017-2018","none",0.07,0
1,"18-24","male","2017-2018","1–4",0.45,1
1,"18-24","male","2017-2018","5–6",0.22,1
1,"18-24","male","2017-2018","7",0.16,0
1,"18-24","male","2017-2018","5_or_more",0.45,1
2,"18-24","male","2017-2018","none",0.09,0
2,"18-24","male","2017-2018","1–4",0.5,1
2,"18-24","male","2017-2018","5–6",0.26,1
2,"18-24","male","2017-2018","7",0.21,0
2,"18-24","male","2017-2018","5_or_more",0.5,1
3,"18-24","male","2017-2018","none",0.13,0
3,"18-24","male","2017-2018","1–4",0.44,0
3,"18-24","male","2017-2018","5–6",0.22,0
3,"18-24","male","2017-2018","7",0.13,0
3,"18-24","male","2017-2018","5_or_more",0.37,1
4,"18-24","male","2017-2018","none",0.02,1
4,"18-24","male","2017-2018","1–4",0.42,1
4,"18-24","male","2017-2018","5–6",0.39,1
4,"18-24","male","2017-2018","7",0.21,1
4,"18-24","male","2017-2018","5_or_more",0.59,1
5,"18-24","male","2017-2018","none",0.04,1
5,"18-24","male","2017-2018","1–4",0.6,1
5,"18-24","male","2017-2018","5–6",0.32,1
5,"18-24","male","2017-2018","7",0.2,1
5,"18-24","male","2017-2018","5_or_more",0.5,1
6,"18-24","male","2017-2018","none",0.09,1
6,"18-24","male","2017-2018","1–4",0.57,1
6,"18-24","male","2017-2018","5–6",0.18,1
6,"18-24","male","2017-2018","7",0.1,1
6,"18-24","male","2017-2018","5_or_more",0.31,1
7,"18-24","male","2017-2018","none",0.11,1
7,"18-24","male","2017-2018","1–4",0.2,1
7,"18-24","male","2017-2018","5–6",0.36,1
7,"18-24","male","2017-2018","7",0.32,1
7,"18-24","male","2017-2018","5_or_more",0.6,1
8,"18-24","male","2017-2018","none",0.23,1
8,"18-24","male","2017-2018","1–4",0.65,1
8,"18-24","male","2017-2018","5–6",0.19,1
8,"18-24","male","2017-2018","7",0,0
8,"18-24","male","2017-2018","5_or_more",0.39,1
1,"18-24","female","2017-2018","none",0.03,1
1,"18-24","female","2017-2018","1–4",0.44,1
1,"18-24","female","2017-2018","5–6",0.39,1
1,"18-24","female","2017-2018","7",0.17,0
1,"18-24","female","2017-2018","5_or_more",0.57,1
2,"18-24","female","2017-2018","none",0.04,1
2,"18-24","female","2017-2018","1–4",0.43,1
2,"18-24","female","2017-2018","5–6",0.19,0
2,"18-24","female","2017-2018","7",0.2,0
2,"18-24","female","2017-2018","5_or_more",0.43,1
3,"18-24","female","2017-2018","none",0.14,0
3,"18-24","female","2017-2018","1–4",0.42,1
3,"18-24","female","2017-2018","5–6",0.27,0
3,"18-24","female","2017-2018","7",0.13,0
3,"18-24","female","2017-2018","5_or_more",0.43,1
4,"18-24","female","2017-2018","none",0.14,1
4,"18-24","female","2017-2018","1–4",0.67,1
4,"18-24","female","2017-2018","5–6",0.19,1
4,"18-24","female","2017-2018","7",0.15,1
4,"18-24","female","2017-2018","5_or_more",0.31,1
5,"18-24","female","2017-2018","none",0.09,1
5,"18-24","female","2017-2018","1–4",0.6,1
5,"18-24","female","2017-2018","5–6",0.2,1
5,"18-24","female","2017-2018","7",0.13,1
5,"18-24","female","2017-2018","5_or_more",0.42,1
6,"18-24","female","2017-2018","none",0.16,1
6,"18-24","female","2017-2018","1–4",0.6,1
6,"18-24","female","2017-2018","5–6",0.23,1
6,"18-24","female","2017-2018","7",0.06,1
6,"18-24","female","2017-2018","5_or_more",0.4,1
7,"18-24","female","2017-2018","none",0.17,1
7,"18-24","female","2017-2018","1–4",0.5,1
7,"18-24","female","2017-2018","5–6",0.36,1
7,"18-24","female","2017-2018","7",0.13,1
7,"18-24","female","2017-2018","5_or_more",0.44,1
8,"18-24","female","2017-2018","none",0.07,1
8,"18-24","female","2017-2018","1–4",0.5,1
8,"18-24","female","2017-2018","5–6",0.26,1
8,"18-24","female","2017-2018","7",0.17,1
8,"18-24","female","2017-2018","5_or_more",0.44,1
