"STE_CODE16","age_group","sex","year_range","min_pa_last_week","p","uncertainty"
1,"18-24","male","2017-2018","0_minutes",0.02,1
1,"18-24","male","2017-2018","between_1_and_149_minutes",0.11,0
1,"18-24","male","2017-2018","between_150_and_300_minutes",0.12,0
1,"18-24","male","2017-2018","more_than_300_minutes",0.64,1
1,"18-24","male","2017-2018","total_150_minutes_or_more",0.81,0
2,"18-24","male","2017-2018","0_minutes",0.06,0
2,"18-24","male","2017-2018","between_1_and_149_minutes",0.13,0
2,"18-24","male","2017-2018","between_150_and_300_minutes",0.16,0
2,"18-24","male","2017-2018","more_than_300_minutes",0.63,1
2,"18-24","male","2017-2018","total_150_minutes_or_more",0.81,0
3,"18-24","male","2017-2018","0_minutes",0.09,0
3,"18-24","male","2017-2018","between_1_and_149_minutes",0.24,0
3,"18-24","male","2017-2018","between_150_and_300_minutes",0.09,0
3,"18-24","male","2017-2018","more_than_300_minutes",0.58,0
3,"18-24","male","2017-2018","total_150_minutes_or_more",0.71,0
4,"18-24","male","2017-2018","0_minutes",0,0
4,"18-24","male","2017-2018","between_1_and_149_minutes",0.22,1
4,"18-24","male","2017-2018","between_150_and_300_minutes",0.27,1
4,"18-24","male","2017-2018","more_than_300_minutes",0.63,1
4,"18-24","male","2017-2018","total_150_minutes_or_more",0.76,1
5,"18-24","male","2017-2018","0_minutes",0.06,1
5,"18-24","male","2017-2018","between_1_and_149_minutes",0.07,1
5,"18-24","male","2017-2018","between_150_and_300_minutes",0.06,1
5,"18-24","male","2017-2018","more_than_300_minutes",0.89,1
5,"18-24","male","2017-2018","total_150_minutes_or_more",0.92,1
6,"18-24","male","2017-2018","0_minutes",0.09,1
6,"18-24","male","2017-2018","between_1_and_149_minutes",0.17,1
6,"18-24","male","2017-2018","between_150_and_300_minutes",0.09,0
6,"18-24","male","2017-2018","more_than_300_minutes",0.6,1
6,"18-24","male","2017-2018","total_150_minutes_or_more",0.63,1
7,"18-24","male","2017-2018","0_minutes",0,0
7,"18-24","male","2017-2018","between_1_and_149_minutes",0.17,1
7,"18-24","male","2017-2018","between_150_and_300_minutes",0.17,1
7,"18-24","male","2017-2018","more_than_300_minutes",0.72,1
7,"18-24","male","2017-2018","total_150_minutes_or_more",0.81,1
8,"18-24","male","2017-2018","0_minutes",0.11,1
8,"18-24","male","2017-2018","between_1_and_149_minutes",0.24,1
8,"18-24","male","2017-2018","between_150_and_300_minutes",0.18,1
8,"18-24","male","2017-2018","more_than_300_minutes",0.6,1
8,"18-24","male","2017-2018","total_150_minutes_or_more",0.6,1
1,"18-24","female","2017-2018","0_minutes",0.04,1
1,"18-24","female","2017-2018","between_1_and_149_minutes",0.16,0
1,"18-24","female","2017-2018","between_150_and_300_minutes",0.25,1
1,"18-24","female","2017-2018","more_than_300_minutes",0.56,1
1,"18-24","female","2017-2018","total_150_minutes_or_more",0.8,0
2,"18-24","female","2017-2018","0_minutes",0.04,1
2,"18-24","female","2017-2018","between_1_and_149_minutes",0.22,0
2,"18-24","female","2017-2018","between_150_and_300_minutes",0.2,1
2,"18-24","female","2017-2018","more_than_300_minutes",0.5,1
2,"18-24","female","2017-2018","total_150_minutes_or_more",0.71,0
3,"18-24","female","2017-2018","0_minutes",0.16,0
3,"18-24","female","2017-2018","between_1_and_149_minutes",0.27,1
3,"18-24","female","2017-2018","between_150_and_300_minutes",0.15,0
3,"18-24","female","2017-2018","more_than_300_minutes",0.43,1
3,"18-24","female","2017-2018","total_150_minutes_or_more",0.57,0
4,"18-24","female","2017-2018","0_minutes",0.14,1
4,"18-24","female","2017-2018","between_1_and_149_minutes",0.16,1
4,"18-24","female","2017-2018","between_150_and_300_minutes",0.18,1
4,"18-24","female","2017-2018","more_than_300_minutes",0.6,1
4,"18-24","female","2017-2018","total_150_minutes_or_more",0.75,1
5,"18-24","female","2017-2018","0_minutes",0.09,1
5,"18-24","female","2017-2018","between_1_and_149_minutes",0.18,1
5,"18-24","female","2017-2018","between_150_and_300_minutes",0.23,1
5,"18-24","female","2017-2018","more_than_300_minutes",0.43,1
5,"18-24","female","2017-2018","total_150_minutes_or_more",0.81,1
6,"18-24","female","2017-2018","0_minutes",0.25,1
6,"18-24","female","2017-2018","between_1_and_149_minutes",0.21,1
6,"18-24","female","2017-2018","between_150_and_300_minutes",0.12,1
6,"18-24","female","2017-2018","more_than_300_minutes",0.43,1
6,"18-24","female","2017-2018","total_150_minutes_or_more",0.6,1
7,"18-24","female","2017-2018","0_minutes",0.16,1
7,"18-24","female","2017-2018","between_1_and_149_minutes",0.22,1
7,"18-24","female","2017-2018","between_150_and_300_minutes",0.24,1
7,"18-24","female","2017-2018","more_than_300_minutes",0.5,1
7,"18-24","female","2017-2018","total_150_minutes_or_more",0.73,1
8,"18-24","female","2017-2018","0_minutes",0.07,1
8,"18-24","female","2017-2018","between_1_and_149_minutes",0.32,1
8,"18-24","female","2017-2018","between_150_and_300_minutes",0.17,1
8,"18-24","female","2017-2018","more_than_300_minutes",0.5,1
8,"18-24","female","2017-2018","total_150_minutes_or_more",0.72,1
