"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","p","uncertainty"
1,"18-24","male","2017-2018","0_minutes",0.07,0
1,"18-24","male","2017-2018","between_1_and_149_minutes",0.25,1
1,"18-24","male","2017-2018","between_150_and_300_minutes",0.22,1
1,"18-24","male","2017-2018","more_than_300_minutes",0.5,1
1,"18-24","male","2017-2018","total_150_minutes_or_more",0.66,1
2,"18-24","male","2017-2018","0_minutes",0.09,0
2,"18-24","male","2017-2018","between_1_and_149_minutes",0.23,0
2,"18-24","male","2017-2018","between_150_and_300_minutes",0.18,0
2,"18-24","male","2017-2018","more_than_300_minutes",0.5,1
2,"18-24","male","2017-2018","total_150_minutes_or_more",0.73,1
3,"18-24","male","2017-2018","0_minutes",0.13,0
3,"18-24","male","2017-2018","between_1_and_149_minutes",0.25,0
3,"18-24","male","2017-2018","between_150_and_300_minutes",0.16,0
3,"18-24","male","2017-2018","more_than_300_minutes",0.38,0
3,"18-24","male","2017-2018","total_150_minutes_or_more",0.57,0
4,"18-24","male","2017-2018","0_minutes",0.02,1
4,"18-24","male","2017-2018","between_1_and_149_minutes",0.24,1
4,"18-24","male","2017-2018","between_150_and_300_minutes",0.29,1
4,"18-24","male","2017-2018","more_than_300_minutes",0.45,1
4,"18-24","male","2017-2018","total_150_minutes_or_more",0.7,1
5,"18-24","male","2017-2018","0_minutes",0.04,1
5,"18-24","male","2017-2018","between_1_and_149_minutes",0.24,1
5,"18-24","male","2017-2018","between_150_and_300_minutes",0.1,0
5,"18-24","male","2017-2018","more_than_300_minutes",0.64,1
5,"18-24","male","2017-2018","total_150_minutes_or_more",0.69,1
6,"18-24","male","2017-2018","0_minutes",0.09,1
6,"18-24","male","2017-2018","between_1_and_149_minutes",0.27,1
6,"18-24","male","2017-2018","between_150_and_300_minutes",0.16,1
6,"18-24","male","2017-2018","more_than_300_minutes",0.4,1
6,"18-24","male","2017-2018","total_150_minutes_or_more",0.6,1
7,"18-24","male","2017-2018","0_minutes",0.11,1
7,"18-24","male","2017-2018","between_1_and_149_minutes",0.19,1
7,"18-24","male","2017-2018","between_150_and_300_minutes",0.17,1
7,"18-24","male","2017-2018","more_than_300_minutes",0.28,1
7,"18-24","male","2017-2018","total_150_minutes_or_more",0.63,1
8,"18-24","male","2017-2018","0_minutes",0.23,1
8,"18-24","male","2017-2018","between_1_and_149_minutes",0.31,1
8,"18-24","male","2017-2018","between_150_and_300_minutes",0.24,1
8,"18-24","male","2017-2018","more_than_300_minutes",0.33,1
8,"18-24","male","2017-2018","total_150_minutes_or_more",0.57,1
1,"18-24","female","2017-2018","0_minutes",0.03,1
1,"18-24","female","2017-2018","between_1_and_149_minutes",0.3,1
1,"18-24","female","2017-2018","between_150_and_300_minutes",0.23,0
1,"18-24","female","2017-2018","more_than_300_minutes",0.4,1
1,"18-24","female","2017-2018","total_150_minutes_or_more",0.63,1
2,"18-24","female","2017-2018","0_minutes",0.04,1
2,"18-24","female","2017-2018","between_1_and_149_minutes",0.22,0
2,"18-24","female","2017-2018","between_150_and_300_minutes",0.31,1
2,"18-24","female","2017-2018","more_than_300_minutes",0.37,1
2,"18-24","female","2017-2018","total_150_minutes_or_more",0.62,0
3,"18-24","female","2017-2018","0_minutes",0.14,0
3,"18-24","female","2017-2018","between_1_and_149_minutes",0.31,1
3,"18-24","female","2017-2018","between_150_and_300_minutes",0.15,0
3,"18-24","female","2017-2018","more_than_300_minutes",0.33,0
3,"18-24","female","2017-2018","total_150_minutes_or_more",0.5,0
4,"18-24","female","2017-2018","0_minutes",0.14,1
4,"18-24","female","2017-2018","between_1_and_149_minutes",0.29,1
4,"18-24","female","2017-2018","between_150_and_300_minutes",0.24,1
4,"18-24","female","2017-2018","more_than_300_minutes",0.6,1
4,"18-24","female","2017-2018","total_150_minutes_or_more",0.75,1
5,"18-24","female","2017-2018","0_minutes",0.09,1
5,"18-24","female","2017-2018","between_1_and_149_minutes",0.31,1
5,"18-24","female","2017-2018","between_150_and_300_minutes",0.33,1
5,"18-24","female","2017-2018","more_than_300_minutes",0.34,1
5,"18-24","female","2017-2018","total_150_minutes_or_more",0.66,1
6,"18-24","female","2017-2018","0_minutes",0.16,1
6,"18-24","female","2017-2018","between_1_and_149_minutes",0.29,1
6,"18-24","female","2017-2018","between_150_and_300_minutes",0.26,1
6,"18-24","female","2017-2018","more_than_300_minutes",0.29,1
6,"18-24","female","2017-2018","total_150_minutes_or_more",0.55,1
7,"18-24","female","2017-2018","0_minutes",0.17,1
7,"18-24","female","2017-2018","between_1_and_149_minutes",0.3,1
7,"18-24","female","2017-2018","between_150_and_300_minutes",0.29,1
7,"18-24","female","2017-2018","more_than_300_minutes",0.35,1
7,"18-24","female","2017-2018","total_150_minutes_or_more",0.68,1
8,"18-24","female","2017-2018","0_minutes",0.07,1
8,"18-24","female","2017-2018","between_1_and_149_minutes",0.28,1
8,"18-24","female","2017-2018","between_150_and_300_minutes",0.27,1
8,"18-24","female","2017-2018","more_than_300_minutes",0.43,1
8,"18-24","female","2017-2018","total_150_minutes_or_more",0.62,1
