"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_any","n","p"
1,"18-24","male","2017-2018","met_guidelines",91600,"0.24"
1,"18-24","male","2017-2018","did_not_meet_guidelines",273700,"0.72"
2,"18-24","male","2017-2018","met_guidelines",71500,"0.23"
2,"18-24","male","2017-2018","did_not_meet_guidelines",225700,"0.72"
3,"18-24","male","2017-2018","met_guidelines",43400,"0.19"
3,"18-24","male","2017-2018","did_not_meet_guidelines",184200,"0.8"
4,"18-24","male","2017-2018","met_guidelines",27600,"NULL"
4,"18-24","male","2017-2018","did_not_meet_guidelines",55500,"NULL"
5,"18-24","male","2017-2018","met_guidelines",43900,"NULL"
5,"18-24","male","2017-2018","did_not_meet_guidelines",69000,"NULL"
6,"18-24","male","2017-2018","met_guidelines",5300,"NULL"
6,"18-24","male","2017-2018","did_not_meet_guidelines",17800,"NULL"
7,"18-24","male","2017-2018","met_guidelines",9999999,"9999999"
7,"18-24","male","2017-2018","did_not_meet_guidelines",5700,"NULL"
8,"18-24","male","2017-2018","met_guidelines",5900,"NULL"
8,"18-24","male","2017-2018","did_not_meet_guidelines",13300,"NULL"
1,"18-24","female","2017-2018","met_guidelines",81100,"0.24"
1,"18-24","female","2017-2018","did_not_meet_guidelines",285000,"0.84"
2,"18-24","female","2017-2018","met_guidelines",69400,"0.22"
2,"18-24","female","2017-2018","did_not_meet_guidelines",238500,"0.77"
3,"18-24","female","2017-2018","met_guidelines",47200,"0.22"
3,"18-24","female","2017-2018","did_not_meet_guidelines",180000,"0.82"
4,"18-24","female","2017-2018","met_guidelines",13600,"NULL"
4,"18-24","female","2017-2018","did_not_meet_guidelines",58100,"NULL"
5,"18-24","female","2017-2018","met_guidelines",21300,"NULL"
5,"18-24","female","2017-2018","did_not_meet_guidelines",84500,"NULL"
6,"18-24","female","2017-2018","met_guidelines",4000,"NULL"
6,"18-24","female","2017-2018","did_not_meet_guidelines",17300,"NULL"
7,"18-24","female","2017-2018","met_guidelines",2300,"NULL"
7,"18-24","female","2017-2018","did_not_meet_guidelines",4500,"NULL"
8,"18-24","female","2017-2018","met_guidelines",9999999,"9999999"
8,"18-24","female","2017-2018","did_not_meet_guidelines",15800,"NULL"
