"STE_CODE16","age_group","sex","year_range","2014_pa_guidelines_exercise_only","n","p"
1,"18-24","male","2017-2018","met_guidelines",76900,"0.2"
1,"18-24","male","2017-2018","did_not_meet_guidelines",292000,"0.77"
2,"18-24","male","2017-2018","met_guidelines",60600,"0.2"
2,"18-24","male","2017-2018","did_not_meet_guidelines",244700,"0.79"
3,"18-24","male","2017-2018","met_guidelines",35400,"0.16"
3,"18-24","male","2017-2018","did_not_meet_guidelines",188000,"0.82"
4,"18-24","male","2017-2018","met_guidelines",22300,"NULL"
4,"18-24","male","2017-2018","did_not_meet_guidelines",53600,"NULL"
5,"18-24","male","2017-2018","met_guidelines",34100,"NULL"
5,"18-24","male","2017-2018","did_not_meet_guidelines",70300,"NULL"
6,"18-24","male","2017-2018","met_guidelines",4000,"NULL"
6,"18-24","male","2017-2018","did_not_meet_guidelines",19900,"NULL"
7,"18-24","male","2017-2018","met_guidelines",9999999,"9999999"
7,"18-24","male","2017-2018","did_not_meet_guidelines",5700,"NULL"
8,"18-24","male","2017-2018","met_guidelines",5500,"NULL"
8,"18-24","male","2017-2018","did_not_meet_guidelines",13200,"NULL"
1,"18-24","female","2017-2018","met_guidelines",77000,"0.23"
1,"18-24","female","2017-2018","did_not_meet_guidelines",282700,"0.83"
2,"18-24","female","2017-2018","met_guidelines",66000,"0.21"
2,"18-24","female","2017-2018","did_not_meet_guidelines",236400,"0.77"
3,"18-24","female","2017-2018","met_guidelines",37000,"0.17"
3,"18-24","female","2017-2018","did_not_meet_guidelines",179300,"0.82"
4,"18-24","female","2017-2018","met_guidelines",13600,"NULL"
4,"18-24","female","2017-2018","did_not_meet_guidelines",58100,"NULL"
5,"18-24","female","2017-2018","met_guidelines",24400,"NULL"
5,"18-24","female","2017-2018","did_not_meet_guidelines",84800,"NULL"
6,"18-24","female","2017-2018","met_guidelines",9999999,"9999999"
6,"18-24","female","2017-2018","did_not_meet_guidelines",18300,"NULL"
7,"18-24","female","2017-2018","met_guidelines",1600,"NULL"
7,"18-24","female","2017-2018","did_not_meet_guidelines",4800,"NULL"
8,"18-24","female","2017-2018","met_guidelines",9999999,"9999999"
8,"18-24","female","2017-2018","did_not_meet_guidelines",15800,"NULL"
