"STE_CODE16","age_group","sex","year_range","days_pa_last_week","n","p"
1,"18-24","male","2017-2018","none",9999999,"9999999"
1,"18-24","male","2017-2018","1–4",129200,"NULL"
1,"18-24","male","2017-2018","5–6",151300,"NULL"
1,"18-24","male","2017-2018","7",81300,"NULL"
1,"18-24","male","2017-2018","5_or_more",236800,"NULL"
2,"18-24","male","2017-2018","none",18100,"0.06"
2,"18-24","male","2017-2018","1–4",105000,"0.34"
2,"18-24","male","2017-2018","5–6",105200,"0.34"
2,"18-24","male","2017-2018","7",90200,"0.29"
2,"18-24","male","2017-2018","5_or_more",184200,"0.59"
3,"18-24","male","2017-2018","none",21500,"0.09"
3,"18-24","male","2017-2018","1–4",90000,"NULL"
3,"18-24","male","2017-2018","5–6",80000,"NULL"
3,"18-24","male","2017-2018","7",46800,"0.2"
3,"18-24","male","2017-2018","5_or_more",125200,"NULL"
4,"18-24","male","2017-2018","none",9999999,"9999999"
4,"18-24","male","2017-2018","1–4",22800,"NULL"
4,"18-24","male","2017-2018","5–6",37900,"NULL"
4,"18-24","male","2017-2018","7",19900,"NULL"
4,"18-24","male","2017-2018","5_or_more",56600,"NULL"
5,"18-24","male","2017-2018","none",9999999,"9999999"
5,"18-24","male","2017-2018","1–4",41100,"NULL"
5,"18-24","male","2017-2018","5–6",36800,"NULL"
5,"18-24","male","2017-2018","7",30900,"NULL"
5,"18-24","male","2017-2018","5_or_more",66900,"NULL"
6,"18-24","male","2017-2018","none",9999999,"9999999"
6,"18-24","male","2017-2018","1–4",8100,"NULL"
6,"18-24","male","2017-2018","5–6",6700,"NULL"
6,"18-24","male","2017-2018","7",7300,"NULL"
6,"18-24","male","2017-2018","5_or_more",12400,"NULL"
7,"18-24","male","2017-2018","none",9999999,"9999999"
7,"18-24","male","2017-2018","1–4",2000,"NULL"
7,"18-24","male","2017-2018","5–6",3200,"NULL"
7,"18-24","male","2017-2018","7",2500,"NULL"
7,"18-24","male","2017-2018","5_or_more",5000,"NULL"
8,"18-24","male","2017-2018","none",9999999,"9999999"
8,"18-24","male","2017-2018","1–4",7400,"NULL"
8,"18-24","male","2017-2018","5–6",7800,"NULL"
8,"18-24","male","2017-2018","7",9999999,"9999999"
8,"18-24","male","2017-2018","5_or_more",9800,"NULL"
1,"18-24","female","2017-2018","none",9999999,"9999999"
1,"18-24","female","2017-2018","1–4",122200,"NULL"
1,"18-24","female","2017-2018","5–6",125000,"NULL"
1,"18-24","female","2017-2018","7",96200,"NULL"
1,"18-24","female","2017-2018","5_or_more",224200,"NULL"
2,"18-24","female","2017-2018","none",9999999,"9999999"
2,"18-24","female","2017-2018","1–4",105800,"NULL"
2,"18-24","female","2017-2018","5–6",87100,"NULL"
2,"18-24","female","2017-2018","7",67800,"0.22"
2,"18-24","female","2017-2018","5_or_more",175800,"NULL"
3,"18-24","female","2017-2018","none",35900,"0.16"
3,"18-24","female","2017-2018","1–4",81500,"NULL"
3,"18-24","female","2017-2018","5–6",65000,"0.3"
3,"18-24","female","2017-2018","7",43400,"0.2"
3,"18-24","female","2017-2018","5_or_more",112200,"0.6"
4,"18-24","female","2017-2018","none",10100,"NULL"
4,"18-24","female","2017-2018","1–4",40200,"NULL"
4,"18-24","female","2017-2018","5–6",16800,"NULL"
4,"18-24","female","2017-2018","7",12200,"NULL"
4,"18-24","female","2017-2018","5_or_more",25200,"NULL"
5,"18-24","female","2017-2018","none",9999999,"9999999"
5,"18-24","female","2017-2018","1–4",42700,"NULL"
5,"18-24","female","2017-2018","5–6",35000,"NULL"
5,"18-24","female","2017-2018","7",16700,"NULL"
5,"18-24","female","2017-2018","5_or_more",43100,"NULL"
6,"18-24","female","2017-2018","none",5100,"NULL"
6,"18-24","female","2017-2018","1–4",6300,"NULL"
6,"18-24","female","2017-2018","5–6",6600,"NULL"
6,"18-24","female","2017-2018","7",3700,"NULL"
6,"18-24","female","2017-2018","5_or_more",9500,"NULL"
7,"18-24","female","2017-2018","none",1000,"NULL"
7,"18-24","female","2017-2018","1–4",1900,"NULL"
7,"18-24","female","2017-2018","5–6",2300,"NULL"
7,"18-24","female","2017-2018","7",1700,"NULL"
7,"18-24","female","2017-2018","5_or_more",3900,"NULL"
8,"18-24","female","2017-2018","none",9999999,"9999999"
8,"18-24","female","2017-2018","1–4",7900,"NULL"
8,"18-24","female","2017-2018","5–6",5100,"NULL"
8,"18-24","female","2017-2018","7",4400,"NULL"
8,"18-24","female","2017-2018","5_or_more",10700,"NULL"
