"STE_CODE16","age_group","sex","year_range","days_exercise_last_week","n","p"
1,"18-24","male","2017-2018","none",26300,"0.07"
1,"18-24","male","2017-2018","1–4",169700,"NULL"
1,"18-24","male","2017-2018","5–6",82400,"NULL"
1,"18-24","male","2017-2018","7",61500,"0.16"
1,"18-24","male","2017-2018","5_or_more",169200,"NULL"
2,"18-24","male","2017-2018","none",27200,"0.09"
2,"18-24","male","2017-2018","1–4",146800,"NULL"
2,"18-24","male","2017-2018","5–6",82100,"NULL"
2,"18-24","male","2017-2018","7",64000,"0.21"
2,"18-24","male","2017-2018","5_or_more",145900,"NULL"
3,"18-24","male","2017-2018","none",30100,"0.13"
3,"18-24","male","2017-2018","1–4",100100,"0.44"
3,"18-24","male","2017-2018","5–6",50900,"0.22"
3,"18-24","male","2017-2018","7",30400,"0.13"
3,"18-24","male","2017-2018","5_or_more",84600,"NULL"
4,"18-24","male","2017-2018","none",9999999,"9999999"
4,"18-24","male","2017-2018","1–4",31200,"NULL"
4,"18-24","male","2017-2018","5–6",29300,"NULL"
4,"18-24","male","2017-2018","7",15700,"NULL"
4,"18-24","male","2017-2018","5_or_more",43700,"NULL"
5,"18-24","male","2017-2018","none",9999999,"9999999"
5,"18-24","male","2017-2018","1–4",57400,"NULL"
5,"18-24","male","2017-2018","5–6",33700,"NULL"
5,"18-24","male","2017-2018","7",21300,"NULL"
5,"18-24","male","2017-2018","5_or_more",50600,"NULL"
6,"18-24","male","2017-2018","none",9999999,"9999999"
6,"18-24","male","2017-2018","1–4",13300,"NULL"
6,"18-24","male","2017-2018","5–6",4100,"NULL"
6,"18-24","male","2017-2018","7",9999999,"9999999"
6,"18-24","male","2017-2018","5_or_more",7200,"NULL"
7,"18-24","male","2017-2018","none",9999999,"9999999"
7,"18-24","male","2017-2018","1–4",9999999,"9999999"
7,"18-24","male","2017-2018","5–6",2700,"NULL"
7,"18-24","male","2017-2018","7",2400,"NULL"
7,"18-24","male","2017-2018","5_or_more",4100,"NULL"
8,"18-24","male","2017-2018","none",4300,"NULL"
8,"18-24","male","2017-2018","1–4",12000,"NULL"
8,"18-24","male","2017-2018","5–6",9999999,"9999999"
8,"18-24","male","2017-2018","7",9999999,"9999999"
8,"18-24","male","2017-2018","5_or_more",7200,"NULL"
1,"18-24","female","2017-2018","none",9999999,"9999999"
1,"18-24","female","2017-2018","1–4",150200,"NULL"
1,"18-24","female","2017-2018","5–6",133100,"NULL"
1,"18-24","female","2017-2018","7",58100,"0.17"
1,"18-24","female","2017-2018","5_or_more",194400,"NULL"
2,"18-24","female","2017-2018","none",9999999,"9999999"
2,"18-24","female","2017-2018","1–4",133800,"NULL"
2,"18-24","female","2017-2018","5–6",59900,"0.19"
2,"18-24","female","2017-2018","7",61300,"0.2"
2,"18-24","female","2017-2018","5_or_more",133200,"NULL"
3,"18-24","female","2017-2018","none",31400,"0.14"
3,"18-24","female","2017-2018","1–4",92400,"NULL"
3,"18-24","female","2017-2018","5–6",58100,"0.27"
3,"18-24","female","2017-2018","7",29200,"0.13"
3,"18-24","female","2017-2018","5_or_more",93100,"NULL"
4,"18-24","female","2017-2018","none",10100,"NULL"
4,"18-24","female","2017-2018","1–4",47500,"NULL"
4,"18-24","female","2017-2018","5–6",13700,"NULL"
4,"18-24","female","2017-2018","7",10800,"NULL"
4,"18-24","female","2017-2018","5_or_more",21900,"NULL"
5,"18-24","female","2017-2018","none",9999999,"9999999"
5,"18-24","female","2017-2018","1–4",59600,"NULL"
5,"18-24","female","2017-2018","5–6",20200,"NULL"
5,"18-24","female","2017-2018","7",13100,"NULL"
5,"18-24","female","2017-2018","5_or_more",41700,"NULL"
6,"18-24","female","2017-2018","none",9999999,"9999999"
6,"18-24","female","2017-2018","1–4",10300,"NULL"
6,"18-24","female","2017-2018","5–6",4700,"NULL"
6,"18-24","female","2017-2018","7",9999999,"9999999"
6,"18-24","female","2017-2018","5_or_more",8100,"NULL"
7,"18-24","female","2017-2018","none",1100,"NULL"
7,"18-24","female","2017-2018","1–4",3100,"NULL"
7,"18-24","female","2017-2018","5–6",2300,"NULL"
7,"18-24","female","2017-2018","7",9999999,"9999999"
7,"18-24","female","2017-2018","5_or_more",2800,"NULL"
8,"18-24","female","2017-2018","none",9999999,"9999999"
8,"18-24","female","2017-2018","1–4",9200,"NULL"
8,"18-24","female","2017-2018","5–6",5100,"NULL"
8,"18-24","female","2017-2018","7",9999999,"9999999"
8,"18-24","female","2017-2018","5_or_more",8500,"NULL"
