"STE_CODE16","age_group","sex","year_range","min_exercise_last_week","n","p"
1,"18-24","male","2017-2018","0_minutes",26300,"0.07"
1,"18-24","male","2017-2018","between_1_and_149_minutes",95600,"NULL"
1,"18-24","male","2017-2018","between_150_and_300_minutes",83500,"NULL"
1,"18-24","male","2017-2018","more_than_300_minutes",187400,"NULL"
1,"18-24","male","2017-2018","total_150_minutes_or_more",249500,"NULL"
2,"18-24","male","2017-2018","0_minutes",27200,"0.09"
2,"18-24","male","2017-2018","between_1_and_149_minutes",72900,"0.23"
2,"18-24","male","2017-2018","between_150_and_300_minutes",55800,"0.18"
2,"18-24","male","2017-2018","more_than_300_minutes",147200,"NULL"
2,"18-24","male","2017-2018","total_150_minutes_or_more",226000,"NULL"
3,"18-24","male","2017-2018","0_minutes",30100,"0.13"
3,"18-24","male","2017-2018","between_1_and_149_minutes",57100,"0.25"
3,"18-24","male","2017-2018","between_150_and_300_minutes",36200,"0.16"
3,"18-24","male","2017-2018","more_than_300_minutes",88000,"0.38"
3,"18-24","male","2017-2018","total_150_minutes_or_more",131400,"0.57"
4,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
4,"18-24","male","2017-2018","between_1_and_149_minutes",17600,"NULL"
4,"18-24","male","2017-2018","between_150_and_300_minutes",21700,"NULL"
4,"18-24","male","2017-2018","more_than_300_minutes",33400,"NULL"
4,"18-24","male","2017-2018","total_150_minutes_or_more",52500,"NULL"
5,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
5,"18-24","male","2017-2018","between_1_and_149_minutes",26000,"NULL"
5,"18-24","male","2017-2018","between_150_and_300_minutes",11000,"0.1"
5,"18-24","male","2017-2018","more_than_300_minutes",68100,"NULL"
5,"18-24","male","2017-2018","total_150_minutes_or_more",73900,"NULL"
6,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
6,"18-24","male","2017-2018","between_1_and_149_minutes",6200,"NULL"
6,"18-24","male","2017-2018","between_150_and_300_minutes",3600,"NULL"
6,"18-24","male","2017-2018","more_than_300_minutes",9300,"NULL"
6,"18-24","male","2017-2018","total_150_minutes_or_more",12500,"NULL"
7,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
7,"18-24","male","2017-2018","between_1_and_149_minutes",9999999,"9999999"
7,"18-24","male","2017-2018","between_150_and_300_minutes",1300,"NULL"
7,"18-24","male","2017-2018","more_than_300_minutes",2100,"NULL"
7,"18-24","male","2017-2018","total_150_minutes_or_more",4700,"NULL"
8,"18-24","male","2017-2018","0_minutes",4300,"NULL"
8,"18-24","male","2017-2018","between_1_and_149_minutes",5700,"NULL"
8,"18-24","male","2017-2018","between_150_and_300_minutes",4400,"NULL"
8,"18-24","male","2017-2018","more_than_300_minutes",6100,"NULL"
8,"18-24","male","2017-2018","total_150_minutes_or_more",10500,"NULL"
1,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
1,"18-24","female","2017-2018","between_1_and_149_minutes",103000,"NULL"
1,"18-24","female","2017-2018","between_150_and_300_minutes",79700,"0.23"
1,"18-24","female","2017-2018","more_than_300_minutes",134400,"NULL"
1,"18-24","female","2017-2018","total_150_minutes_or_more",212900,"NULL"
2,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
2,"18-24","female","2017-2018","between_1_and_149_minutes",68600,"0.22"
2,"18-24","female","2017-2018","between_150_and_300_minutes",95000,"NULL"
2,"18-24","female","2017-2018","more_than_300_minutes",114600,"NULL"
2,"18-24","female","2017-2018","total_150_minutes_or_more",192300,"0.62"
3,"18-24","female","2017-2018","0_minutes",31400,"0.14"
3,"18-24","female","2017-2018","between_1_and_149_minutes",67800,"NULL"
3,"18-24","female","2017-2018","between_150_and_300_minutes",32600,"0.15"
3,"18-24","female","2017-2018","more_than_300_minutes",72800,"0.33"
3,"18-24","female","2017-2018","total_150_minutes_or_more",105400,"0.5"
4,"18-24","female","2017-2018","0_minutes",10100,"NULL"
4,"18-24","female","2017-2018","between_1_and_149_minutes",20500,"NULL"
4,"18-24","female","2017-2018","between_150_and_300_minutes",16800,"NULL"
4,"18-24","female","2017-2018","more_than_300_minutes",37800,"NULL"
4,"18-24","female","2017-2018","total_150_minutes_or_more",53100,"NULL"
5,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
5,"18-24","female","2017-2018","between_1_and_149_minutes",31200,"NULL"
5,"18-24","female","2017-2018","between_150_and_300_minutes",32800,"NULL"
5,"18-24","female","2017-2018","more_than_300_minutes",33900,"NULL"
5,"18-24","female","2017-2018","total_150_minutes_or_more",66400,"NULL"
6,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
6,"18-24","female","2017-2018","between_1_and_149_minutes",5900,"NULL"
6,"18-24","female","2017-2018","between_150_and_300_minutes",5200,"NULL"
6,"18-24","female","2017-2018","more_than_300_minutes",5900,"NULL"
6,"18-24","female","2017-2018","total_150_minutes_or_more",11100,"NULL"
7,"18-24","female","2017-2018","0_minutes",1100,"NULL"
7,"18-24","female","2017-2018","between_1_and_149_minutes",1900,"NULL"
7,"18-24","female","2017-2018","between_150_and_300_minutes",1800,"NULL"
7,"18-24","female","2017-2018","more_than_300_minutes",2200,"NULL"
7,"18-24","female","2017-2018","total_150_minutes_or_more",4300,"NULL"
8,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
8,"18-24","female","2017-2018","between_1_and_149_minutes",5400,"NULL"
8,"18-24","female","2017-2018","between_150_and_300_minutes",5300,"NULL"
8,"18-24","female","2017-2018","more_than_300_minutes",8300,"NULL"
8,"18-24","female","2017-2018","total_150_minutes_or_more",12000,"NULL"
