"STE_CODE16","calendar_year","sex","age_group","n_sex_act_always_condom ","p_sex_act_always_condom "
8,"2008","female","15-18",15,0.5
8,"2008","male","15-18",2,0.67
8,"2013","female","15-18",9,0.69
8,"2013","male","15-18",7,0.7
8,"2018","female","15-18",20,0.36
8,"2018","male","15-18",16,0.37
8,"2021","female","15-18",12,0.33
8,"2021","male","15-18",9,0.43
8,"2021","tgd","15-18",1,0.33
1,"2008","female","15-18",85,0.6
1,"2008","male","15-18",71,0.68
1,"2013","female","15-18",33,0.42
1,"2013","male","15-18",30,0.6
1,"2018","female","15-18",202,0.34
1,"2018","male","15-18",169,0.42
1,"2018","tgd","15-18",8,0.5
1,"2021","female","15-18",144,0.32
1,"2021","male","15-18",71,0.5
1,"2021","tgd","15-18",6,0.3
7,"2008","female","15-18",7,0.78
7,"2008","male","15-18",8,0.89
7,"2013","female","15-18",9,0.36
7,"2013","male","15-18",NA,NA
7,"2018","female","15-18",12,0.21
7,"2018","male","15-18",12,0.6
7,"2021","female","15-18",5,0.29
7,"2021","male","15-18",4,0.5
3,"2008","female","15-18",45,0.6
3,"2008","male","15-18",11,0.5
3,"2013","female","15-18",20,0.5
3,"2013","male","15-18",9,0.31
3,"2018","female","15-18",157,0.36
3,"2018","male","15-18",109,0.39
3,"2018","tgd","15-18",5,0.31
3,"2021","female","15-18",122,0.31
3,"2021","male","15-18",44,0.32
3,"2021","tgd","15-18",13,0.43
4,"2008","female","15-18",17,0.42
4,"2008","male","15-18",10,0.5
4,"2013","female","15-18",18,0.41
4,"2013","male","15-18",5,0.33
4,"2018","female","15-18",48,0.3
4,"2018","male","15-18",47,0.36
4,"2018","tgd","15-18",3,0.5
4,"2021","female","15-18",53,0.41
4,"2021","male","15-18",20,0.44
4,"2021","tgd","15-18",1,0.14
6,"2008","female","15-18",17,0.37
6,"2008","male","15-18",27,0.59
6,"2013","female","15-18",5,0.42
6,"2013","male","15-18",3,0.33
6,"2018","female","15-18",27,0.29
6,"2018","male","15-18",25,0.37
6,"2018","tgd","15-18",2,1
6,"2021","female","15-18",17,0.23
6,"2021","male","15-18",2,0.12
6,"2021","tgd","15-18",1,1
2,"2008","female","15-18",40,0.5
2,"2008","male","15-18",43,0.7
2,"2013","female","15-18",29,0.39
2,"2013","male","15-18",33,0.72
2,"2018","female","15-18",187,0.34
2,"2018","male","15-18",217,0.5
2,"2018","tgd","15-18",8,0.42
2,"2021","female","15-18",143,0.33
2,"2021","male","15-18",63,0.41
2,"2021","tgd","15-18",10,0.32
5,"2008","female","15-18",54,0.5
5,"2008","male","15-18",32,0.59
5,"2013","female","15-18",59,0.41
5,"2013","male","15-18",45,0.6
5,"2013","tgd","15-18",NA,NA
5,"2018","female","15-18",60,0.31
5,"2018","male","15-18",66,0.36
5,"2018","tgd","15-18",3,0.38
5,"2021","female","15-18",53,0.26
5,"2021","male","15-18",23,0.44
5,"2021","tgd","15-18",5,0.33
