"STE_CODE16","calendar_year","sex","age_group","n_info_source_doctor_gp","p_info_source_doctor_gp"
8,"2008","female","15-18",44,0.5
8,"2008","male","15-18",NA,NA
8,"2013","female","15-18",9,0.22
8,"2013","male","15-18",7,0.22
8,"2018","female","15-18",43,0.6
8,"2018","male","15-18",23,0.26
8,"2021","female","15-18",41,0.6
8,"2021","male","15-18",12,0.2
8,"2021","tgd","15-18",2,0.33
1,"2008","female","15-18",168,0.33
1,"2008","male","15-18",75,0.29
1,"2013","female","15-18",93,0.33
1,"2013","male","15-18",45,0.32
1,"2018","female","15-18",440,0.4
1,"2018","male","15-18",210,0.24
1,"2018","tgd","15-18",17,0.39
1,"2021","female","15-18",362,0.34
1,"2021","male","15-18",82,0.2
1,"2021","tgd","15-18",23,0.22
7,"2008","female","15-18",11,0.34
7,"2008","male","15-18",8,0.5
7,"2013","female","15-18",15,0.38
7,"2013","male","15-18",5,0.22
7,"2018","female","15-18",53,0.6
7,"2018","male","15-18",13,0.32
7,"2021","female","15-18",15,0.43
7,"2021","male","15-18",4,0.22
3,"2008","female","15-18",90,0.32
3,"2008","male","15-18",23,0.34
3,"2013","female","15-18",29,0.34
3,"2013","male","15-18",17,0.25
3,"2018","female","15-18",357,0.45
3,"2018","male","15-18",142,0.23
3,"2018","tgd","15-18",18,0.5
3,"2021","female","15-18",355,0.38
3,"2021","male","15-18",79,0.2
3,"2021","tgd","15-18",34,0.31
4,"2008","female","15-18",35,0.28
4,"2008","male","15-18",17,0.26
4,"2013","female","15-18",50,0.33
4,"2013","male","15-18",19,0.26
4,"2018","female","15-18",131,0.4
4,"2018","male","15-18",62,0.22
4,"2018","tgd","15-18",6,0.3
4,"2021","female","15-18",113,0.33
4,"2021","male","15-18",21,0.17
4,"2021","tgd","15-18",8,0.22
6,"2008","female","15-18",47,0.5
6,"2008","male","15-18",22,0.26
6,"2013","female","15-18",9,0.23
6,"2013","male","15-18",3,0.16
6,"2018","female","15-18",74,0.5
6,"2018","male","15-18",36,0.3
6,"2018","tgd","15-18",1,0.17
6,"2021","female","15-18",67,0.44
6,"2021","male","15-18",12,0.2
6,"2021","tgd","15-18",2,0.2
2,"2008","female","15-18",62,0.4
2,"2008","male","15-18",43,0.21
2,"2013","female","15-18",66,0.36
2,"2013","male","15-18",32,0.24
2,"2018","female","15-18",440,0.41
2,"2018","male","15-18",205,0.21
2,"2018","tgd","15-18",23,0.5
2,"2021","female","15-18",364,0.35
2,"2021","male","15-18",74,0.16
2,"2021","tgd","15-18",43,0.31
5,"2008","female","15-18",105,0.37
5,"2008","male","15-18",38,0.27
5,"2013","female","15-18",150,0.31
5,"2013","male","15-18",76,0.23
5,"2013","tgd","15-18",1,0.11
5,"2018","female","15-18",142,0.42
5,"2018","male","15-18",80,0.24
5,"2018","tgd","15-18",7,0.41
5,"2021","female","15-18",173,0.44
5,"2021","male","15-18",32,0.19
5,"2021","tgd","15-18",17,0.35
