"STE_CODE16","calendar_year","sex","age_group","n_info_source_parents","p_info_source_parents"
8,"2008","female","15-18",NA,NA
8,"2008","male","15-18",NA,NA
8,"2013","female","15-18",NA,NA
8,"2013","male","15-18",NA,NA
8,"2018","female","15-18",NA,NA
8,"2018","male","15-18",NA,NA
8,"2021","female","15-18",NA,NA
8,"2021","male","15-18",NA,NA
8,"2021","tgd","15-18",NA,NA
1,"2008","female","15-18",NA,NA
1,"2008","male","15-18",NA,NA
1,"2013","female","15-18",NA,NA
1,"2013","male","15-18",NA,NA
1,"2018","female","15-18",NA,NA
1,"2018","male","15-18",NA,NA
1,"2018","tgd","15-18",NA,NA
1,"2021","female","15-18",NA,NA
1,"2021","male","15-18",NA,NA
1,"2021","tgd","15-18",NA,NA
7,"2008","female","15-18",NA,NA
7,"2008","male","15-18",NA,NA
7,"2013","female","15-18",NA,NA
7,"2013","male","15-18",NA,NA
7,"2018","female","15-18",NA,NA
7,"2018","male","15-18",NA,NA
7,"2021","female","15-18",NA,NA
7,"2021","male","15-18",NA,NA
3,"2008","female","15-18",NA,NA
3,"2008","male","15-18",NA,NA
3,"2013","female","15-18",NA,NA
3,"2013","male","15-18",NA,NA
3,"2018","female","15-18",NA,NA
3,"2018","male","15-18",NA,NA
3,"2018","tgd","15-18",NA,NA
3,"2021","female","15-18",NA,NA
3,"2021","male","15-18",NA,NA
3,"2021","tgd","15-18",NA,NA
4,"2008","female","15-18",NA,NA
4,"2008","male","15-18",NA,NA
4,"2013","female","15-18",NA,NA
4,"2013","male","15-18",NA,NA
4,"2018","female","15-18",NA,NA
4,"2018","male","15-18",NA,NA
4,"2018","tgd","15-18",NA,NA
4,"2021","female","15-18",NA,NA
4,"2021","male","15-18",NA,NA
4,"2021","tgd","15-18",NA,NA
6,"2008","female","15-18",NA,NA
6,"2008","male","15-18",NA,NA
6,"2013","female","15-18",NA,NA
6,"2013","male","15-18",NA,NA
6,"2018","female","15-18",NA,NA
6,"2018","male","15-18",NA,NA
6,"2018","tgd","15-18",NA,NA
6,"2021","female","15-18",NA,NA
6,"2021","male","15-18",NA,NA
6,"2021","tgd","15-18",NA,NA
2,"2008","female","15-18",NA,NA
2,"2008","male","15-18",NA,NA
2,"2013","female","15-18",NA,NA
2,"2013","male","15-18",NA,NA
2,"2018","female","15-18",NA,NA
2,"2018","male","15-18",NA,NA
2,"2018","tgd","15-18",NA,NA
2,"2021","female","15-18",NA,NA
2,"2021","male","15-18",NA,NA
2,"2021","tgd","15-18",NA,NA
5,"2008","female","15-18",NA,NA
5,"2008","male","15-18",NA,NA
5,"2013","female","15-18",NA,NA
5,"2013","male","15-18",NA,NA
5,"2013","tgd","15-18",NA,NA
5,"2018","female","15-18",NA,NA
5,"2018","male","15-18",NA,NA
5,"2018","tgd","15-18",NA,NA
5,"2021","female","15-18",NA,NA
5,"2021","male","15-18",NA,NA
5,"2021","tgd","15-18",NA,NA
