"STE_CODE16","calendar_year","sex","age_group","n_think_most_people_use_condoms","p_think_most_people_use_condoms"
8,"2008","female","15-18",60,0.62
8,"2008","male","15-18",13,0.87
8,"2013","female","15-18",30,0.75
8,"2013","male","15-18",21,0.66
8,"2018","female","15-18",64,0.73
8,"2018","male","15-18",64,0.69
8,"2021","female","15-18",NA,NA
8,"2021","male","15-18",NA,NA
8,"2021","tgd","15-18",NA,NA
1,"2008","female","15-18",382,0.67
1,"2008","male","15-18",246,0.78
1,"2013","female","15-18",189,0.67
1,"2013","male","15-18",89,0.63
1,"2018","female","15-18",803,0.66
1,"2018","male","15-18",670,0.69
1,"2018","tgd","15-18",33,0.65
1,"2021","female","15-18",NA,NA
1,"2021","male","15-18",NA,NA
1,"2021","tgd","15-18",NA,NA
7,"2008","female","15-18",21,0.57
7,"2008","male","15-18",13,0.65
7,"2013","female","15-18",17,0.44
7,"2013","male","15-18",16,0.7
7,"2018","female","15-18",46,0.5
7,"2018","male","15-18",24,0.57
7,"2021","female","15-18",NA,NA
7,"2021","male","15-18",NA,NA
3,"2008","female","15-18",232,0.7
3,"2008","male","15-18",63,0.77
3,"2013","female","15-18",57,0.67
3,"2013","male","15-18",37,0.6
3,"2018","female","15-18",588,0.66
3,"2018","male","15-18",430,0.62
3,"2018","tgd","15-18",24,0.63
3,"2021","female","15-18",NA,NA
3,"2021","male","15-18",NA,NA
3,"2021","tgd","15-18",NA,NA
4,"2008","female","15-18",107,0.74
4,"2008","male","15-18",54,0.65
4,"2013","female","15-18",106,0.7
4,"2013","male","15-18",45,0.62
4,"2018","female","15-18",214,0.6
4,"2018","male","15-18",211,0.69
4,"2018","tgd","15-18",11,0.6
4,"2021","female","15-18",NA,NA
4,"2021","male","15-18",NA,NA
4,"2021","tgd","15-18",NA,NA
6,"2008","female","15-18",91,0.72
6,"2008","male","15-18",94,0.76
6,"2013","female","15-18",31,0.8
6,"2013","male","15-18",15,0.79
6,"2018","female","15-18",110,0.66
6,"2018","male","15-18",81,0.63
6,"2018","tgd","15-18",1,0.17
6,"2021","female","15-18",NA,NA
6,"2021","male","15-18",NA,NA
6,"2021","tgd","15-18",NA,NA
2,"2008","female","15-18",121,0.69
2,"2008","male","15-18",173,0.63
2,"2013","female","15-18",122,0.66
2,"2013","male","15-18",85,0.63
2,"2018","female","15-18",805,0.69
2,"2018","male","15-18",745,0.7
2,"2018","tgd","15-18",37,0.67
2,"2021","female","15-18",NA,NA
2,"2021","male","15-18",NA,NA
2,"2021","tgd","15-18",NA,NA
5,"2008","female","15-18",249,0.72
5,"2008","male","15-18",119,0.65
5,"2013","female","15-18",289,0.6
5,"2013","male","15-18",197,0.6
5,"2013","tgd","15-18",3,0.33
5,"2018","female","15-18",230,0.63
5,"2018","male","15-18",226,0.62
5,"2018","tgd","15-18",8,0.5
5,"2021","female","15-18",NA,NA
5,"2021","male","15-18",NA,NA
5,"2021","tgd","15-18",NA,NA
