"STE_CODE16","calendar_year","sex","age_group","n_had_discussions_prior_avoid_STIs_HIV","p_had_discussions_prior_avoid_STIs_HIV"
8,"2008","female","15-18",6,0.19
8,"2008","male","15-18",NA,NA
8,"2013","female","15-18",6,0.43
8,"2013","male","15-18",2,0.22
8,"2018","female","15-18",13,0.24
8,"2018","male","15-18",17,0.39
8,"2021","female","15-18",26,0.5
8,"2021","male","15-18",19,0.5
8,"2021","tgd","15-18",2,0.5
1,"2008","female","15-18",40,0.24
1,"2008","male","15-18",31,0.3
1,"2013","female","15-18",23,0.28
1,"2013","male","15-18",18,0.32
1,"2018","female","15-18",186,0.31
1,"2018","male","15-18",137,0.33
1,"2018","tgd","15-18",8,0.5
1,"2021","female","15-18",262,0.38
1,"2021","male","15-18",100,0.42
1,"2021","tgd","15-18",19,0.44
7,"2008","female","15-18",3,0.3
7,"2008","male","15-18",4,0.4
7,"2013","female","15-18",8,0.3
7,"2013","male","15-18",2,0.2
7,"2018","female","15-18",24,0.42
7,"2018","male","15-18",7,0.33
7,"2021","female","15-18",11,0.44
7,"2021","male","15-18",5,0.5
3,"2008","female","15-18",23,0.26
3,"2008","male","15-18",2,0.09
3,"2013","female","15-18",11,0.26
3,"2013","male","15-18",5,0.16
3,"2018","female","15-18",146,0.33
3,"2018","male","15-18",104,0.35
3,"2018","tgd","15-18",4,0.23
3,"2021","female","15-18",241,0.41
3,"2021","male","15-18",89,0.43
3,"2021","tgd","15-18",14,0.3
4,"2008","female","15-18",8,0.23
4,"2008","male","15-18",5,0.26
4,"2013","female","15-18",10,0.21
4,"2013","male","15-18",6,0.35
4,"2018","female","15-18",40,0.24
4,"2018","male","15-18",39,0.3
4,"2018","tgd","15-18",3,0.5
4,"2021","female","15-18",76,0.4
4,"2021","male","15-18",31,0.42
4,"2021","tgd","15-18",5,0.31
6,"2008","female","15-18",14,0.31
6,"2008","male","15-18",13,0.32
6,"2013","female","15-18",6,0.5
6,"2013","male","15-18",5,0.56
6,"2018","female","15-18",37,0.4
6,"2018","male","15-18",26,0.39
6,"2018","tgd","15-18",3,1
6,"2021","female","15-18",34,0.34
6,"2021","male","15-18",19,0.6
6,"2021","tgd","15-18",1,0.33
2,"2008","female","15-18",24,0.3
2,"2008","male","15-18",5,0.09
2,"2013","female","15-18",20,0.27
2,"2013","male","15-18",12,0.27
2,"2018","female","15-18",141,0.25
2,"2018","male","15-18",143,0.28
2,"2018","tgd","15-18",13,0.5
2,"2021","female","15-18",243,0.36
2,"2021","male","15-18",102,0.42
2,"2021","tgd","15-18",25,0.44
5,"2008","female","15-18",24,0.22
5,"2008","male","15-18",13,0.24
5,"2013","female","15-18",40,0.28
5,"2013","male","15-18",29,0.32
5,"2013","tgd","15-18",1,0.33
5,"2018","female","15-18",52,0.26
5,"2018","male","15-18",65,0.34
5,"2018","tgd","15-18",6,0.67
5,"2021","female","15-18",115,0.4
5,"2021","male","15-18",33,0.45
5,"2021","tgd","15-18",9,0.39
