"STE_CODE16","calendar_year","sex","age_group","n_had_discussions_prior_use_condom","p_had_discussions_prior_use_condom"
8,"2008","female","15-18",24,0.73
8,"2008","male","15-18",2,0.5
8,"2013","female","15-18",13,0.93
8,"2013","male","15-18",8,0.8
8,"2018","female","15-18",42,0.76
8,"2018","male","15-18",40,0.85
8,"2021","female","15-18",43,0.69
8,"2021","male","15-18",25,0.71
8,"2021","tgd","15-18",2,0.4
1,"2008","female","15-18",111,0.67
1,"2008","male","15-18",79,0.75
1,"2013","female","15-18",59,0.72
1,"2013","male","15-18",36,0.63
1,"2018","female","15-18",489,0.81
1,"2018","male","15-18",350,0.84
1,"2018","tgd","15-18",15,0.79
1,"2021","female","15-18",473,0.67
1,"2021","male","15-18",180,0.73
1,"2021","tgd","15-18",31,0.67
7,"2008","female","15-18",10,1
7,"2008","male","15-18",9,0.9
7,"2013","female","15-18",17,0.63
7,"2013","male","15-18",7,0.7
7,"2018","female","15-18",47,0.82
7,"2018","male","15-18",18,0.75
7,"2021","female","15-18",15,0.58
7,"2021","male","15-18",8,0.8
3,"2008","female","15-18",66,0.78
3,"2008","male","15-18",18,0.75
3,"2013","female","15-18",33,0.77
3,"2013","male","15-18",17,0.6
3,"2018","female","15-18",357,0.79
3,"2018","male","15-18",248,0.82
3,"2018","tgd","15-18",15,0.88
3,"2021","female","15-18",390,0.64
3,"2021","male","15-18",149,0.69
3,"2021","tgd","15-18",27,0.6
4,"2008","female","15-18",30,0.77
4,"2008","male","15-18",15,0.75
4,"2013","female","15-18",37,0.77
4,"2013","male","15-18",13,0.76
4,"2018","female","15-18",133,0.82
4,"2018","male","15-18",118,0.85
4,"2018","tgd","15-18",6,1
4,"2021","female","15-18",147,0.74
4,"2021","male","15-18",52,0.73
4,"2021","tgd","15-18",10,0.67
6,"2008","female","15-18",30,0.67
6,"2008","male","15-18",32,0.68
6,"2013","female","15-18",11,0.92
6,"2013","male","15-18",8,0.89
6,"2018","female","15-18",76,0.83
6,"2018","male","15-18",56,0.85
6,"2018","tgd","15-18",2,0.67
6,"2021","female","15-18",71,0.64
6,"2021","male","15-18",21,0.57
6,"2021","tgd","15-18",1,0.5
2,"2008","female","15-18",69,0.86
2,"2008","male","15-18",42,0.72
2,"2013","female","15-18",43,0.57
2,"2013","male","15-18",34,0.76
2,"2018","female","15-18",464,0.81
2,"2018","male","15-18",427,0.85
2,"2018","tgd","15-18",23,0.88
2,"2021","female","15-18",458,0.66
2,"2021","male","15-18",172,0.71
2,"2021","tgd","15-18",35,0.65
5,"2008","female","15-18",84,0.72
5,"2008","male","15-18",47,0.8
5,"2013","female","15-18",90,0.62
5,"2013","male","15-18",67,0.74
5,"2013","tgd","15-18",1,0.33
5,"2018","female","15-18",160,0.8
5,"2018","male","15-18",155,0.81
5,"2018","tgd","15-18",9,1
5,"2021","female","15-18",176,0.59
5,"2021","male","15-18",55,0.65
5,"2021","tgd","15-18",14,0.61
