"STE_CODE16","calendar_year","sex","age_group","n_ever_had_sex","p_ever_had_sex"
8,"2008","female","15-18",37,0.38
8,"2008","male","15-18",5,0.33
8,"2013","female","15-18",14,0.35
8,"2013","male","15-18",10,0.32
8,"2018","female","15-18",55,0.63
8,"2018","male","15-18",46,0.5
8,"2021","female","15-18",57,0.63
8,"2021","male","15-18",35,0.6
8,"2021","tgd","15-18",4,0.67
1,"2008","female","15-18",177,0.31
1,"2008","male","15-18",110,0.35
1,"2013","female","15-18",82,0.29
1,"2013","male","15-18",58,0.41
1,"2018","female","15-18",609,0.6
1,"2018","male","15-18",410,0.43
1,"2018","tgd","15-18",19,0.37
1,"2021","female","15-18",669,0.57
1,"2021","male","15-18",230,0.5
1,"2021","tgd","15-18",37,0.32
7,"2008","female","15-18",11,0.3
7,"2008","male","15-18",10,0.5
7,"2013","female","15-18",25,0.64
7,"2013","male","15-18",10,0.5
7,"2018","female","15-18",57,0.59
7,"2018","male","15-18",24,0.56
7,"2021","female","15-18",23,0.59
7,"2021","male","15-18",10,0.6
3,"2008","female","15-18",98,0.3
3,"2008","male","15-18",25,0.31
3,"2013","female","15-18",43,0.6
3,"2013","male","15-18",31,0.5
3,"2018","female","15-18",438,0.6
3,"2018","male","15-18",300,0.44
3,"2018","tgd","15-18",18,0.5
3,"2021","female","15-18",597,0.59
3,"2021","male","15-18",204,0.5
3,"2021","tgd","15-18",50,0.43
4,"2008","female","15-18",42,0.29
4,"2008","male","15-18",20,0.24
4,"2013","female","15-18",44,0.29
4,"2013","male","15-18",17,0.23
4,"2018","female","15-18",163,0.5
4,"2018","male","15-18",137,0.5
4,"2018","tgd","15-18",5,0.24
4,"2021","female","15-18",188,0.6
4,"2021","male","15-18",68,0.5
4,"2021","tgd","15-18",13,0.34
6,"2008","female","15-18",52,0.41
6,"2008","male","15-18",47,0.39
6,"2013","female","15-18",12,0.31
6,"2013","male","15-18",9,0.5
6,"2018","female","15-18",94,0.56
6,"2018","male","15-18",70,0.6
6,"2018","tgd","15-18",3,0.5
6,"2021","female","15-18",113,0.69
6,"2021","male","15-18",33,0.5
6,"2021","tgd","15-18",1,0.08
2,"2008","female","15-18",85,0.5
2,"2008","male","15-18",65,0.24
2,"2013","female","15-18",75,0.41
2,"2013","male","15-18",45,0.34
2,"2018","female","15-18",574,0.5
2,"2018","male","15-18",501,0.5
2,"2018","tgd","15-18",25,0.45
2,"2021","female","15-18",656,0.58
2,"2021","male","15-18",220,0.44
2,"2021","tgd","15-18",57,0.4
5,"2008","female","15-18",128,0.37
5,"2008","male","15-18",59,0.32
5,"2013","female","15-18",145,0.3
5,"2013","male","15-18",93,0.29
5,"2013","tgd","15-18",3,0.33
5,"2018","female","15-18",197,0.6
5,"2018","male","15-18",189,0.6
5,"2018","tgd","15-18",8,0.5
5,"2021","female","15-18",289,0.63
5,"2021","male","15-18",74,0.4
5,"2021","tgd","15-18",28,0.6
