"STE_CODE16","calendar_year","sex","age_group","n_pressure_peers","p_pressure_peers"
8,"2008","female","15-18",NA,NA
8,"2008","male","15-18",NA,NA
8,"2013","female","15-18",5,0.62
8,"2013","male","15-18",NA,NA
8,"2018","female","15-18",11,0.34
8,"2018","male","15-18",21,0.5
8,"2021","female","15-18",8,0.33
8,"2021","male","15-18",13,0.6
8,"2021","tgd","15-18",NA,NA
1,"2008","female","15-18",NA,NA
1,"2008","male","15-18",NA,NA
1,"2013","female","15-18",37,0.24
1,"2013","male","15-18",20,0.5
1,"2018","female","15-18",237,0.4
1,"2018","male","15-18",244,0.45
1,"2018","tgd","15-18",15,0.5
1,"2021","female","15-18",167,0.4
1,"2021","male","15-18",96,0.5
1,"2021","tgd","15-18",25,0.4
7,"2008","female","15-18",NA,NA
7,"2008","male","15-18",NA,NA
7,"2013","female","15-18",6,0.6
7,"2013","male","15-18",4,0.4
7,"2018","female","15-18",19,0.5
7,"2018","male","15-18",11,0.61
7,"2021","female","15-18",8,0.62
7,"2021","male","15-18",2,0.22
3,"2008","female","15-18",NA,NA
3,"2008","male","15-18",NA,NA
3,"2013","female","15-18",15,0.36
3,"2013","male","15-18",19,0.63
3,"2018","female","15-18",174,0.41
3,"2018","male","15-18",197,0.6
3,"2018","tgd","15-18",3,0.15
3,"2021","female","15-18",153,0.43
3,"2021","male","15-18",98,0.5
3,"2021","tgd","15-18",20,0.33
4,"2008","female","15-18",NA,NA
4,"2008","male","15-18",NA,NA
4,"2013","female","15-18",20,0.38
4,"2013","male","15-18",13,0.56
4,"2018","female","15-18",65,0.36
4,"2018","male","15-18",84,0.6
4,"2018","tgd","15-18",7,0.44
4,"2021","female","15-18",63,0.41
4,"2021","male","15-18",20,0.33
4,"2021","tgd","15-18",7,0.39
6,"2008","female","15-18",NA,NA
6,"2008","male","15-18",NA,NA
6,"2013","female","15-18",6,0.43
6,"2013","male","15-18",2,0.33
6,"2018","female","15-18",31,0.42
6,"2018","male","15-18",28,0.5
6,"2018","tgd","15-18",1,0.33
6,"2021","female","15-18",17,0.36
6,"2021","male","15-18",16,0.5
6,"2021","tgd","15-18",4,0.44
2,"2008","female","15-18",NA,NA
2,"2008","male","15-18",NA,NA
2,"2013","female","15-18",16,0.24
2,"2013","male","15-18",29,0.6
2,"2018","female","15-18",231,0.41
2,"2018","male","15-18",249,0.5
2,"2018","tgd","15-18",16,0.6
2,"2021","female","15-18",143,0.36
2,"2021","male","15-18",103,0.44
2,"2021","tgd","15-18",33,0.43
5,"2008","female","15-18",NA,NA
5,"2008","male","15-18",NA,NA
5,"2013","female","15-18",64,0.36
5,"2013","male","15-18",40,0.5
5,"2013","tgd","15-18",1,0.33
5,"2018","female","15-18",74,0.5
5,"2018","male","15-18",66,0.42
5,"2018","tgd","15-18",3,0.33
5,"2021","female","15-18",54,0.41
5,"2021","male","15-18",38,0.41
5,"2021","tgd","15-18",7,0.33
