"STE_CODE16","calendar_year","sex","age_group","n_believe_get_STI","p_believe_get_STI"
8,"2008","female","15-18",91,0.95
8,"2008","male","15-18",15,1
8,"2013","female","15-18",NA,NA
8,"2013","male","15-18",NA,NA
8,"2018","female","15-18",75,0.85
8,"2018","male","15-18",81,0.85
8,"2021","female","15-18",18,0.28
8,"2021","male","15-18",12,0.23
8,"2021","tgd","15-18",NA,NA
1,"2008","female","15-18",532,0.93
1,"2008","male","15-18",299,0.94
1,"2013","female","15-18",NA,NA
1,"2013","male","15-18",NA,NA
1,"2018","female","15-18",1039,0.86
1,"2018","male","15-18",869,0.9
1,"2018","tgd","15-18",44,0.86
1,"2021","female","15-18",167,0.22
1,"2021","male","15-18",77,0.25
1,"2021","tgd","15-18",19,0.25
7,"2008","female","15-18",36,0.97
7,"2008","male","15-18",20,1
7,"2013","female","15-18",NA,NA
7,"2013","male","15-18",NA,NA
7,"2018","female","15-18",88,0.9
7,"2018","male","15-18",33,0.77
7,"2021","female","15-18",4,0.14
7,"2021","male","15-18",3,0.25
3,"2008","female","15-18",303,0.92
3,"2008","male","15-18",77,0.98
3,"2013","female","15-18",NA,NA
3,"2013","male","15-18",NA,NA
3,"2018","female","15-18",771,0.87
3,"2018","male","15-18",613,0.89
3,"2018","tgd","15-18",31,0.82
3,"2021","female","15-18",179,0.27
3,"2021","male","15-18",93,0.3
3,"2021","tgd","15-18",21,0.25
4,"2008","female","15-18",134,0.93
4,"2008","male","15-18",79,0.94
4,"2013","female","15-18",NA,NA
4,"2013","male","15-18",NA,NA
4,"2018","female","15-18",303,0.86
4,"2018","male","15-18",269,0.89
4,"2018","tgd","15-18",15,0.79
4,"2021","female","15-18",50,0.2
4,"2021","male","15-18",19,0.2
4,"2021","tgd","15-18",6,0.25
6,"2008","female","15-18",113,0.94
6,"2008","male","15-18",116,0.96
6,"2013","female","15-18",NA,NA
6,"2013","male","15-18",NA,NA
6,"2018","female","15-18",141,0.84
6,"2018","male","15-18",112,0.86
6,"2018","tgd","15-18",6,1
6,"2021","female","15-18",28,0.23
6,"2021","male","15-18",14,0.3
6,"2021","tgd","15-18",2,0.22
2,"2008","female","15-18",159,0.92
2,"2008","male","15-18",259,0.96
2,"2013","female","15-18",NA,NA
2,"2013","male","15-18",NA,NA
2,"2018","female","15-18",989,0.86
2,"2018","male","15-18",919,0.87
2,"2018","tgd","15-18",44,0.77
2,"2021","female","15-18",203,0.24
2,"2021","male","15-18",101,0.28
2,"2021","tgd","15-18",25,0.22
5,"2008","female","15-18",317,0.92
5,"2008","male","15-18",172,0.94
5,"2013","female","15-18",NA,NA
5,"2013","male","15-18",NA,NA
5,"2013","tgd","15-18",NA,NA
5,"2018","female","15-18",313,0.86
5,"2018","male","15-18",311,0.87
5,"2018","tgd","15-18",15,0.83
5,"2021","female","15-18",87,0.31
5,"2021","male","15-18",37,0.29
5,"2021","tgd","15-18",9,0.24
