"STE_CODE16","calendar_year","sex","age_group","n_engaged_in_sexting","p_engaged_in_sexting"
8,"2008","female","15-18",NA,NA
8,"2008","male","15-18",NA,NA
8,"2013","female","15-18",24,0.6
8,"2013","male","15-18",17,0.6
8,"2018","female","15-18",55,0.67
8,"2018","male","15-18",53,0.59
8,"2021","female","15-18",61,0.94
8,"2021","male","15-18",45,0.85
8,"2021","tgd","15-18",4,1
1,"2008","female","15-18",NA,NA
1,"2008","male","15-18",NA,NA
1,"2013","female","15-18",153,0.6
1,"2013","male","15-18",102,0.73
1,"2018","female","15-18",628,0.56
1,"2018","male","15-18",487,0.6
1,"2018","tgd","15-18",26,0.6
1,"2021","female","15-18",700,0.86
1,"2021","male","15-18",277,0.85
1,"2021","tgd","15-18",68,0.85
7,"2008","female","15-18",NA,NA
7,"2008","male","15-18",NA,NA
7,"2013","female","15-18",29,0.74
7,"2013","male","15-18",18,0.82
7,"2018","female","15-18",51,0.6
7,"2018","male","15-18",28,0.67
7,"2021","female","15-18",26,0.93
7,"2021","male","15-18",11,0.92
3,"2008","female","15-18",NA,NA
3,"2008","male","15-18",NA,NA
3,"2013","female","15-18",59,0.69
3,"2013","male","15-18",46,0.7
3,"2018","female","15-18",451,0.55
3,"2018","male","15-18",343,0.6
3,"2018","tgd","15-18",23,0.6
3,"2021","female","15-18",632,0.92
3,"2021","male","15-18",249,0.8
3,"2021","tgd","15-18",78,0.89
4,"2008","female","15-18",NA,NA
4,"2008","male","15-18",NA,NA
4,"2013","female","15-18",86,0.57
4,"2013","male","15-18",42,0.59
4,"2018","female","15-18",193,0.58
4,"2018","male","15-18",152,0.6
4,"2018","tgd","15-18",13,0.59
4,"2021","female","15-18",242,0.92
4,"2021","male","15-18",83,0.79
4,"2021","tgd","15-18",24,0.86
6,"2008","female","15-18",NA,NA
6,"2008","male","15-18",NA,NA
6,"2013","female","15-18",23,0.59
6,"2013","male","15-18",12,0.63
6,"2018","female","15-18",105,0.64
6,"2018","male","15-18",62,0.6
6,"2018","tgd","15-18",4,0.67
6,"2021","female","15-18",110,0.92
6,"2021","male","15-18",37,0.8
6,"2021","tgd","15-18",7,0.78
2,"2008","female","15-18",NA,NA
2,"2008","male","15-18",NA,NA
2,"2013","female","15-18",126,0.69
2,"2013","male","15-18",82,0.62
2,"2018","female","15-18",674,0.62
2,"2018","male","15-18",584,0.58
2,"2018","tgd","15-18",35,0.66
2,"2021","female","15-18",766,0.89
2,"2021","male","15-18",315,0.83
2,"2021","tgd","15-18",100,0.83
5,"2008","female","15-18",NA,NA
5,"2008","male","15-18",NA,NA
5,"2013","female","15-18",269,0.56
5,"2013","male","15-18",172,0.6
5,"2013","tgd","15-18",4,0.5
5,"2018","female","15-18",214,0.62
5,"2018","male","15-18",207,0.61
5,"2018","tgd","15-18",7,0.41
5,"2021","female","15-18",280,0.92
5,"2021","male","15-18",97,0.74
5,"2021","tgd","15-18",33,0.79
