"STE_CODE16","calendar_year","sex","age_group","n_STIs_knowledge","p_STIs_knowledge"
8,"2008","female","15-18",2.28,0.57
8,"2008","male","15-18",1.6,0.38
8,"2013","female","15-18",2.75,0.69
8,"2013","male","15-18",2.31,0.58
8,"2018","female","15-18",2.6,0.63
8,"2018","male","15-18",2.31,0.58
8,"2021","female","15-18",2.23,0.56
8,"2021","male","15-18",1.95,0.5
8,"2021","tgd","15-18",1.67,0.42
1,"2008","female","15-18",2.23,0.56
1,"2008","male","15-18",2.02,0.6
1,"2013","female","15-18",2.41,0.6
1,"2013","male","15-18",2.34,0.58
1,"2018","female","15-18",2.6,0.63
1,"2018","male","15-18",2.5,0.62
1,"2018","tgd","15-18",2.6,0.64
1,"2021","female","15-18",1.93,0.5
1,"2021","male","15-18",1.7,0.42
1,"2021","tgd","15-18",1.63,0.41
7,"2008","female","15-18",2.41,0.6
7,"2008","male","15-18",2.6,0.64
7,"2013","female","15-18",2.28,0.57
7,"2013","male","15-18",1.74,0.44
7,"2018","female","15-18",2.6,0.63
7,"2018","male","15-18",2.07,0.6
7,"2021","female","15-18",1.79,0.45
7,"2021","male","15-18",1.32,0.33
3,"2008","female","15-18",1.94,0.5
3,"2008","male","15-18",1.72,0.43
3,"2013","female","15-18",2.72,0.68
3,"2013","male","15-18",2.18,0.6
3,"2018","female","15-18",2.5,0.62
3,"2018","male","15-18",2.24,0.56
3,"2018","tgd","15-18",2.6,0.63
3,"2021","female","15-18",1.91,0.5
3,"2021","male","15-18",1.7,0.43
3,"2021","tgd","15-18",1.85,0.5
4,"2008","female","15-18",2.59,0.65
4,"2008","male","15-18",1.82,0.5
4,"2013","female","15-18",2.5,0.62
4,"2013","male","15-18",2.6,0.63
4,"2018","female","15-18",2.26,0.56
4,"2018","male","15-18",2.18,0.6
4,"2018","tgd","15-18",2.14,0.6
4,"2021","female","15-18",1.7,0.42
4,"2021","male","15-18",1.45,0.36
4,"2021","tgd","15-18",1.32,0.33
6,"2008","female","15-18",2.13,0.6
6,"2008","male","15-18",1.85,0.5
6,"2013","female","15-18",2.62,0.65
6,"2013","male","15-18",2.42,0.6
6,"2018","female","15-18",2.56,0.64
6,"2018","male","15-18",2.5,0.62
6,"2018","tgd","15-18",2,0.5
6,"2021","female","15-18",1.95,0.5
6,"2021","male","15-18",1.84,0.5
6,"2021","tgd","15-18",1,0.25
2,"2008","female","15-18",2.6,0.63
2,"2008","male","15-18",1.95,0.5
2,"2013","female","15-18",2.41,0.6
2,"2013","male","15-18",1.87,0.5
2,"2018","female","15-18",2.44,0.61
2,"2018","male","15-18",2.28,0.57
2,"2018","tgd","15-18",2.61,0.65
2,"2021","female","15-18",1.9,0.5
2,"2021","male","15-18",1.55,0.39
2,"2021","tgd","15-18",1.9,0.5
5,"2008","female","15-18",2.29,0.57
5,"2008","male","15-18",1.9,0.5
5,"2013","female","15-18",2.23,0.56
5,"2013","male","15-18",1.73,0.43
5,"2013","tgd","15-18",2.44,0.61
5,"2018","female","15-18",2.6,0.65
5,"2018","male","15-18",2.5,0.62
5,"2018","tgd","15-18",2.78,0.69
5,"2021","female","15-18",2.16,0.6
5,"2021","male","15-18",1.93,0.5
5,"2021","tgd","15-18",1.88,0.5
