"SA2_CODE_IN_DATA_NOT_MATCH_WITH_SA2_2016","match_with_SA2_CODE11","year"
"101011001","YES","2016-2017"
"101011002","YES","2016-2017"
"101011003","YES","2016-2017"
"101011004","YES","2016-2017"
"101011005","YES","2016-2017"
"101011006","YES","2016-2017"
"107011130","YES","2016-2017"
"107041149","YES","2016-2017"
"112031255","YES","2016-2017"
"115011292","YES","2016-2017"
"115011293","YES","2016-2017"
"115011295","YES","2016-2017"
"116011305","YES","2016-2017"
"116021311","YES","2016-2017"
"118021349","YES","2016-2017"
"118021351","YES","2016-2017"
"118021352","YES","2016-2017"
"119011353","YES","2016-2017"
"119021365","YES","2016-2017"
"120031397","YES","2016-2017"
"121021405","YES","2016-2017"
"124051471","YES","2016-2017"
"125011472","YES","2016-2017"
"125011474","YES","2016-2017"
"125041488","YES","2016-2017"
"126021502","YES","2016-2017"
"127011507","YES","2016-2017"
"127011508","YES","2016-2017"
"127031525","YES","2016-2017"
"127031526","YES","2016-2017"
"128011527","YES","2016-2017"
"128011528","YES","2016-2017"
"128021532","YES","2016-2017"
"199999919","NO","2016-2017"
"199999989","NO","2016-2017-2018-2019-2020-2021"
"207021158","YES","2016-2017"
"208021175","YES","2016-2017"
"209021206","YES","2016-2017"
"209041218","YES","2016-2017"
"209041222","YES","2016-2017"
"210031238","YES","2016-2017"
"210051244","YES","2016-2017"
"211011252","YES","2016-2017"
"211011253","YES","2016-2017"
"211031264","YES","2016-2017"
"212021296","YES","2016-2017"
"212021298","YES","2016-2017"
"212031307","YES","2016-2017"
"212041315","YES","2016-2017"
"213041354","YES","2016-2017"
"213051364","YES","2016-2017"
"213051367","YES","2016-2017"
"215021397","YES","2016-2017"
"217021424","YES","2016-2017"
"217021425","YES","2016-2017"
"217021426","YES","2016-2017"
"217021427","YES","2016-2017"
"217021428","YES","2016-2017"
"217021429","YES","2016-2017"
"217021430","YES","2016-2017"
"217021431","YES","2016-2017"
"217021432","YES","2016-2017"
"217021433","YES","2016-2017"
"299999919","NO","2016-2017"
"299999989","NO","2016-2017-2018-2019-2020-2021"
"301021010","YES","2016-2017"
"308021193","YES","2016-2017"
"308021194","YES","2016-2017"
"308021195","YES","2016-2017"
"308021196","YES","2016-2017"
"308021197","YES","2016-2017"
"308021198","YES","2016-2017"
"308021199","YES","2016-2017"
"308021200","YES","2016-2017"
"308021201","YES","2016-2017"
"308021202","YES","2016-2017"
"308021203","YES","2016-2017"
"308021204","YES","2016-2017"
"309091266","YES","2016-2017"
"313051381","YES","2016-2017"
"316041429","YES","2016-2017"
"316041430","YES","2016-2017"
"316041431","YES","2016-2017"
"316041432","YES","2016-2017"
"316041433","YES","2016-2017"
"316051436","YES","2016-2017"
"399999919","NO","2016-2017"
"399999989","NO","2016-2017-2018-2019-2020-2021"
"402041045","YES","2016-2017"
"407021153","YES","2016-2017"
"499999919","NO","2016-2017"
"499999989","NO","2016-2017-2018-2019-2020-2021"
"501021006","YES","2016-2017"
"501021013","YES","2016-2017"
"505031109","YES","2016-2017"
"507011149","YES","2016-2017"
"507011156","YES","2016-2017"
"507011157","YES","2016-2017"
"507011162","YES","2016-2017"
"507031168","YES","2016-2017"
"507031171","YES","2016-2017"
"508011194","YES","2016-2017"
"508011195","YES","2016-2017"
"508021196","YES","2016-2017"
"508021197","YES","2016-2017"
"508031198","YES","2016-2017"
"508031199","YES","2016-2017"
"508031200","YES","2016-2017"
"508031201","YES","2016-2017"
"508031202","YES","2016-2017"
"508031203","YES","2016-2017"
"508031204","YES","2016-2017"
"508041205","YES","2016-2017"
"508041206","YES","2016-2017"
"508041207","YES","2016-2017"
"508041208","YES","2016-2017"
"508041209","YES","2016-2017"
"508051210","YES","2016-2017"
"508051211","YES","2016-2017"
"508051212","YES","2016-2017"
"508051213","YES","2016-2017"
"508051214","YES","2016-2017"
"508051215","YES","2016-2017"
"508051216","YES","2016-2017"
"508051217","YES","2016-2017"
"508061218","YES","2016-2017"
"508061219","YES","2016-2017"
"508061220","YES","2016-2017"
"508061221","YES","2016-2017"
"508061222","YES","2016-2017"
"508061223","YES","2016-2017"
"508061224","YES","2016-2017"
"599999919","NO","2016-2017"
"599999989","NO","2016-2017-2018-2019-2020-2021"
"602031063","YES","2016-2017"
"699999919","NO","2016-2017"
"699999989","NO","2016-2017-2018-2019-2020-2021"
"799999919","NO","2016-2017"
"799999989","NO","2016-2017-2018-2019-2020-2021"
"801021027","YES","2016-2017"
"801021028","YES","2016-2017"
"801021029","YES","2016-2017"
"801031030","YES","2016-2017"
"801031033","YES","2016-2017"
"801041041","YES","2016-2017"
"801041042","YES","2016-2017"
"801051052","YES","2016-2017"
"801051059","YES","2016-2017"
"801061065","YES","2016-2017"
"899999919","NO","2016-2017"
"899999989","NO","2016-2017-2018-2019-2020-2021"
"999999919","NO","2016-2017"
"999999989","NO","2016-2017-2018-2019-2020-2021"
"206319239","NO","2018-2019-2020-2021"
"801041116","NO","2018-2019-2020-2021"
"801041122","NO","2018-2019-2020-2021"
"801051128","NO","2018-2019-2020-2021"
"801101134","NO","2018-2019-2020-2021"
"801101135","NO","2018-2019-2020-2021"
"801101136","NO","2018-2019-2020-2021"
"901041004","NO","2018-2019-2020-2021"
