"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool","SA3_CODE16"
"101011001","3-6","male","2016",282,NA
"101011001","3-6","female","2016",285,NA
"101011001","3-6",NA,"2016",0,NA
"101011002","3-6","male","2016",139,NA
"101011002","3-6","female","2016",105,NA
"101011002","3-6",NA,"2016",0,NA
"101011003","3-6","male","2016",103,NA
"101011003","3-6","female","2016",80,NA
"101011003","3-6",NA,"2016",0,NA
"101011004","3-6","male","2016",134,NA
"101011004","3-6","female","2016",133,NA
"101011004","3-6",NA,"2016",0,NA
"101011005","3-6","male","2016",141,NA
"101011005","3-6","female","2016",136,NA
"101011005","3-6",NA,"2016",0,NA
"101011006","3-6","male","2016",80,NA
"101011006","3-6","female","2016",69,NA
"101011006","3-6",NA,"2016",0,NA
"107011130","3-6","male","2016",337,NA
"107011130","3-6","female","2016",303,NA
"107011130","3-6",NA,"2016",0,NA
"107041149","3-6","male","2016",234,NA
"107041149","3-6","female","2016",201,NA
"107041149","3-6",NA,"2016",0,NA
"112031255","3-6","male","2016",303,NA
"112031255","3-6","female","2016",223,NA
"112031255","3-6",NA,"2016",0,NA
"115011292","3-6","male","2016",374,NA
"115011292","3-6","female","2016",318,NA
"115011292","3-6",NA,"2016",0,NA
"115011293","3-6","male","2016",204,NA
"115011293","3-6","female","2016",195,NA
"115011293","3-6",NA,"2016",0,NA
"115011295","3-6","male","2016",353,NA
"115011295","3-6","female","2016",334,NA
"115011295","3-6",NA,"2016",0,NA
"116011305","3-6","male","2016",331,NA
"116011305","3-6","female","2016",287,NA
"116011305","3-6",NA,"2016",0,NA
"116021311","3-6","male","2016",442,NA
"116021311","3-6","female","2016",400,NA
"116021311","3-6",NA,"2016",0,NA
"118021349","3-6","male","2016",184,NA
"118021349","3-6","female","2016",162,NA
"118021349","3-6",NA,"2016",0,NA
"118021351","3-6","male","2016",332,NA
"118021351","3-6","female","2016",302,NA
"118021351","3-6",NA,"2016",0,NA
"118021352","3-6","male","2016",323,NA
"118021352","3-6","female","2016",325,NA
"118021352","3-6",NA,"2016",0,NA
"119011353","3-6","male","2016",366,NA
"119011353","3-6","female","2016",322,NA
"119011353","3-6",NA,"2016",0,NA
"119021365","3-6","male","2016",276,NA
"119021365","3-6","female","2016",258,NA
"119021365","3-6",NA,"2016",0,NA
"120031397","3-6","male","2016",209,NA
"120031397","3-6","female","2016",177,NA
"120031397","3-6",NA,"2016",0,NA
"121021405","3-6","male","2016",486,NA
"121021405","3-6","female","2016",399,NA
"121021405","3-6",NA,"2016",0,NA
"124051471","3-6","male","2016",339,NA
"124051471","3-6","female","2016",303,NA
"124051471","3-6",NA,"2016",0,NA
"125011472","3-6","male","2016",302,NA
"125011472","3-6","female","2016",251,NA
"125011472","3-6",NA,"2016",0,NA
"125011474","3-6","male","2016",283,NA
"125011474","3-6","female","2016",260,NA
"125011474","3-6",NA,"2016",0,NA
"125041488","3-6","male","2016",386,NA
"125041488","3-6","female","2016",338,NA
"125041488","3-6",NA,"2016",0,NA
"126021502","3-6","male","2016",336,NA
"126021502","3-6","female","2016",332,NA
"126021502","3-6",NA,"2016",0,NA
"127011507","3-6","male","2016",339,NA
"127011507","3-6","female","2016",296,NA
"127011507","3-6",NA,"2016",0,NA
"127011508","3-6","male","2016",357,NA
"127011508","3-6","female","2016",295,NA
"127011508","3-6",NA,"2016",0,NA
"127031525","3-6","male","2016",306,NA
"127031525","3-6","female","2016",250,NA
"127031525","3-6",NA,"2016",0,NA
"127031526","3-6","male","2016",380,NA
"127031526","3-6","female","2016",312,NA
"127031526","3-6",NA,"2016",0,NA
"128011527","3-6","male","2016",395,NA
"128011527","3-6","female","2016",343,NA
"128011527","3-6",NA,"2016",0,NA
"128011528","3-6","male","2016",357,NA
"128011528","3-6","female","2016",300,NA
"128011528","3-6",NA,"2016",0,NA
"128021532","3-6","male","2016",461,NA
"128021532","3-6","female","2016",386,NA
"128021532","3-6",NA,"2016",0,NA
"199999919","3-6","male","2016",0,NA
"199999919","3-6","female","2016",0,NA
"199999919","3-6",NA,"2016",0,NA
"199999989","3-6","male","2016",0,NA
"199999989","3-6","female","2016",0,NA
"199999989","3-6",NA,"2016",0,NA
"207021158","3-6","male","2016",300,NA
"207021158","3-6","female","2016",251,NA
"207021158","3-6",NA,"2016",0,NA
"208021175","3-6","male","2016",442,NA
"208021175","3-6","female","2016",372,NA
"208021175","3-6",NA,"2016",0,NA
"209021206","3-6","male","2016",344,NA
"209021206","3-6","female","2016",349,NA
"209021206","3-6",NA,"2016",0,NA
"209041218","3-6","male","2016",623,NA
"209041218","3-6","female","2016",534,NA
"209041218","3-6",NA,"2016",0,NA
"209041222","3-6","male","2016",1083,NA
"209041222","3-6","female","2016",1010,NA
"209041222","3-6",NA,"2016",0,NA
"210031238","3-6","male","2016",376,NA
"210031238","3-6","female","2016",295,NA
"210031238","3-6",NA,"2016",0,NA
"210051244","3-6","male","2016",820,NA
"210051244","3-6","female","2016",705,NA
"210051244","3-6",NA,"2016",0,NA
"211011252","3-6","male","2016",326,NA
"211011252","3-6","female","2016",286,NA
"211011252","3-6",NA,"2016",0,NA
"211011253","3-6","male","2016",343,NA
"211011253","3-6","female","2016",281,NA
"211011253","3-6",NA,"2016",0,NA
"211031264","3-6","male","2016",426,NA
"211031264","3-6","female","2016",339,NA
"211031264","3-6",NA,"2016",0,NA
"212021296","3-6","male","2016",261,NA
"212021296","3-6","female","2016",228,NA
"212021296","3-6",NA,"2016",0,NA
"212021298","3-6","male","2016",320,NA
"212021298","3-6","female","2016",266,NA
"212021298","3-6",NA,"2016",0,NA
"212031307","3-6","male","2016",383,NA
"212031307","3-6","female","2016",351,NA
"212031307","3-6",NA,"2016",0,NA
"212041315","3-6","male","2016",306,NA
"212041315","3-6","female","2016",274,NA
"212041315","3-6",NA,"2016",0,NA
"213041354","3-6","male","2016",458,NA
"213041354","3-6","female","2016",430,NA
"213041354","3-6",NA,"2016",0,NA
"213051364","3-6","male","2016",1091,NA
"213051364","3-6","female","2016",949,NA
"213051364","3-6",NA,"2016",0,NA
"213051367","3-6","male","2016",325,NA
"213051367","3-6","female","2016",306,NA
"213051367","3-6",NA,"2016",0,NA
"215021397","3-6","male","2016",376,NA
"215021397","3-6","female","2016",362,NA
"215021397","3-6",NA,"2016",0,NA
"217021424","3-6","male","2016",46,NA
"217021424","3-6","female","2016",30,NA
"217021424","3-6",NA,"2016",0,NA
"217021425","3-6","male","2016",185,NA
"217021425","3-6","female","2016",124,NA
"217021425","3-6",NA,"2016",0,NA
"217021426","3-6","male","2016",49,NA
"217021426","3-6","female","2016",43,NA
"217021426","3-6",NA,"2016",0,NA
"217021427","3-6","male","2016",47,NA
"217021427","3-6","female","2016",32,NA
"217021427","3-6",NA,"2016",0,NA
"217021428","3-6","male","2016",60,NA
"217021428","3-6","female","2016",66,NA
"217021428","3-6",NA,"2016",0,NA
"217021429","3-6","male","2016",67,NA
"217021429","3-6","female","2016",52,NA
"217021429","3-6",NA,"2016",0,NA
"217021430","3-6","male","2016",103,NA
"217021430","3-6","female","2016",70,NA
"217021430","3-6",NA,"2016",0,NA
"217021431","3-6","male","2016",23,NA
"217021431","3-6","female","2016",18,NA
"217021431","3-6",NA,"2016",0,NA
"217021432","3-6","male","2016",277,NA
"217021432","3-6","female","2016",221,NA
"217021432","3-6",NA,"2016",0,NA
"217021433","3-6","male","2016",152,NA
"217021433","3-6","female","2016",105,NA
"217021433","3-6",NA,"2016",0,NA
"299999919","3-6","male","2016",0,NA
"299999919","3-6","female","2016",0,NA
"299999919","3-6",NA,"2016",0,NA
"299999989","3-6","male","2016",0,NA
"299999989","3-6","female","2016",3,NA
"299999989","3-6",NA,"2016",0,NA
"301021010","3-6","male","2016",66,NA
"301021010","3-6","female","2016",56,NA
"301021010","3-6",NA,"2016",0,NA
"308021193","3-6","male","2016",33,NA
"308021193","3-6","female","2016",24,NA
"308021193","3-6",NA,"2016",0,NA
"308021194","3-6","male","2016",58,NA
"308021194","3-6","female","2016",60,NA
"308021194","3-6",NA,"2016",0,NA
"308021195","3-6","male","2016",67,NA
"308021195","3-6","female","2016",69,NA
"308021195","3-6",NA,"2016",0,NA
"308021196","3-6","male","2016",128,NA
"308021196","3-6","female","2016",127,NA
"308021196","3-6",NA,"2016",0,NA
"308021197","3-6","male","2016",0,NA
"308021197","3-6","female","2016",0,NA
"308021197","3-6",NA,"2016",0,NA
"308021198","3-6","male","2016",183,NA
"308021198","3-6","female","2016",173,NA
"308021198","3-6",NA,"2016",0,NA
"308021199","3-6","male","2016",66,NA
"308021199","3-6","female","2016",76,NA
"308021199","3-6",NA,"2016",0,NA
"308021200","3-6","male","2016",154,NA
"308021200","3-6","female","2016",137,NA
"308021200","3-6",NA,"2016",0,NA
"308021201","3-6","male","2016",40,NA
"308021201","3-6","female","2016",43,NA
"308021201","3-6",NA,"2016",0,NA
"308021202","3-6","male","2016",0,NA
"308021202","3-6","female","2016",0,NA
"308021202","3-6",NA,"2016",0,NA
"308021203","3-6","male","2016",89,NA
"308021203","3-6","female","2016",92,NA
"308021203","3-6",NA,"2016",0,NA
"308021204","3-6","male","2016",38,NA
"308021204","3-6","female","2016",45,NA
"308021204","3-6",NA,"2016",0,NA
"309091266","3-6","male","2016",329,NA
"309091266","3-6","female","2016",250,NA
"309091266","3-6",NA,"2016",0,NA
"313051381","3-6","male","2016",71,NA
"313051381","3-6","female","2016",98,NA
"313051381","3-6",NA,"2016",0,NA
"316041429","3-6","male","2016",106,NA
"316041429","3-6","female","2016",102,NA
"316041429","3-6",NA,"2016",0,NA
"316041430","3-6","male","2016",33,NA
"316041430","3-6","female","2016",46,NA
"316041430","3-6",NA,"2016",0,NA
"316041431","3-6","male","2016",128,NA
"316041431","3-6","female","2016",129,NA
"316041431","3-6",NA,"2016",0,NA
"316041432","3-6","male","2016",250,NA
"316041432","3-6","female","2016",243,NA
"316041432","3-6",NA,"2016",0,NA
"316041433","3-6","male","2016",193,NA
"316041433","3-6","female","2016",188,NA
"316041433","3-6",NA,"2016",0,NA
"316051436","3-6","male","2016",163,NA
"316051436","3-6","female","2016",148,NA
"316051436","3-6",NA,"2016",0,NA
"399999919","3-6","male","2016",0,NA
"399999919","3-6","female","2016",0,NA
"399999919","3-6",NA,"2016",0,NA
"399999989","3-6","male","2016",0,NA
"399999989","3-6","female","2016",0,NA
"399999989","3-6",NA,"2016",1406,NA
"402041045","3-6","male","2016",241,NA
"402041045","3-6","female","2016",237,NA
"402041045","3-6",NA,"2016",0,NA
"407021153","3-6","male","2016",342,NA
"407021153","3-6","female","2016",288,NA
"407021153","3-6",NA,"2016",0,NA
"499999919","3-6","male","2016",0,NA
"499999919","3-6","female","2016",0,NA
"499999919","3-6",NA,"2016",0,NA
"499999989","3-6","male","2016",0,NA
"499999989","3-6","female","2016",0,NA
"499999989","3-6",NA,"2016",0,NA
"501021006","3-6","male","2016",171,NA
"501021006","3-6","female","2016",143,NA
"501021006","3-6",NA,"2016",0,NA
"501021013","3-6","male","2016",145,NA
"501021013","3-6","female","2016",137,NA
"501021013","3-6",NA,"2016",0,NA
"505031109","3-6","male","2016",281,NA
"505031109","3-6","female","2016",249,NA
"505031109","3-6",NA,"2016",0,NA
"507011149","3-6","male","2016",106,NA
"507011149","3-6","female","2016",87,NA
"507011149","3-6",NA,"2016",0,NA
"507011156","3-6","male","2016",19,NA
"507011156","3-6","female","2016",9,NA
"507011156","3-6",NA,"2016",0,NA
"507011157","3-6","male","2016",0,NA
"507011157","3-6","female","2016",0,NA
"507011157","3-6",NA,"2016",0,NA
"507011162","3-6","male","2016",0,NA
"507011162","3-6","female","2016",0,NA
"507011162","3-6",NA,"2016",0,NA
"507031168","3-6","male","2016",23,NA
"507031168","3-6","female","2016",32,NA
"507031168","3-6",NA,"2016",0,NA
"507031171","3-6","male","2016",18,NA
"507031171","3-6","female","2016",19,NA
"507031171","3-6",NA,"2016",0,NA
"508011194","3-6","male","2016",106,NA
"508011194","3-6","female","2016",127,NA
"508011194","3-6",NA,"2016",0,NA
"508011195","3-6","male","2016",28,NA
"508011195","3-6","female","2016",23,NA
"508011195","3-6",NA,"2016",0,NA
"508021196","3-6","male","2016",46,NA
"508021196","3-6","female","2016",43,NA
"508021196","3-6",NA,"2016",0,NA
"508021197","3-6","male","2016",37,NA
"508021197","3-6","female","2016",30,NA
"508021197","3-6",NA,"2016",0,NA
"508031198","3-6","male","2016",70,NA
