"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"101011001","3-6","male","2016",282
"101011001","3-6","female","2016",285
"101011001","3-6",NA,"2016",0
"101011002","3-6","male","2016",139
"101011002","3-6","female","2016",105
"101011002","3-6",NA,"2016",0
"101011003","3-6","male","2016",103
"101011003","3-6","female","2016",80
"101011003","3-6",NA,"2016",0
"101011004","3-6","male","2016",134
"101011004","3-6","female","2016",133
"101011004","3-6",NA,"2016",0
"101011005","3-6","male","2016",141
"101011005","3-6","female","2016",136
"101011005","3-6",NA,"2016",0
"101011006","3-6","male","2016",80
"101011006","3-6","female","2016",69
"101011006","3-6",NA,"2016",0
"101021007","3-6","male","2016",45
"101021007","3-6","female","2016",31
"101021007","3-6",NA,"2016",0
"101021008","3-6","male","2016",92
"101021008","3-6","female","2016",74
"101021008","3-6",NA,"2016",0
"101021009","3-6","male","2016",134
"101021009","3-6","female","2016",90
"101021009","3-6",NA,"2016",0
"101021010","3-6","male","2016",63
"101021010","3-6","female","2016",37
"101021010","3-6",NA,"2016",0
"101021011","3-6","male","2016",197
"101021011","3-6","female","2016",174
"101021011","3-6",NA,"2016",0
"101021012","3-6","male","2016",201
"101021012","3-6","female","2016",168
"101021012","3-6",NA,"2016",0
"101031013","3-6","male","2016",30
"101031013","3-6","female","2016",29
"101031013","3-6",NA,"2016",0
"101031014","3-6","male","2016",124
"101031014","3-6","female","2016",83
"101031014","3-6",NA,"2016",0
"101031015","3-6","male","2016",0
"101031015","3-6","female","2016",0
"101031015","3-6",NA,"2016",0
"101031016","3-6","male","2016",96
"101031016","3-6","female","2016",65
"101031016","3-6",NA,"2016",0
"101041017","3-6","male","2016",62
"101041017","3-6","female","2016",84
"101041017","3-6",NA,"2016",0
"101041018","3-6","male","2016",76
"101041018","3-6","female","2016",64
"101041018","3-6",NA,"2016",0
"101041019","3-6","male","2016",100
"101041019","3-6","female","2016",71
"101041019","3-6",NA,"2016",0
"101041020","3-6","male","2016",75
"101041020","3-6","female","2016",74
"101041020","3-6",NA,"2016",0
"101041021","3-6","male","2016",42
"101041021","3-6","female","2016",34
"101041021","3-6",NA,"2016",0
"101041022","3-6","male","2016",0
"101041022","3-6","female","2016",0
"101041022","3-6",NA,"2016",0
"101041023","3-6","male","2016",31
"101041023","3-6","female","2016",39
"101041023","3-6",NA,"2016",0
"101041024","3-6","male","2016",28
"101041024","3-6","female","2016",21
"101041024","3-6",NA,"2016",0
"101041025","3-6","male","2016",97
"101041025","3-6","female","2016",79
"101041025","3-6",NA,"2016",0
"101041026","3-6","male","2016",76
"101041026","3-6","female","2016",57
"101041026","3-6",NA,"2016",0
"101041027","3-6","male","2016",94
"101041027","3-6","female","2016",83
"101041027","3-6",NA,"2016",0
"102011028","3-6","male","2016",93
"102011028","3-6","female","2016",95
"102011028","3-6",NA,"2016",0
"102011029","3-6","male","2016",127
"102011029","3-6","female","2016",133
"102011029","3-6",NA,"2016",0
"102011030","3-6","male","2016",34
"102011030","3-6","female","2016",30
"102011030","3-6",NA,"2016",0
"102011031","3-6","male","2016",135
"102011031","3-6","female","2016",106
"102011031","3-6",NA,"2016",0
"102011032","3-6","male","2016",218
"102011032","3-6","female","2016",189
"102011032","3-6",NA,"2016",0
"102011033","3-6","male","2016",95
"102011033","3-6","female","2016",108
"102011033","3-6",NA,"2016",0
"102011034","3-6","male","2016",86
"102011034","3-6","female","2016",84
"102011034","3-6",NA,"2016",0
"102011035","3-6","male","2016",89
"102011035","3-6","female","2016",88
"102011035","3-6",NA,"2016",0
"102011036","3-6","male","2016",121
"102011036","3-6","female","2016",86
"102011036","3-6",NA,"2016",0
"102011037","3-6","male","2016",70
"102011037","3-6","female","2016",72
"102011037","3-6",NA,"2016",0
"102011038","3-6","male","2016",103
"102011038","3-6","female","2016",92
"102011038","3-6",NA,"2016",0
"102011039","3-6","male","2016",149
"102011039","3-6","female","2016",139
"102011039","3-6",NA,"2016",0
"102011040","3-6","male","2016",252
"102011040","3-6","female","2016",229
"102011040","3-6",NA,"2016",0
"102011041","3-6","male","2016",160
"102011041","3-6","female","2016",138
"102011041","3-6",NA,"2016",0
"102011042","3-6","male","2016",160
"102011042","3-6","female","2016",131
"102011042","3-6",NA,"2016",0
"102011043","3-6","male","2016",130
"102011043","3-6","female","2016",124
"102011043","3-6",NA,"2016",0
"102021044","3-6","male","2016",308
"102021044","3-6","female","2016",287
"102021044","3-6",NA,"2016",0
"102021045","3-6","male","2016",194
"102021045","3-6","female","2016",130
"102021045","3-6",NA,"2016",0
"102021046","3-6","male","2016",132
"102021046","3-6","female","2016",107
"102021046","3-6",NA,"2016",0
"102021047","3-6","male","2016",206
"102021047","3-6","female","2016",197
"102021047","3-6",NA,"2016",0
"102021048","3-6","male","2016",295
"102021048","3-6","female","2016",229
"102021048","3-6",NA,"2016",0
"102021049","3-6","male","2016",42
"102021049","3-6","female","2016",28
"102021049","3-6",NA,"2016",0
"102021050","3-6","male","2016",101
"102021050","3-6","female","2016",116
"102021050","3-6",NA,"2016",0
"102021051","3-6","male","2016",64
"102021051","3-6","female","2016",46
"102021051","3-6",NA,"2016",0
"102021052","3-6","male","2016",79
"102021052","3-6","female","2016",60
"102021052","3-6",NA,"2016",0
"102021053","3-6","male","2016",186
"102021053","3-6","female","2016",162
"102021053","3-6",NA,"2016",0
"102021054","3-6","male","2016",112
"102021054","3-6","female","2016",105
"102021054","3-6",NA,"2016",0
"102021055","3-6","male","2016",76
"102021055","3-6","female","2016",61
"102021055","3-6",NA,"2016",0
"102021056","3-6","male","2016",235
"102021056","3-6","female","2016",254
"102021056","3-6",NA,"2016",0
"102021057","3-6","male","2016",96
"102021057","3-6","female","2016",96
"102021057","3-6",NA,"2016",0
"103011058","3-6","male","2016",260
"103011058","3-6","female","2016",235
"103011058","3-6",NA,"2016",0
"103011059","3-6","male","2016",145
"103011059","3-6","female","2016",135
"103011059","3-6",NA,"2016",0
"103011060","3-6","male","2016",69
"103011060","3-6","female","2016",46
"103011060","3-6",NA,"2016",0
"103011061","3-6","male","2016",39
"103011061","3-6","female","2016",38
"103011061","3-6",NA,"2016",0
"103021062","3-6","male","2016",106
"103021062","3-6","female","2016",101
"103021062","3-6",NA,"2016",0
"103021063","3-6","male","2016",82
"103021063","3-6","female","2016",78
"103021063","3-6",NA,"2016",0
"103021064","3-6","male","2016",36
"103021064","3-6","female","2016",41
"103021064","3-6",NA,"2016",0
"103021065","3-6","male","2016",142
"103021065","3-6","female","2016",157
"103021065","3-6",NA,"2016",0
"103021066","3-6","male","2016",56
"103021066","3-6","female","2016",39
"103021066","3-6",NA,"2016",0
"103021067","3-6","male","2016",160
"103021067","3-6","female","2016",120
"103021067","3-6",NA,"2016",0
"103021068","3-6","male","2016",32
