"STE_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"1","3-6","male","2016",88279
"1","3-6","female","2016",78743
"1","3-6",NA,"2016",0
"2","3-6","male","2016",66660
"2","3-6","female","2016",60030
"2","3-6",NA,"2016",0
"3","3-6","male","2016",56904
"3","3-6","female","2016",51693
"3","3-6",NA,"2016",1406
"4","3-6","male","2016",17035
"4","3-6","female","2016",16003
"4","3-6",NA,"2016",0
"5","3-6","male","2016",25666
"5","3-6","female","2016",24421
"5","3-6",NA,"2016",0
"6","3-6","male","2016",5375
"6","3-6","female","2016",4972
"6","3-6",NA,"2016",0
"7","3-6","male","2016",2575
"7","3-6","female","2016",2475
"7","3-6",NA,"2016",0
"8","3-6","male","2016",5142
"8","3-6","female","2016",4711
"8","3-6",NA,"2016",0
"9","3-6","male","2016",33
"9","3-6","female","2016",19
"9","3-6",NA,"2016",0
"1","3-6","male","2017",88299
"1","3-6","female","2017",79141
"1","3-6",NA,"2017",0
"2","3-6","male","2017",66817
"2","3-6","female","2017",60602
"2","3-6",NA,"2017",0
"3","3-6","male","2017",53478
"3","3-6","female","2017",48552
"3","3-6",NA,"2017",0
"4","3-6","male","2017",16977
"4","3-6","female","2017",15719
"4","3-6",NA,"2017",0
"5","3-6","male","2017",25624
"5","3-6","female","2017",24457
"5","3-6",NA,"2017",0
"6","3-6","male","2017",5218
"6","3-6","female","2017",5015
"6","3-6",NA,"2017",0
"7","3-6","male","2017",2352
"7","3-6","female","2017",2308
"7","3-6",NA,"2017",0
"8","3-6","male","2017",5341
"8","3-6","female","2017",4887
"8","3-6",NA,"2017",0
"9","3-6","male","2017",37
"9","3-6","female","2017",28
"9","3-6",NA,"2017",0
"1","3-6","male","2018",91594
"1","3-6","female","2018",82502
"1","3-6",NA,"2018",0
"2","3-6","male","2018",67830
"2","3-6","female","2018",60838
"2","3-6",NA,"2018",0
"3","3-6","male","2018",54148
"3","3-6","female","2018",49059
"3","3-6",NA,"2018",0
"4","3-6","male","2018",17225
"4","3-6","female","2018",15830
"4","3-6",NA,"2018",0
"5","3-6","male","2018",26337
"5","3-6","female","2018",24819
"5","3-6",NA,"2018",0
"6","3-6","male","2018",5507
"6","3-6","female","2018",5188
"6","3-6",NA,"2018",0
"7","3-6","male","2018",2447
"7","3-6","female","2018",2258
"7","3-6",NA,"2018",0
"8","3-6","male","2018",5602
"8","3-6","female","2018",5144
"8","3-6",NA,"2018",0
"9","3-6","male","2018",41
"9","3-6","female","2018",15
"9","3-6",NA,"2018",0
"1","3-6","male","2019",93378
"1","3-6","female","2019",84216
"1","3-6",NA,"2019",0
"2","3-6","male","2019",70938
"2","3-6","female","2019",64215
"2","3-6",NA,"2019",0
"3","3-6","male","2019",55235
"3","3-6","female","2019",50230
"3","3-6",NA,"2019",0
"4","3-6","male","2019",17235
"4","3-6","female","2019",16011
"4","3-6",NA,"2019",0
"5","3-6","male","2019",27217
"5","3-6","female","2019",25531
"5","3-6",NA,"2019",0
"6","3-6","male","2019",5644
"6","3-6","female","2019",5243
"6","3-6",NA,"2019",0
"7","3-6","male","2019",2421
"7","3-6","female","2019",2299
"7","3-6",NA,"2019",0
"8","3-6","male","2019",5803
"8","3-6","female","2019",5249
"8","3-6",NA,"2019",0
"9","3-6","male","2019",19
"9","3-6","female","2019",28
"9","3-6",NA,"2019",0
"1","3-6","male","2020",91129
"1","3-6","female","2020",82356
"1","3-6",NA,"2020",0
"2","3-6","male","2020",210
"2","3-6","female","2020",229
"2","3-6",NA,"2020",0
"3","3-6","male","2020",54049
"3","3-6","female","2020",49307
"3","3-6",NA,"2020",0
"4","3-6","male","2020",16853
"4","3-6","female","2020",15373
"4","3-6",NA,"2020",0
"5","3-6","male","2020",27927
"5","3-6","female","2020",26016
"5","3-6",NA,"2020",0
"6","3-6","male","2020",5623
"6","3-6","female","2020",5233
"6","3-6",NA,"2020",0
"7","3-6","male","2020",2506
"7","3-6","female","2020",2341
"7","3-6",NA,"2020",0
"8","3-6","male","2020",5836
"8","3-6","female","2020",5330
"8","3-6",NA,"2020",0
"9","3-6","male","2020",18
"9","3-6","female","2020",22
"9","3-6",NA,"2020",0
"1","3-6","male","2021",585
"1","3-6","female","2021",449
"1","3-6",NA,"2021",0
"2","3-6","male","2021",60
"2","3-6","female","2021",31
"2","3-6",NA,"2021",0
"3","3-6","male","2021",55066
"3","3-6","female","2021",49955
"3","3-6",NA,"2021",0
"4","3-6","male","2021",16786
"4","3-6","female","2021",15409
"4","3-6",NA,"2021",0
"5","3-6","male","2021",28424
"5","3-6","female","2021",26273
"5","3-6",NA,"2021",0
"6","3-6","male","2021",5825
"6","3-6","female","2021",5352
"6","3-6",NA,"2021",0
"7","3-6","male","2021",2532
"7","3-6","female","2021",2333
"7","3-6",NA,"2021",0
"8","3-6","male","2021",5858
"8","3-6","female","2021",5437
"8","3-6",NA,"2021",0
"9","3-6","male","2021",12
"9","3-6","female","2021",19
"9","3-6",NA,"2021",0
