"SA4_CODE16","sex","age_group","calendar_year","n_fatally_injured_in_road_accident"
101,"Female","0_to_16",2015,1
101,"Female","0_to_16",2018,1
101,"Male","0_to_16",2016,2
101,"Male","0_to_16",2021,1
102,"Female","0_to_16",2015,1
102,"Female","0_to_16",2017,1
102,"Female","0_to_16",2021,1
102,"Male","0_to_16",2015,2
102,"Male","0_to_16",2016,1
102,"Male","0_to_16",2021,2
102,"Male","0_to_16",2022,1
103,"Female","0_to_16",2015,1
103,"Female","0_to_16",2018,1
103,"Male","0_to_16",2015,1
103,"Male","0_to_16",2016,1
103,"Male","0_to_16",2020,1
103,"Male","0_to_16",2021,1
104,"Female","0_to_16",2017,1
104,"Male","0_to_16",2016,1
104,"Male","0_to_16",2021,1
105,"Female","0_to_16",2016,1
105,"Female","0_to_16",2019,1
105,"Male","0_to_16",2015,1
105,"Male","0_to_16",2016,1
105,"Male","0_to_16",2017,1
105,"Male","0_to_16",2018,2
105,"Male","0_to_16",2019,1
105,"Male","0_to_16",2020,2
105,"Male","0_to_16",2021,1
106,"Female","0_to_16",2015,1
106,"Female","0_to_16",2017,1
106,"Male","0_to_16",2015,2
106,"Male","0_to_16",2019,1
106,"Male","0_to_16",2022,1
107,"Female","0_to_16",2015,1
107,"Female","0_to_16",2019,1
107,"Male","0_to_16",2020,2
107,"Male","0_to_16",2022,1
108,"Female","0_to_16",2017,1
108,"Male","0_to_16",2017,1
108,"Male","0_to_16",2022,1
109,"Male","0_to_16",2016,1
109,"Male","0_to_16",2022,2
110,"Female","0_to_16",2015,1
110,"Female","0_to_16",2017,1
110,"Female","0_to_16",2020,1
110,"Female","0_to_16",2022,1
110,"Male","0_to_16",2018,2
110,"Male","0_to_16",2022,1
111,"Female","0_to_16",2016,1
111,"Female","0_to_16",2019,1
111,"Male","0_to_16",2016,2
111,"Male","0_to_16",2017,1
112,"Female","0_to_16",2015,2
112,"Female","0_to_16",2017,1
112,"Female","0_to_16",2018,1
112,"Male","0_to_16",2017,1
112,"Male","0_to_16",2021,1
113,"Female","0_to_16",2017,1
113,"Female","0_to_16",2020,1
113,"Female","0_to_16",2021,1
113,"Male","0_to_16",2015,1
113,"Male","0_to_16",2016,1
113,"Male","0_to_16",2017,2
113,"Male","0_to_16",2018,1
113,"Male","0_to_16",2021,1
114,"Female","0_to_16",2015,1
114,"Female","0_to_16",2020,1
114,"Female","0_to_16",2021,1
114,"Male","0_to_16",2017,1
114,"Male","0_to_16",2021,1
115,"Male","0_to_16",2015,1
115,"Male","0_to_16",2016,1
115,"Male","0_to_16",2022,1
116,"Female","0_to_16",2021,1
116,"Male","0_to_16",2016,1
116,"Male","0_to_16",2022,1
117,"Male","0_to_16",2021,1
117,"Male","0_to_16",2022,1
119,"Male","0_to_16",2015,1
119,"Male","0_to_16",2018,2
119,"Male","0_to_16",2019,2
121,"Male","0_to_16",2017,1
121,"Male","0_to_16",2018,1
123,"Female","0_to_16",2020,1
