"SA4_CODE16","sex","age_group","calendar_year","n_fatally_injured_in_road_accident"
101,"all","0-16",2015,1
101,"all","0-16",2016,2
101,"all","0-16",2018,1
101,"all","0-16",2021,1
102,"all","0-16",2015,3
102,"all","0-16",2016,1
102,"all","0-16",2017,1
102,"all","0-16",2021,3
102,"all","0-16",2022,1
103,"all","0-16",2015,2
103,"all","0-16",2016,1
103,"all","0-16",2018,1
103,"all","0-16",2020,1
103,"all","0-16",2021,1
104,"all","0-16",2016,1
104,"all","0-16",2017,1
104,"all","0-16",2021,1
105,"all","0-16",2015,1
105,"all","0-16",2016,2
105,"all","0-16",2017,1
105,"all","0-16",2018,2
105,"all","0-16",2019,2
105,"all","0-16",2020,2
105,"all","0-16",2021,1
106,"all","0-16",2015,3
106,"all","0-16",2017,1
106,"all","0-16",2019,1
106,"all","0-16",2022,1
107,"all","0-16",2015,1
107,"all","0-16",2019,1
107,"all","0-16",2020,2
107,"all","0-16",2022,1
108,"all","0-16",2017,2
108,"all","0-16",2022,1
109,"all","0-16",2016,1
109,"all","0-16",2022,2
110,"all","0-16",2015,1
110,"all","0-16",2017,1
110,"all","0-16",2018,2
110,"all","0-16",2020,1
110,"all","0-16",2022,2
111,"all","0-16",2016,3
111,"all","0-16",2017,1
111,"all","0-16",2019,1
112,"all","0-16",2015,2
112,"all","0-16",2017,2
112,"all","0-16",2018,1
112,"all","0-16",2021,1
113,"all","0-16",2015,1
113,"all","0-16",2016,1
113,"all","0-16",2017,3
113,"all","0-16",2018,1
113,"all","0-16",2020,1
113,"all","0-16",2021,2
114,"all","0-16",2015,1
114,"all","0-16",2017,1
114,"all","0-16",2020,1
114,"all","0-16",2021,2
115,"all","0-16",2015,1
115,"all","0-16",2016,1
115,"all","0-16",2022,1
116,"all","0-16",2016,1
116,"all","0-16",2021,1
116,"all","0-16",2022,1
117,"all","0-16",2021,1
117,"all","0-16",2022,1
119,"all","0-16",2015,1
119,"all","0-16",2018,2
119,"all","0-16",2019,2
121,"all","0-16",2017,1
121,"all","0-16",2018,1
123,"all","0-16",2016,1
123,"all","0-16",2017,1
123,"all","0-16",2020,1
123,"all","0-16",2022,3
124,"all","0-16",2015,2
124,"all","0-16",2020,1
125,"all","0-16",2016,2
125,"all","0-16",2019,1
125,"all","0-16",2020,2
126,"all","0-16",2017,1
127,"all","0-16",2017,1
127,"all","0-16",2019,1
127,"all","0-16",2020,1
127,"all","0-16",2021,1
127,"all","0-16",2022,1
128,"all","0-16",2021,1
201,"all","0-16",2017,1
201,"all","0-16",2019,1
201,"all","0-16",2022,1
202,"all","0-16",2019,1
202,"all","0-16",2020,2
204,"all","0-16",2015,1
204,"all","0-16",2018,1
204,"all","0-16",2021,1
205,"all","0-16",2015,2
205,"all","0-16",2017,1
205,"all","0-16",2018,1
205,"all","0-16",2019,1
205,"all","0-16",2020,1
206,"all","0-16",2021,2
207,"all","0-16",2015,1
207,"all","0-16",2018,2
208,"all","0-16",2021,2
209,"all","0-16",2015,1
209,"all","0-16",2019,1
210,"all","0-16",2015,2
210,"all","0-16",2021,2
211,"all","0-16",2015,2
211,"all","0-16",2018,1
211,"all","0-16",2019,1
212,"all","0-16",2015,2
212,"all","0-16",2017,2
212,"all","0-16",2018,1
212,"all","0-16",2019,1
213,"all","0-16",2015,1
213,"all","0-16",2017,1
213,"all","0-16",2018,2
213,"all","0-16",2021,3
213,"all","0-16",2022,2
214,"all","0-16",2017,1
214,"all","0-16",2020,3
214,"all","0-16",2022,1
215,"all","0-16",2015,1
215,"all","0-16",2019,1
216,"all","0-16",2017,1
216,"all","0-16",2018,1
216,"all","0-16",2019,1
217,"all","0-16",2015,1
217,"all","0-16",2017,1
217,"all","0-16",2019,2
217,"all","0-16",2020,1
217,"all","0-16",2021,1
217,"all","0-16",2022,1
301,"all","0-16",2021,1
301,"all","0-16",2022,1
302,"all","0-16",2018,1
306,"all","0-16",2019,1
306,"all","0-16",2022,1
307,"all","0-16",2018,4
307,"all","0-16",2019,1
307,"all","0-16",2020,2
307,"all","0-16",2021,4
307,"all","0-16",2022,3
308,"all","0-16",2019,3
308,"all","0-16",2020,1
308,"all","0-16",2021,2
308,"all","0-16",2022,2
309,"all","0-16",2018,2
309,"all","0-16",2019,1
309,"all","0-16",2020,1
310,"all","0-16",2018,1
310,"all","0-16",2019,3
310,"all","0-16",2020,3
310,"all","0-16",2021,1
311,"all","0-16",2018,1
311,"all","0-16",2020,1
311,"all","0-16",2022,3
312,"all","0-16",2019,2
312,"all","0-16",2020,2
312,"all","0-16",2021,2
312,"all","0-16",2022,1
313,"all","0-16",2019,1
313,"all","0-16",2020,1
315,"all","0-16",2020,1
315,"all","0-16",2021,1
315,"all","0-16",2022,2
316,"all","0-16",2021,1
316,"all","0-16",2022,2
317,"all","0-16",2018,1
318,"all","0-16",2019,2
318,"all","0-16",2020,2
318,"all","0-16",2021,2
318,"all","0-16",2022,1
319,"all","0-16",2018,3
319,"all","0-16",2022,1
401,"all","0-16",2020,1
401,"all","0-16",2021,1
401,"all","0-16",2022,1
402,"all","0-16",2014,1
402,"all","0-16",2015,1
402,"all","0-16",2016,2
402,"all","0-16",2019,1
403,"all","0-16",2017,1
403,"all","0-16",2019,1
404,"all","0-16",2015,1
405,"all","0-16",2014,3
405,"all","0-16",2015,2
405,"all","0-16",2016,2
405,"all","0-16",2017,1
405,"all","0-16",2018,1
405,"all","0-16",2020,3
405,"all","0-16",2021,2
406,"all","0-16",2014,2
406,"all","0-16",2018,3
406,"all","0-16",2021,1
406,"all","0-16",2022,1
407,"all","0-16",2014,2
407,"all","0-16",2015,2
407,"all","0-16",2017,1
407,"all","0-16",2019,2
501,"all","0-16",2014,1
501,"all","0-16",2015,1
501,"all","0-16",2016,1
501,"all","0-16",2019,1
501,"all","0-16",2020,2
501,"all","0-16",2021,2
502,"all","0-16",2020,2
504,"all","0-16",2014,1
504,"all","0-16",2018,2
504,"all","0-16",2020,1
504,"all","0-16",2021,1
505,"all","0-16",2015,1
505,"all","0-16",2016,3
506,"all","0-16",2015,5
506,"all","0-16",2017,1
506,"all","0-16",2018,1
506,"all","0-16",2019,1
506,"all","0-16",2021,2
507,"all","0-16",2014,1
507,"all","0-16",2016,1
507,"all","0-16",2017,1
507,"all","0-16",2018,2
509,"all","0-16",2014,3
509,"all","0-16",2016,3
509,"all","0-16",2017,1
509,"all","0-16",2018,2
509,"all","0-16",2019,1
509,"all","0-16",2021,3
510,"all","0-16",2015,3
510,"all","0-16",2016,2
510,"all","0-16",2017,1
510,"all","0-16",2019,1
510,"all","0-16",2020,1
511,"all","0-16",2014,2
511,"all","0-16",2015,2
511,"all","0-16",2016,2
511,"all","0-16",2017,4
511,"all","0-16",2018,2
511,"all","0-16",2020,2
601,"all","0-16",2014,1
601,"all","0-16",2016,1
601,"all","0-16",2017,1
601,"all","0-16",2020,2
601,"all","0-16",2021,1
601,"all","0-16",2022,1
602,"all","0-16",2014,1
602,"all","0-16",2017,2
602,"all","0-16",2020,1
602,"all","0-16",2021,1
604,"all","0-16",2014,2
604,"all","0-16",2016,3
604,"all","0-16",2022,3
701,"all","0-16",2017,1
701,"all","0-16",2018,1
701,"all","0-16",2019,1
701,"all","0-16",2021,1
702,"all","0-16",2015,1
702,"all","0-16",2016,4
702,"all","0-16",2018,1
702,"all","0-16",2019,2
702,"all","0-16",2020,2
702,"all","0-16",2021,2
702,"all","0-16",2022,3
801,"all","0-16",2015,1
801,"all","0-16",2018,2
801,"all","0-16",2022,1
