"STE_CODE16","sex","age_group","calendar_year","n_fatally_injured_in_road_accident"
"1","female","0-16",2008,3
"1","female","0-16",2009,14
"1","female","0-16",2010,6
"1","female","0-16",2011,8
"1","female","0-16",2012,6
"1","female","0-16",2013,6
"1","female","0-16",2014,6
"1","female","0-16",2015,9
"1","female","0-16",2016,2
"1","female","0-16",2017,8
"1","female","0-16",2018,3
"1","female","0-16",2019,3
"1","female","0-16",2020,6
"1","female","0-16",2021,5
"1","female","0-16",2022,3
"1","male","0-16",2008,14
"1","male","0-16",2009,18
"1","male","0-16",2010,10
"1","male","0-16",2011,10
"1","male","0-16",2012,15
"1","male","0-16",2013,6
"1","male","0-16",2014,6
"1","male","0-16",2015,11
"1","male","0-16",2016,15
"1","male","0-16",2017,10
"1","male","0-16",2018,8
"1","male","0-16",2019,6
"1","male","0-16",2020,7
"1","male","0-16",2021,11
"1","male","0-16",2022,12
"2","female","0-16",2008,5
"2","female","0-16",2009,7
"2","female","0-16",2010,2
"2","female","0-16",2011,7
"2","female","0-16",2012,8
"2","female","0-16",2013,5
"2","female","0-16",2014,8
"2","female","0-16",2015,5
"2","female","0-16",2016,5
"2","female","0-16",2017,6
"2","female","0-16",2018,5
"2","female","0-16",2019,3
"2","female","0-16",2020,3
"2","female","0-16",2021,3
"2","female","0-16",2022,2
"2","male","0-16",2008,7
"2","male","0-16",2009,9
"2","male","0-16",2010,11
"2","male","0-16",2011,15
"2","male","0-16",2012,4
"2","male","0-16",2013,3
"2","male","0-16",2014,6
"2","male","0-16",2015,9
"2","male","0-16",2016,3
"2","male","0-16",2017,2
"2","male","0-16",2018,4
"2","male","0-16",2019,7
"2","male","0-16",2020,4
"2","male","0-16",2021,8
"2","male","0-16",2022,5
"2",NA,"0-16",2008,1
"2",NA,"0-16",2009,2
"2",NA,"0-16",2010,1
"3","female","0-16",2008,8
"3","female","0-16",2009,13
"3","female","0-16",2010,3
"3","female","0-16",2011,10
"3","female","0-16",2012,10
"3","female","0-16",2013,7
"3","female","0-16",2014,4
"3","female","0-16",2015,2
"3","female","0-16",2016,1
"3","female","0-16",2017,2
"3","female","0-16",2018,3
"3","female","0-16",2019,6
"3","female","0-16",2020,6
"3","female","0-16",2021,6
"3","female","0-16",2022,3
"3","male","0-16",2008,10
"3","male","0-16",2009,11
"3","male","0-16",2010,13
"3","male","0-16",2011,15
"3","male","0-16",2012,4
"3","male","0-16",2013,13
"3","male","0-16",2014,6
"3","male","0-16",2015,6
"3","male","0-16",2016,6
"3","male","0-16",2017,4
"3","male","0-16",2018,9
"3","male","0-16",2019,8
"3","male","0-16",2020,8
"3","male","0-16",2021,8
"3","male","0-16",2022,14
"3","unspecified","0-16",2016,1
"3",NA,"0-16",2009,1
"3",NA,"0-16",2011,2
"3",NA,"0-16",2013,1
"3",NA,"0-16",2014,1
"3",NA,"0-16",2018,1
"4","female","0-16",2008,4
"4","female","0-16",2009,3
"4","female","0-16",2010,2
"4","female","0-16",2011,2
"4","female","0-16",2012,1
"4","female","0-16",2013,3
"4","female","0-16",2014,3
"4","female","0-16",2015,3
"4","female","0-16",2016,3
"4","female","0-16",2018,1
"4","female","0-16",2019,3
"4","female","0-16",2020,1
"4","male","0-16",2008,2
"4","male","0-16",2009,4
"4","male","0-16",2010,2
"4","male","0-16",2011,1
"4","male","0-16",2012,3
"4","male","0-16",2013,2
"4","male","0-16",2014,5
"4","male","0-16",2015,3
"4","male","0-16",2016,1
"4","male","0-16",2017,3
"4","male","0-16",2018,3
"4","male","0-16",2019,1
"4","male","0-16",2020,3
"4","male","0-16",2021,4
"4","male","0-16",2022,2
"5","female","0-16",2008,5
"5","female","0-16",2009,6
"5","female","0-16",2010,5
"5","female","0-16",2011,4
"5","female","0-16",2012,3
"5","female","0-16",2013,3
"5","female","0-16",2014,5
"5","female","0-16",2015,6
"5","female","0-16",2016,4
"5","female","0-16",2017,1
"5","female","0-16",2018,4
"5","female","0-16",2019,3
"5","female","0-16",2020,5
"5","female","0-16",2021,3
"5","female","0-16",2022,2
"5","male","0-16",2008,11
"5","male","0-16",2009,10
"5","male","0-16",2010,7
"5","male","0-16",2011,7
"5","male","0-16",2012,6
"5","male","0-16",2013,9
"5","male","0-16",2014,5
"5","male","0-16",2015,8
"5","male","0-16",2016,8
"5","male","0-16",2017,7
"5","male","0-16",2018,6
"5","male","0-16",2019,1
"5","male","0-16",2020,3
"5","male","0-16",2021,8
"5","male","0-16",2022,6
"6","female","0-16",2009,1
"6","female","0-16",2011,1
"6","female","0-16",2012,1
"6","female","0-16",2014,3
"6","female","0-16",2016,2
"6","female","0-16",2017,1
"6","female","0-16",2020,2
"6","female","0-16",2021,1
"6","male","0-16",2008,4
"6","male","0-16",2009,3
"6","male","0-16",2010,2
"6","male","0-16",2012,1
"6","male","0-16",2013,1
"6","male","0-16",2014,1
"6","male","0-16",2016,2
"6","male","0-16",2017,2
"6","male","0-16",2020,1
"6","male","0-16",2021,1
"6","male","0-16",2022,4
"7","female","0-16",2008,3
"7","female","0-16",2010,1
"7","female","0-16",2011,2
"7","female","0-16",2012,3
"7","female","0-16",2013,2
"7","female","0-16",2014,1
"7","female","0-16",2015,1
"7","female","0-16",2016,1
"7","female","0-16",2020,1
"7","female","0-16",2022,2
"7","male","0-16",2008,3
"7","male","0-16",2010,3
"7","male","0-16",2011,3
"7","male","0-16",2013,1
"7","male","0-16",2014,1
"7","male","0-16",2016,3
"7","male","0-16",2017,1
"7","male","0-16",2018,2
"7","male","0-16",2019,3
"7","male","0-16",2020,1
"7","male","0-16",2021,3
"7","male","0-16",2022,1
"8","female","0-16",2008,1
"8","female","0-16",2015,1
"8","female","0-16",2020,1
"8","female","0-16",2022,1
"8","male","0-16",2010,1
