"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"101","all","0-16","2008-2012","0"
"101","all","0-16","2009-2013","0"
"101","all","0-16","2010-2014","0"
"101","all","0-16","2011-2015","0.2"
"101","all","0-16","2012-2016","0.6"
"101","all","0-16","2013-2017","0.6"
"101","all","0-16","2014-2018","0.8"
"101","all","0-16","2015-2019","0.8"
"101","all","0-16","2016-2020","0.6"
"101","all","0-16","2017-2021","0.4"
"101","all","0-16","2018-2022","0.4"
"102","all","0-16","2008-2012","0"
"102","all","0-16","2009-2013","0"
"102","all","0-16","2010-2014","0"
"102","all","0-16","2011-2015","0.6"
"102","all","0-16","2012-2016","0.8"
"102","all","0-16","2013-2017","1"
"102","all","0-16","2014-2018","1"
"102","all","0-16","2015-2019","1"
"102","all","0-16","2016-2020","0.4"
"102","all","0-16","2017-2021","0.8"
"102","all","0-16","2018-2022","0.8"
"103","all","0-16","2008-2012","0"
"103","all","0-16","2009-2013","0"
"103","all","0-16","2010-2014","0"
"103","all","0-16","2011-2015","0.4"
"103","all","0-16","2012-2016","0.6"
"103","all","0-16","2013-2017","0.6"
"103","all","0-16","2014-2018","0.8"
"103","all","0-16","2015-2019","0.8"
"103","all","0-16","2016-2020","0.6"
"103","all","0-16","2017-2021","0.6"
"103","all","0-16","2018-2022","0.6"
"104","all","0-16","2008-2012","0"
"104","all","0-16","2009-2013","0"
"104","all","0-16","2010-2014","0"
"104","all","0-16","2011-2015","0"
"104","all","0-16","2012-2016","0.2"
"104","all","0-16","2013-2017","0.4"
"104","all","0-16","2014-2018","0.4"
"104","all","0-16","2015-2019","0.4"
"104","all","0-16","2016-2020","0.4"
"104","all","0-16","2017-2021","0.4"
"104","all","0-16","2018-2022","0.2"
"105","all","0-16","2008-2012","0"
"105","all","0-16","2009-2013","0"
"105","all","0-16","2010-2014","0"
"105","all","0-16","2011-2015","0.2"
"105","all","0-16","2012-2016","0.6"
"105","all","0-16","2013-2017","0.8"
"105","all","0-16","2014-2018","1.2"
"105","all","0-16","2015-2019","1.6"
"105","all","0-16","2016-2020","1.8"
"105","all","0-16","2017-2021","1.6"
"105","all","0-16","2018-2022","1.4"
"106","all","0-16","2008-2012","0"
"106","all","0-16","2009-2013","0"
"106","all","0-16","2010-2014","0"
"106","all","0-16","2011-2015","0.6"
"106","all","0-16","2012-2016","0.6"
"106","all","0-16","2013-2017","0.8"
"106","all","0-16","2014-2018","0.8"
"106","all","0-16","2015-2019","1"
"106","all","0-16","2016-2020","0.4"
