"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"101","all","0-16","2008-2017","3"
"101","all","0-16","2009-2018","4"
"101","all","0-16","2010-2019","4"
"101","all","0-16","2011-2020","4"
"101","all","0-16","2012-2021","5"
"101","all","0-16","2013-2022","5"
"102","all","0-16","2008-2017","5"
"102","all","0-16","2009-2018","5"
"102","all","0-16","2010-2019","5"
"102","all","0-16","2011-2020","5"
"102","all","0-16","2012-2021","8"
"102","all","0-16","2013-2022","9"
"103","all","0-16","2008-2017","3"
"103","all","0-16","2009-2018","4"
"103","all","0-16","2010-2019","4"
"103","all","0-16","2011-2020","5"
"103","all","0-16","2012-2021","6"
"103","all","0-16","2013-2022","6"
"104","all","0-16","2008-2017","2"
"104","all","0-16","2009-2018","2"
"104","all","0-16","2010-2019","2"
"104","all","0-16","2011-2020","2"
"104","all","0-16","2012-2021","3"
"104","all","0-16","2013-2022","3"
"105","all","0-16","2008-2017","4"
"105","all","0-16","2009-2018","6"
"105","all","0-16","2010-2019","8"
"105","all","0-16","2011-2020","10"
"105","all","0-16","2012-2021","11"
"105","all","0-16","2013-2022","11"
"106","all","0-16","2008-2017","4"
"106","all","0-16","2009-2018","4"
"106","all","0-16","2010-2019","5"
"106","all","0-16","2011-2020","5"
"106","all","0-16","2012-2021","5"
"106","all","0-16","2013-2022","6"
"107","all","0-16","2008-2017","1"
"107","all","0-16","2009-2018","1"
"107","all","0-16","2010-2019","2"
"107","all","0-16","2011-2020","4"
"107","all","0-16","2012-2021","4"
"107","all","0-16","2013-2022","5"
"108","all","0-16","2008-2017","2"
"108","all","0-16","2009-2018","2"
"108","all","0-16","2010-2019","2"
"108","all","0-16","2011-2020","2"
"108","all","0-16","2012-2021","2"
"108","all","0-16","2013-2022","3"
"109","all","0-16","2008-2017","1"
"109","all","0-16","2009-2018","1"
"109","all","0-16","2010-2019","1"
"109","all","0-16","2011-2020","1"
"109","all","0-16","2012-2021","1"
"109","all","0-16","2013-2022","3"
"110","all","0-16","2008-2017","2"
"110","all","0-16","2009-2018","4"
"110","all","0-16","2010-2019","4"
"110","all","0-16","2011-2020","5"
"110","all","0-16","2012-2021","5"
"110","all","0-16","2013-2022","7"
"111","all","0-16","2008-2017","4"
"111","all","0-16","2009-2018","4"
"111","all","0-16","2010-2019","5"
"111","all","0-16","2011-2020","5"
"111","all","0-16","2012-2021","5"
"111","all","0-16","2013-2022","5"
"112","all","0-16","2008-2017","4"
"112","all","0-16","2009-2018","5"
"112","all","0-16","2010-2019","5"
"112","all","0-16","2011-2020","5"
"112","all","0-16","2012-2021","6"
"112","all","0-16","2013-2022","6"
"113","all","0-16","2008-2017","5"
"113","all","0-16","2009-2018","6"
"113","all","0-16","2010-2019","6"
"113","all","0-16","2011-2020","7"
"113","all","0-16","2012-2021","9"
"113","all","0-16","2013-2022","9"
"114","all","0-16","2008-2017","2"
"114","all","0-16","2009-2018","2"
"114","all","0-16","2010-2019","2"
"114","all","0-16","2011-2020","3"
"114","all","0-16","2012-2021","5"
"114","all","0-16","2013-2022","5"
"115","all","0-16","2008-2017","2"
"115","all","0-16","2009-2018","2"
"115","all","0-16","2010-2019","2"
"115","all","0-16","2011-2020","2"
"115","all","0-16","2012-2021","2"
"115","all","0-16","2013-2022","3"
"116","all","0-16","2008-2017","1"
"116","all","0-16","2009-2018","1"
"116","all","0-16","2010-2019","1"
"116","all","0-16","2011-2020","1"
"116","all","0-16","2012-2021","2"
"116","all","0-16","2013-2022","3"
"117","all","0-16","2008-2017","0"
"117","all","0-16","2009-2018","0"
"117","all","0-16","2010-2019","0"
"117","all","0-16","2011-2020","0"
"117","all","0-16","2012-2021","1"
"117","all","0-16","2013-2022","2"
"119","all","0-16","2008-2017","1"
"119","all","0-16","2009-2018","3"
"119","all","0-16","2010-2019","5"
"119","all","0-16","2011-2020","5"
"119","all","0-16","2012-2021","5"
"119","all","0-16","2013-2022","5"
"121","all","0-16","2008-2017","1"
"121","all","0-16","2009-2018","2"
"121","all","0-16","2010-2019","2"
"121","all","0-16","2011-2020","2"
"121","all","0-16","2012-2021","2"
"121","all","0-16","2013-2022","2"
"123","all","0-16","2008-2017","2"
"123","all","0-16","2009-2018","2"
"123","all","0-16","2010-2019","2"
"123","all","0-16","2011-2020","3"
"123","all","0-16","2012-2021","3"
"123","all","0-16","2013-2022","6"
"124","all","0-16","2008-2017","2"
"124","all","0-16","2009-2018","2"
"124","all","0-16","2010-2019","2"
"124","all","0-16","2011-2020","3"
"124","all","0-16","2012-2021","3"
"124","all","0-16","2013-2022","3"
"125","all","0-16","2008-2017","2"
"125","all","0-16","2009-2018","2"
"125","all","0-16","2010-2019","3"
"125","all","0-16","2011-2020","5"
"125","all","0-16","2012-2021","5"
"125","all","0-16","2013-2022","5"
"126","all","0-16","2008-2017","1"
"126","all","0-16","2009-2018","1"
"126","all","0-16","2010-2019","1"
"126","all","0-16","2011-2020","1"
"126","all","0-16","2012-2021","1"
"126","all","0-16","2013-2022","1"
"127","all","0-16","2008-2017","1"
"127","all","0-16","2009-2018","1"
"127","all","0-16","2010-2019","2"
"127","all","0-16","2011-2020","3"
"127","all","0-16","2012-2021","4"
"127","all","0-16","2013-2022","5"
"128","all","0-16","2008-2017","0"
"128","all","0-16","2009-2018","0"
"128","all","0-16","2010-2019","0"
"128","all","0-16","2011-2020","0"
"128","all","0-16","2012-2021","1"
"128","all","0-16","2013-2022","1"
"201","all","0-16","2008-2017","1"
"201","all","0-16","2009-2018","1"
"201","all","0-16","2010-2019","2"
"201","all","0-16","2011-2020","2"
"201","all","0-16","2012-2021","2"
"201","all","0-16","2013-2022","3"
"202","all","0-16","2008-2017","0"
"202","all","0-16","2009-2018","0"
"202","all","0-16","2010-2019","1"
"202","all","0-16","2011-2020","3"
"202","all","0-16","2012-2021","3"
"202","all","0-16","2013-2022","3"
"204","all","0-16","2008-2017","1"
"204","all","0-16","2009-2018","2"
"204","all","0-16","2010-2019","2"
"204","all","0-16","2011-2020","2"
"204","all","0-16","2012-2021","3"
"204","all","0-16","2013-2022","3"
"205","all","0-16","2008-2017","3"
"205","all","0-16","2009-2018","4"
"205","all","0-16","2010-2019","5"
"205","all","0-16","2011-2020","6"
"205","all","0-16","2012-2021","6"
"205","all","0-16","2013-2022","6"
"206","all","0-16","2008-2017","0"
"206","all","0-16","2009-2018","0"
"206","all","0-16","2010-2019","0"
"206","all","0-16","2011-2020","0"
"206","all","0-16","2012-2021","2"
"206","all","0-16","2013-2022","2"
"207","all","0-16","2008-2017","1"
"207","all","0-16","2009-2018","3"
"207","all","0-16","2010-2019","3"
"207","all","0-16","2011-2020","3"
"207","all","0-16","2012-2021","3"
"207","all","0-16","2013-2022","3"
"208","all","0-16","2008-2017","0"
"208","all","0-16","2009-2018","0"
"208","all","0-16","2010-2019","0"
"208","all","0-16","2011-2020","0"
"208","all","0-16","2012-2021","2"
"208","all","0-16","2013-2022","2"
"209","all","0-16","2008-2017","1"
"209","all","0-16","2009-2018","1"
"209","all","0-16","2010-2019","2"
"209","all","0-16","2011-2020","2"
"209","all","0-16","2012-2021","2"
"209","all","0-16","2013-2022","2"
"210","all","0-16","2008-2017","2"
"210","all","0-16","2009-2018","2"
"210","all","0-16","2010-2019","2"
"210","all","0-16","2011-2020","2"
"210","all","0-16","2012-2021","4"
"210","all","0-16","2013-2022","4"
"211","all","0-16","2008-2017","2"
"211","all","0-16","2009-2018","3"
