"SA4_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
101,"female","17-25",2017,"driver",1
101,"female","17-25",2018,"driver",1
101,"female","17-25",2019,"driver",1
101,"female","17-25",2019,"passenger",1
101,"female","17-25",2022,"driver",4
101,"male","17-25",2015,"driver",1
101,"male","17-25",2015,"other",1
101,"male","17-25",2016,"driver",1
101,"male","17-25",2016,"other",1
101,"male","17-25",2017,"other",1
101,"male","17-25",2018,"passenger",1
101,"male","17-25",2019,"driver",1
101,"male","17-25",2019,"passenger",1
101,"male","17-25",2020,"driver",1
101,"male","17-25",2021,"driver",4
101,"male","17-25",2021,"other",1
101,"male","17-25",2022,"driver",1
102,"female","17-25",2015,"driver",1
102,"female","17-25",2016,"driver",1
102,"female","17-25",2017,"driver",1
102,"female","17-25",2020,"driver",1
102,"female","17-25",2022,"driver",1
102,"male","17-25",2016,"driver",1
102,"male","17-25",2016,"passenger",1
102,"male","17-25",2017,"driver",2
102,"male","17-25",2018,"driver",1
102,"male","17-25",2018,"other",3
102,"male","17-25",2018,"passenger",1
102,"male","17-25",2019,"driver",2
102,"male","17-25",2020,"passenger",1
103,"female","17-25",2015,"passenger",1
103,"female","17-25",2016,"passenger",1
103,"female","17-25",2017,"driver",1
103,"female","17-25",2017,"passenger",2
103,"female","17-25",2018,"driver",1
103,"female","17-25",2020,"driver",1
103,"female","17-25",2021,"driver",1
103,"female","17-25",2022,"passenger",1
103,"male","17-25",2015,"driver",2
103,"male","17-25",2015,"passenger",1
103,"male","17-25",2016,"driver",5
103,"male","17-25",2016,"passenger",2
103,"male","17-25",2017,"driver",1
103,"male","17-25",2017,"other",1
103,"male","17-25",2018,"driver",5
103,"male","17-25",2019,"driver",2
103,"male","17-25",2019,"passenger",2
103,"male","17-25",2020,"driver",1
103,"male","17-25",2021,"driver",3
103,"male","17-25",2021,"other",3
103,"male","17-25",2022,"driver",1
103,"male","17-25",2022,"other",1
104,"female","17-25",2015,"driver",1
104,"female","17-25",2016,"passenger",1
104,"female","17-25",2018,"passenger",1
104,"female","17-25",2019,"driver",1
104,"female","17-25",2020,"driver",1
104,"female","17-25",2020,"passenger",1
104,"female","17-25",2021,"driver",1
104,"male","17-25",2015,"driver",1
104,"male","17-25",2015,"other",1
104,"male","17-25",2016,"driver",2
104,"male","17-25",2016,"other",1
104,"male","17-25",2017,"driver",1
104,"male","17-25",2017,"passenger",2
104,"male","17-25",2018,"driver",2
104,"male","17-25",2018,"passenger",1
104,"male","17-25",2019,"other",2
104,"male","17-25",2020,"driver",1
104,"male","17-25",2020,"passenger",1
104,"male","17-25",2021,"driver",1
105,"female","17-25",2015,"passenger",1
105,"female","17-25",2016,"passenger",1
105,"female","17-25",2018,"driver",1
105,"female","17-25",2019,"passenger",1
