"STE_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
"1","female","17-25",2008,"driver",13
"1","female","17-25",2008,"other",1
"1","female","17-25",2008,"passenger",6
"1","female","17-25",2009,"driver",7
"1","female","17-25",2009,"other",3
"1","female","17-25",2009,"passenger",10
"1","female","17-25",2010,"driver",14
"1","female","17-25",2010,"other",3
"1","female","17-25",2010,"passenger",10
"1","female","17-25",2011,"driver",14
"1","female","17-25",2011,"other",1
"1","female","17-25",2011,"passenger",7
"1","female","17-25",2012,"driver",9
"1","female","17-25",2012,"other",2
"1","female","17-25",2012,"passenger",6
"1","female","17-25",2013,"driver",11
"1","female","17-25",2013,"other",1
"1","female","17-25",2013,"passenger",7
"1","female","17-25",2014,"driver",8
"1","female","17-25",2014,"other",4
"1","female","17-25",2014,"passenger",6
"1","female","17-25",2015,"driver",13
"1","female","17-25",2015,"passenger",5
"1","female","17-25",2016,"driver",8
"1","female","17-25",2016,"other",2
"1","female","17-25",2016,"passenger",4
"1","female","17-25",2017,"driver",6
"1","female","17-25",2017,"other",3
"1","female","17-25",2017,"passenger",7
"1","female","17-25",2018,"driver",14
"1","female","17-25",2018,"other",2
"1","female","17-25",2018,"passenger",6
"1","female","17-25",2019,"driver",4
"1","female","17-25",2019,"other",2
"1","female","17-25",2019,"passenger",6
"1","female","17-25",2020,"driver",7
"1","female","17-25",2020,"other",4
"1","female","17-25",2020,"passenger",4
"1","female","17-25",2021,"driver",6
"1","female","17-25",2021,"other",3
"1","female","17-25",2021,"passenger",1
"1","female","17-25",2022,"driver",11
"1","female","17-25",2022,"other",3
"1","female","17-25",2022,"passenger",1
"1","male","17-25",2008,"driver",34
"1","male","17-25",2008,"other",22
"1","male","17-25",2008,"passenger",14
"1","male","17-25",2009,"driver",40
"1","male","17-25",2009,"other",21
"1","male","17-25",2009,"passenger",22
"1","male","17-25",2010,"driver",35
"1","male","17-25",2010,"other",23
"1","male","17-25",2010,"passenger",14
"1","male","17-25",2011,"driver",30
"1","male","17-25",2011,"other",16
"1","male","17-25",2011,"passenger",9
"1","male","17-25",2012,"driver",30
"1","male","17-25",2012,"other",18
"1","male","17-25",2012,"passenger",18
"1","male","17-25",2013,"driver",31
"1","male","17-25",2013,"other",16
"1","male","17-25",2013,"passenger",8
"1","male","17-25",2014,"driver",29
"1","male","17-25",2014,"other",15
"1","male","17-25",2014,"passenger",4
"1","male","17-25",2015,"driver",17
"1","male","17-25",2015,"other",9
"1","male","17-25",2015,"passenger",9
"1","male","17-25",2016,"driver",32
"1","male","17-25",2016,"other",21
"1","male","17-25",2016,"passenger",10
"1","male","17-25",2017,"driver",29
"1","male","17-25",2017,"other",22
"1","male","17-25",2017,"passenger",12
"1","male","17-25",2018,"driver",28
"1","male","17-25",2018,"other",17
"1","male","17-25",2018,"passenger",11
"1","male","17-25",2019,"driver",17
"1","male","17-25",2019,"other",21
"1","male","17-25",2019,"passenger",11
"1","male","17-25",2020,"driver",20
"1","male","17-25",2020,"other",8
"1","male","17-25",2020,"passenger",10
"1","male","17-25",2021,"driver",24
"1","male","17-25",2021,"other",16
"1","male","17-25",2021,"passenger",3
"1","male","17-25",2022,"driver",12
"1","male","17-25",2022,"other",19
"1","male","17-25",2022,"passenger",8
"2","female","17-25",2008,"driver",10
"2","female","17-25",2008,"other",3
"2","female","17-25",2008,"passenger",8
"2","female","17-25",2009,"driver",11
"2","female","17-25",2009,"other",1
"2","female","17-25",2009,"passenger",7
"2","female","17-25",2010,"driver",6
"2","female","17-25",2010,"other",2
"2","female","17-25",2010,"passenger",3
"2","female","17-25",2011,"driver",8
"2","female","17-25",2011,"passenger",7
"2","female","17-25",2012,"driver",8
"2","female","17-25",2012,"other",1
"2","female","17-25",2012,"passenger",5
"2","female","17-25",2013,"driver",9
"2","female","17-25",2013,"passenger",2
"2","female","17-25",2014,"driver",6
"2","female","17-25",2014,"other",1
"2","female","17-25",2014,"passenger",4
"2","female","17-25",2015,"driver",6
"2","female","17-25",2015,"other",1
"2","female","17-25",2015,"passenger",3
"2","female","17-25",2016,"driver",7
"2","female","17-25",2016,"other",4
"2","female","17-25",2016,"passenger",1
"2","female","17-25",2017,"driver",10
"2","female","17-25",2017,"passenger",1
"2","female","17-25",2018,"driver",2
"2","female","17-25",2018,"passenger",4
"2","female","17-25",2019,"driver",1
"2","female","17-25",2019,"other",3
"2","female","17-25",2019,"passenger",9
"2","female","17-25",2020,"driver",2
"2","female","17-25",2020,"other",2
"2","female","17-25",2020,"passenger",2
"2","female","17-25",2021,"driver",5
"2","female","17-25",2021,"other",2
"2","female","17-25",2021,"passenger",2
"2","female","17-25",2022,"driver",7
"2","female","17-25",2022,"other",2
"2","female","17-25",2022,"passenger",3
