"STE_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"1","all","17-25","2008-2012","driver","45.2"
"1","all","17-25","2008-2012","other","22"
"1","all","17-25","2008-2012","passenger","23.2"
"1","all","17-25","2009-2013","driver","44.2"
"1","all","17-25","2009-2013","other","20.8"
"1","all","17-25","2009-2013","passenger","22.2"
"1","all","17-25","2010-2014","driver","42.2"
"1","all","17-25","2010-2014","other","19.8"
"1","all","17-25","2010-2014","passenger","17.8"
"1","all","17-25","2011-2015","driver","38.4"
"1","all","17-25","2011-2015","other","16.4"
"1","all","17-25","2011-2015","passenger","15.8"
"1","all","17-25","2012-2016","driver","37.6"
"1","all","17-25","2012-2016","other","17.6"
"1","all","17-25","2012-2016","passenger","15.4"
"1","all","17-25","2013-2017","driver","36.8"
"1","all","17-25","2013-2017","other","18.6"
"1","all","17-25","2013-2017","passenger","14.4"
"1","all","17-25","2014-2018","driver","36.8"
"1","all","17-25","2014-2018","other","19"
"1","all","17-25","2014-2018","passenger","14.8"
"1","all","17-25","2015-2019","driver","33.6"
"1","all","17-25","2015-2019","other","19.8"
"1","all","17-25","2015-2019","passenger","16.2"
"1","all","17-25","2016-2020","driver","33"
"1","all","17-25","2016-2020","other","20.4"
"1","all","17-25","2016-2020","passenger","16.2"
"1","all","17-25","2017-2021","driver","31"
"1","all","17-25","2017-2021","other","19.6"
"1","all","17-25","2017-2021","passenger","14.2"
"1","all","17-25","2018-2022","driver","28.6"
"1","all","17-25","2018-2022","other","19"
"1","all","17-25","2018-2022","passenger","12.2"
"2","all","17-25","2008-2012","driver","35.6"
"2","all","17-25","2008-2012","other","15.4"
"2","all","17-25","2008-2012","passenger","18.6"
"2","all","17-25","2009-2013","driver","32.2"
"2","all","17-25","2009-2013","other","13.4"
"2","all","17-25","2009-2013","passenger","15.6"
"2","all","17-25","2010-2014","driver","30"
"2","all","17-25","2010-2014","other","13.6"
"2","all","17-25","2010-2014","passenger","14.2"
"2","all","17-25","2011-2015","driver","27.8"
"2","all","17-25","2011-2015","other","12"
"2","all","17-25","2011-2015","passenger","13.2"
"2","all","17-25","2012-2016","driver","27.2"
"2","all","17-25","2012-2016","other","12.6"
"2","all","17-25","2012-2016","passenger","9.4"
"2","all","17-25","2013-2017","driver","26.6"
"2","all","17-25","2013-2017","other","11.2"
"2","all","17-25","2013-2017","passenger","8.6"
"2","all","17-25","2014-2018","driver","25"
"2","all","17-25","2014-2018","other","10.8"
"2","all","17-25","2014-2018","passenger","8.8"
"2","all","17-25","2015-2019","driver","24.4"
"2","all","17-25","2015-2019","other","11.4"
"2","all","17-25","2015-2019","passenger","9.8"
"2","all","17-25","2016-2020","driver","22.6"
"2","all","17-25","2016-2020","other","11.8"
"2","all","17-25","2016-2020","passenger","8.2"
"2","all","17-25","2017-2021","driver","21.4"
"2","all","17-25","2017-2021","other","10"
"2","all","17-25","2017-2021","passenger","8.6"
"2","all","17-25","2018-2022","driver","19"
"2","all","17-25","2018-2022","other","11.4"
"2","all","17-25","2018-2022","passenger","8.4"
"3","all","17-25","2008-2012","driver","31.2"
"3","all","17-25","2008-2012","other","19.4"
"3","all","17-25","2008-2012","passenger","17.8"
"3","all","17-25","2009-2013","driver","30.2"
"3","all","17-25","2009-2013","other","16.8"
"3","all","17-25","2009-2013","passenger","15.8"
"3","all","17-25","2010-2014","driver","26.4"
"3","all","17-25","2010-2014","other","15.8"
"3","all","17-25","2010-2014","passenger","13.6"
"3","all","17-25","2011-2015","driver","25.6"
"3","all","17-25","2011-2015","other","14.4"
"3","all","17-25","2011-2015","passenger","13.4"
"3","all","17-25","2012-2016","driver","26.4"
"3","all","17-25","2012-2016","other","14.6"
"3","all","17-25","2012-2016","passenger","13.2"
"3","all","17-25","2013-2017","driver","23.2"
"3","all","17-25","2013-2017","other","14"
"3","all","17-25","2013-2017","passenger","13"
"3","all","17-25","2014-2018","driver","22.8"
"3","all","17-25","2014-2018","other","13.8"
"3","all","17-25","2014-2018","passenger","12.4"
"3","all","17-25","2015-2019","driver","25.8"
"3","all","17-25","2015-2019","other","13.2"
"3","all","17-25","2015-2019","passenger","11.4"
"3","all","17-25","2016-2020","driver","26.6"
"3","all","17-25","2016-2020","other","12.6"
"3","all","17-25","2016-2020","passenger","12.4"
"3","all","17-25","2017-2021","driver","26.4"
"3","all","17-25","2017-2021","other","13.4"
"3","all","17-25","2017-2021","passenger","12"
"3","all","17-25","2018-2022","driver","29.2"
"3","all","17-25","2018-2022","other","12.8"
"3","all","17-25","2018-2022","passenger","11.2"
"4","all","17-25","2008-2012","driver","11.8"
"4","all","17-25","2008-2012","other","6"
"4","all","17-25","2008-2012","passenger","7"
"4","all","17-25","2009-2013","driver","11.6"
"4","all","17-25","2009-2013","other","4.6"
"4","all","17-25","2009-2013","passenger","6.2"
"4","all","17-25","2010-2014","driver","9.4"
"4","all","17-25","2010-2014","other","4.2"
"4","all","17-25","2010-2014","passenger","4.8"
"4","all","17-25","2011-2015","driver","8.6"
"4","all","17-25","2011-2015","other","3"
"4","all","17-25","2011-2015","passenger","4"
"4","all","17-25","2012-2016","driver","9.6"
"4","all","17-25","2012-2016","other","2.6"
"4","all","17-25","2012-2016","passenger","3.6"
"4","all","17-25","2013-2017","driver","10.6"
"4","all","17-25","2013-2017","other","3"
"4","all","17-25","2013-2017","passenger","3.2"
"4","all","17-25","2014-2018","driver","10.8"
"4","all","17-25","2014-2018","other","3.4"
"4","all","17-25","2014-2018","passenger","3.2"
"4","all","17-25","2015-2019","driver","10.6"
"4","all","17-25","2015-2019","other","4.6"
"4","all","17-25","2015-2019","passenger","3"
"4","all","17-25","2016-2020","driver","10.2"
"4","all","17-25","2016-2020","other","5.6"
"4","all","17-25","2016-2020","passenger","4"
"4","all","17-25","2017-2021","driver","10.4"
"4","all","17-25","2017-2021","other","6.4"
"4","all","17-25","2017-2021","passenger","4.4"
"4","all","17-25","2018-2022","driver","10.2"
"4","all","17-25","2018-2022","other","6.2"
"4","all","17-25","2018-2022","passenger","4.2"
"5","all","17-25","2008-2012","driver","25.4"
"5","all","17-25","2008-2012","other","12"
"5","all","17-25","2008-2012","passenger","9.6"
"5","all","17-25","2009-2013","driver","21.4"
"5","all","17-25","2009-2013","other","10.8"
"5","all","17-25","2009-2013","passenger","9"
"5","all","17-25","2010-2014","driver","19.8"
"5","all","17-25","2010-2014","other","11.4"
"5","all","17-25","2010-2014","passenger","9.8"
"5","all","17-25","2011-2015","driver","16.6"
"5","all","17-25","2011-2015","other","10.8"
"5","all","17-25","2011-2015","passenger","11.2"
"5","all","17-25","2012-2016","driver","17.4"
"5","all","17-25","2012-2016","other","9.4"
"5","all","17-25","2012-2016","passenger","12"
"5","all","17-25","2013-2017","driver","15.6"
"5","all","17-25","2013-2017","other","9.8"
"5","all","17-25","2013-2017","passenger","12"
"5","all","17-25","2014-2018","driver","16.4"
"5","all","17-25","2014-2018","other","9.4"
"5","all","17-25","2014-2018","passenger","11.6"
"5","all","17-25","2015-2019","driver","16.2"
"5","all","17-25","2015-2019","other","9"
"5","all","17-25","2015-2019","passenger","10.2"
"5","all","17-25","2016-2020","driver","17.8"
"5","all","17-25","2016-2020","other","8.2"
"5","all","17-25","2016-2020","passenger","8.2"
"5","all","17-25","2017-2021","driver","16.6"
"5","all","17-25","2017-2021","other","8.8"
"5","all","17-25","2017-2021","passenger","6.6"
"5","all","17-25","2018-2022","driver","17.4"
"5","all","17-25","2018-2022","other","7.4"
"5","all","17-25","2018-2022","passenger","6.8"
"6","all","17-25","2008-2012","driver","3.2"
"6","all","17-25","2008-2012","other","1.2"
"6","all","17-25","2008-2012","passenger","3"
"6","all","17-25","2009-2013","driver","2.2"
"6","all","17-25","2009-2013","other","1.6"
"6","all","17-25","2009-2013","passenger","2.8"
"6","all","17-25","2010-2014","driver","1.6"
"6","all","17-25","2010-2014","other","1.6"
"6","all","17-25","2010-2014","passenger","1.2"
"6","all","17-25","2011-2015","driver","1.8"
"6","all","17-25","2011-2015","other","2.4"
"6","all","17-25","2011-2015","passenger","1"
"6","all","17-25","2012-2016","driver","2"
"6","all","17-25","2012-2016","other","3"
"6","all","17-25","2012-2016","passenger","0.8"
"6","all","17-25","2013-2017","driver","1.8"
"6","all","17-25","2013-2017","other","3"
"6","all","17-25","2013-2017","passenger","1"
"6","all","17-25","2014-2018","driver","2.4"
"6","all","17-25","2014-2018","other","3.2"
"6","all","17-25","2014-2018","passenger","1.2"
"6","all","17-25","2015-2019","driver","2.8"
"6","all","17-25","2015-2019","other","3.6"
"6","all","17-25","2015-2019","passenger","1.2"
"6","all","17-25","2016-2020","driver","2.4"
"6","all","17-25","2016-2020","other","2.6"
"6","all","17-25","2016-2020","passenger","1.4"
"6","all","17-25","2017-2021","driver","2.8"
"6","all","17-25","2017-2021","other","2"
"6","all","17-25","2017-2021","passenger","1.6"
"6","all","17-25","2018-2022","driver","3.4"
"6","all","17-25","2018-2022","other","2"
"6","all","17-25","2018-2022","passenger","2"
"7","all","17-25","2008-2012","driver","6.2"
"7","all","17-25","2008-2012","other","2.4"
"7","all","17-25","2008-2012","passenger","2.8"
"7","all","17-25","2009-2013","driver","5"
"7","all","17-25","2009-2013","other","2.2"
"7","all","17-25","2009-2013","passenger","2"
"7","all","17-25","2010-2014","driver","4"
"7","all","17-25","2010-2014","other","2.8"
"7","all","17-25","2010-2014","passenger","1.8"
"7","all","17-25","2011-2015","driver","3.4"
"7","all","17-25","2011-2015","other","2.8"
"7","all","17-25","2011-2015","passenger","2"
"7","all","17-25","2012-2016","driver","2.6"
"7","all","17-25","2012-2016","other","2.4"
"7","all","17-25","2012-2016","passenger","2"
"7","all","17-25","2013-2017","driver","3.6"
"7","all","17-25","2013-2017","other","2"
"7","all","17-25","2013-2017","passenger","2"
"7","all","17-25","2014-2018","driver","3.4"
"7","all","17-25","2014-2018","other","2.2"
"7","all","17-25","2014-2018","passenger","2.2"
"7","all","17-25","2015-2019","driver","3.4"
"7","all","17-25","2015-2019","other","1.8"
"7","all","17-25","2015-2019","passenger","2.6"
"7","all","17-25","2016-2020","driver","3.4"
"7","all","17-25","2016-2020","other","1.2"
"7","all","17-25","2016-2020","passenger","2.8"
"7","all","17-25","2017-2021","driver","2.8"
"7","all","17-25","2017-2021","other","1.2"
"7","all","17-25","2017-2021","passenger","2.2"
"7","all","17-25","2018-2022","driver","2.6"
"7","all","17-25","2018-2022","other","2"
"7","all","17-25","2018-2022","passenger","2.8"
"8","all","17-25","2008-2012","driver","0.8"
"8","all","17-25","2008-2012","other","0.8"
"8","all","17-25","2008-2012","passenger","0.6"
"8","all","17-25","2009-2013","driver","0.6"
"8","all","17-25","2009-2013","other","1"
"8","all","17-25","2009-2013","passenger","0.6"
"8","all","17-25","2010-2014","driver","0.8"
"8","all","17-25","2010-2014","other","1.2"
"8","all","17-25","2010-2014","passenger","0.4"
"8","all","17-25","2011-2015","driver","0.8"
"8","all","17-25","2011-2015","other","1"
"8","all","17-25","2011-2015","passenger","0.4"
"8","all","17-25","2012-2016","driver","1.2"
"8","all","17-25","2012-2016","other","1.2"
"8","all","17-25","2012-2016","passenger","0.4"
"8","all","17-25","2013-2017","driver","1.4"
"8","all","17-25","2013-2017","other","1.2"
"8","all","17-25","2013-2017","passenger","0.4"
"8","all","17-25","2014-2018","driver","1.4"
"8","all","17-25","2014-2018","other","1"
"8","all","17-25","2014-2018","passenger","0.4"
"8","all","17-25","2015-2019","driver","1"
"8","all","17-25","2015-2019","other","0.8"
"8","all","17-25","2015-2019","passenger","0.2"
"8","all","17-25","2016-2020","driver","0.8"
"8","all","17-25","2016-2020","other","0.6"
"8","all","17-25","2016-2020","passenger","0.2"
"8","all","17-25","2017-2021","driver","0.8"
"8","all","17-25","2017-2021","other","0.2"
"8","all","17-25","2017-2021","passenger","0.4"
"8","all","17-25","2018-2022","driver","1.4"
"8","all","17-25","2018-2022","other","0.2"
"8","all","17-25","2018-2022","passenger","0.6"
