"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"101","all","17-25","2008-2012","driver","0"
"101","all","17-25","2008-2012","passenger","0"
"101","all","17-25","2008-2012","other","0"
"101","all","17-25","2009-2013","driver","0"
"101","all","17-25","2009-2013","passenger","0"
"101","all","17-25","2009-2013","other","0"
"101","all","17-25","2010-2014","driver","0"
"101","all","17-25","2010-2014","passenger","0"
"101","all","17-25","2010-2014","other","0"
"101","all","17-25","2011-2015","driver","1"
"101","all","17-25","2011-2015","passenger","0"
"101","all","17-25","2011-2015","other","1"
"101","all","17-25","2012-2016","driver","2"
"101","all","17-25","2012-2016","passenger","0"
"101","all","17-25","2012-2016","other","2"
"101","all","17-25","2013-2017","driver","3"
"101","all","17-25","2013-2017","passenger","0"
"101","all","17-25","2013-2017","other","3"
"101","all","17-25","2014-2018","driver","4"
"101","all","17-25","2014-2018","passenger","1"
"101","all","17-25","2014-2018","other","3"
"101","all","17-25","2015-2019","driver","6"
"101","all","17-25","2015-2019","passenger","3"
"101","all","17-25","2015-2019","other","3"
"101","all","17-25","2016-2020","driver","6"
"101","all","17-25","2016-2020","passenger","3"
"101","all","17-25","2016-2020","other","2"
"101","all","17-25","2017-2021","driver","9"
"101","all","17-25","2017-2021","passenger","3"
"101","all","17-25","2017-2021","other","2"
"101","all","17-25","2018-2022","driver","13"
"101","all","17-25","2018-2022","passenger","3"
"101","all","17-25","2018-2022","other","1"
"102","all","17-25","2008-2012","driver","0"
"102","all","17-25","2008-2012","passenger","0"
"102","all","17-25","2008-2012","other","0"
"102","all","17-25","2009-2013","driver","0"
"102","all","17-25","2009-2013","passenger","0"
"102","all","17-25","2009-2013","other","0"
"102","all","17-25","2010-2014","driver","0"
"102","all","17-25","2010-2014","passenger","0"
"102","all","17-25","2010-2014","other","0"
"102","all","17-25","2011-2015","driver","1"
"102","all","17-25","2011-2015","passenger","0"
"102","all","17-25","2011-2015","other","0"
"102","all","17-25","2012-2016","driver","3"
"102","all","17-25","2012-2016","passenger","1"
"102","all","17-25","2012-2016","other","0"
"102","all","17-25","2013-2017","driver","6"
"102","all","17-25","2013-2017","passenger","1"
"102","all","17-25","2013-2017","other","0"
"102","all","17-25","2014-2018","driver","7"
"102","all","17-25","2014-2018","passenger","2"
"102","all","17-25","2014-2018","other","3"
"102","all","17-25","2015-2019","driver","9"
"102","all","17-25","2015-2019","passenger","2"
"102","all","17-25","2015-2019","other","3"
"102","all","17-25","2016-2020","driver","9"
"102","all","17-25","2016-2020","passenger","3"
"102","all","17-25","2016-2020","other","3"
"102","all","17-25","2017-2021","driver","7"
"102","all","17-25","2017-2021","passenger","2"
"102","all","17-25","2017-2021","other","3"
"102","all","17-25","2018-2022","driver","5"
