"SA4_CODE16","sex","age_group","calendar_year","number_of_enrolment"
101,"female","18-24","2008",4491
101,"female","18-24","2009",4470
101,"female","18-24","2010",4192
101,"female","18-24","2011",4186
101,"female","18-24","2012",3773
101,"female","18-24","2013",4211
101,"female","18-24","2014",4453
101,"female","18-24","2015",4062
101,"female","18-24","2016",4607
101,"female","18-24","2017",4658
101,"female","18-24","2018",4522
101,"female","18-24","2019",7234
101,"female","18-24","2020",6822
101,"female","18-24","2021",6187
101,"female","18-24","2022",6548
101,"male","18-24","2008",3969
101,"male","18-24","2009",3951
101,"male","18-24","2010",3606
101,"male","18-24","2011",3712
101,"male","18-24","2012",3291
101,"male","18-24","2013",3870
101,"male","18-24","2014",4175
101,"male","18-24","2015",3962
101,"male","18-24","2016",4592
101,"male","18-24","2017",4570
101,"male","18-24","2018",4615
101,"male","18-24","2019",7358
101,"male","18-24","2020",6885
101,"male","18-24","2021",6201
101,"male","18-24","2022",6723
102,"female","18-24","2015",10931
102,"female","18-24","2016",12692
102,"female","18-24","2017",12766
102,"female","18-24","2018",12518
102,"female","18-24","2019",12727
102,"female","18-24","2020",12043
102,"female","18-24","2021",11662
102,"female","18-24","2022",11767
102,"male","18-24","2015",10773
102,"male","18-24","2016",12757
102,"male","18-24","2017",12969
102,"male","18-24","2018",12799
102,"male","18-24","2019",13096
102,"male","18-24","2020",12159
102,"male","18-24","2021",11780
102,"male","18-24","2022",11982
103,"female","18-24","2015",6849
103,"female","18-24","2016",7720
103,"female","18-24","2017",7588
103,"female","18-24","2018",7411
103,"female","18-24","2019",7387
103,"female","18-24","2020",6966
103,"female","18-24","2021",6906
103,"female","18-24","2022",7108
103,"male","18-24","2015",6564
103,"male","18-24","2016",7718
103,"male","18-24","2017",7721
103,"male","18-24","2018",7510
103,"male","18-24","2019",7637
103,"male","18-24","2020",7214
103,"male","18-24","2021",7051
103,"male","18-24","2022",7390
104,"female","18-24","2015",3721
104,"female","18-24","2016",4255
104,"female","18-24","2017",4298
104,"female","18-24","2018",4149
104,"female","18-24","2019",4185
104,"female","18-24","2020",3881
104,"female","18-24","2021",3539
104,"female","18-24","2022",3832
104,"male","18-24","2015",3737
104,"male","18-24","2016",4461
104,"male","18-24","2017",4541
104,"male","18-24","2018",4367
104,"male","18-24","2019",4488
104,"male","18-24","2020",4076
104,"male","18-24","2021",3739
104,"male","18-24","2022",3924
105,"female","18-24","2008",1227
105,"female","18-24","2009",1239
105,"female","18-24","2010",1202
105,"female","18-24","2011",1230
105,"female","18-24","2012",1182
105,"female","18-24","2013",1298
105,"female","18-24","2014",1429
105,"female","18-24","2015",3721
105,"female","18-24","2016",4174
105,"female","18-24","2017",4109
105,"female","18-24","2018",4004
105,"female","18-24","2019",4091
105,"female","18-24","2020",3842
105,"female","18-24","2021",3752
105,"female","18-24","2022",3724
105,"male","18-24","2008",1225
105,"male","18-24","2009",1219
105,"male","18-24","2010",1155
105,"male","18-24","2011",1204
105,"male","18-24","2012",1091
105,"male","18-24","2013",1169
105,"male","18-24","2014",1277
105,"male","18-24","2015",3511
105,"male","18-24","2016",4111
105,"male","18-24","2017",4120
105,"male","18-24","2018",3984
105,"male","18-24","2019",4068
105,"male","18-24","2020",3782
105,"male","18-24","2021",3779
105,"male","18-24","2022",3762
106,"female","18-24","2008",4145
106,"female","18-24","2009",4169
106,"female","18-24","2010",4055
106,"female","18-24","2011",4028
106,"female","18-24","2012",3761
106,"female","18-24","2013",3925
106,"female","18-24","2014",3950
106,"female","18-24","2015",8792
106,"female","18-24","2016",10167
106,"female","18-24","2017",10186
106,"female","18-24","2018",10167
106,"female","18-24","2019",10473
106,"female","18-24","2020",10002
106,"female","18-24","2021",9884
106,"female","18-24","2022",10440
106,"male","18-24","2008",4173
106,"male","18-24","2009",4224
106,"male","18-24","2010",4035
106,"male","18-24","2011",4029
106,"male","18-24","2012",3709
106,"male","18-24","2013",3870
106,"male","18-24","2014",3843
106,"male","18-24","2015",8419
106,"male","18-24","2016",10004
106,"male","18-24","2017",10254
106,"male","18-24","2018",10149
106,"male","18-24","2019",10501
106,"male","18-24","2020",9856
106,"male","18-24","2021",9995
106,"male","18-24","2022",10623
107,"female","18-24","2015",8438
107,"female","18-24","2016",9553
107,"female","18-24","2017",9711
107,"female","18-24","2018",9771
107,"female","18-24","2019",12865
107,"female","18-24","2020",12199
107,"female","18-24","2021",12057
107,"female","18-24","2022",12659
107,"male","18-24","2015",8472
107,"male","18-24","2016",9948
107,"male","18-24","2017",10033
107,"male","18-24","2018",9960
107,"male","18-24","2019",12903
107,"male","18-24","2020",12221
107,"male","18-24","2021",11898
107,"male","18-24","2022",12518
108,"female","18-24","2015",5457
108,"female","18-24","2016",6318
108,"female","18-24","2017",6448
108,"female","18-24","2018",6456
108,"female","18-24","2019",6499
108,"female","18-24","2020",6163
108,"female","18-24","2021",6154
108,"female","18-24","2022",6492
108,"male","18-24","2015",5406
108,"male","18-24","2016",6456
108,"male","18-24","2017",6556
108,"male","18-24","2018",6465
108,"male","18-24","2019",6589
108,"male","18-24","2020",6215
108,"male","18-24","2021",6200
108,"male","18-24","2022",6536
109,"female","18-24","2015",3563
109,"female","18-24","2016",3928
109,"female","18-24","2017",3851
109,"female","18-24","2018",3854
109,"female","18-24","2019",3905
109,"female","18-24","2020",3641
109,"female","18-24","2021",3592
109,"female","18-24","2022",3870
109,"male","18-24","2015",3466
109,"male","18-24","2016",4030
109,"male","18-24","2017",4019
109,"male","18-24","2018",3880
109,"male","18-24","2019",3833
109,"male","18-24","2020",3555
109,"male","18-24","2021",3375
109,"male","18-24","2022",3636
110,"female","18-24","2008",1655
110,"female","18-24","2009",1634
110,"female","18-24","2010",1622
110,"female","18-24","2011",1639
110,"female","18-24","2012",1512
110,"female","18-24","2013",1572
110,"female","18-24","2014",1622
110,"female","18-24","2015",6118
110,"female","18-24","2016",6811
110,"female","18-24","2017",6780
110,"female","18-24","2018",6622
110,"female","18-24","2019",6515
110,"female","18-24","2020",6086
110,"female","18-24","2021",5946
110,"female","18-24","2022",6238
110,"male","18-24","2008",1621
110,"male","18-24","2009",1603
110,"male","18-24","2010",1566
110,"male","18-24","2011",1628
110,"male","18-24","2012",1528
110,"male","18-24","2013",1539
110,"male","18-24","2014",1600
110,"male","18-24","2015",5816
110,"male","18-24","2016",6774
110,"male","18-24","2017",6790
110,"male","18-24","2018",6694
110,"male","18-24","2019",6631
110,"male","18-24","2020",6319
110,"male","18-24","2021",6114
110,"male","18-24","2022",6284
111,"female","18-24","2008",5791
111,"female","18-24","2009",5853
111,"female","18-24","2010",5610
111,"female","18-24","2011",5551
111,"female","18-24","2012",5122
111,"female","18-24","2013",5212
111,"female","18-24","2014",5334
111,"female","18-24","2015",13567
111,"female","18-24","2016",15025
111,"female","18-24","2017",14956
111,"female","18-24","2018",15113
111,"female","18-24","2019",15419
111,"female","18-24","2020",14627
111,"female","18-24","2021",14689
111,"female","18-24","2022",15457
111,"male","18-24","2008",5920
