"STE_CODE16","sex","age_group","calendar_year","number_of_enrolment"
1,"female","18-24","2008",30153
1,"female","18-24","2009",30356
1,"female","18-24","2010",29239
1,"female","18-24","2011",29041
1,"female","18-24","2012",27054
1,"female","18-24","2013",28154
1,"female","18-24","2014",28804
1,"female","18-24","2015",209219
1,"female","18-24","2016",234814
1,"female","18-24","2017",233510
1,"female","18-24","2018",232256
1,"female","18-24","2019",270242
1,"female","18-24","2020",254015
1,"female","18-24","2021",247554
1,"female","18-24","2022",264189
1,"male","18-24","2008",29711
1,"male","18-24","2009",29953
1,"male","18-24","2010",28347
1,"male","18-24","2011",28438
1,"male","18-24","2012",26242
1,"male","18-24","2013",27196
1,"male","18-24","2014",27836
1,"male","18-24","2015",202357
1,"male","18-24","2016",235330
1,"male","18-24","2017",237057
1,"male","18-24","2018",234078
1,"male","18-24","2019",275325
1,"male","18-24","2020",258188
1,"male","18-24","2021",251045
1,"male","18-24","2022",267096
2,"female","18-24","2008",30410
2,"female","18-24","2009",30204
2,"female","18-24","2010",30100
2,"female","18-24","2011",30554
2,"female","18-24","2012",29707
2,"female","18-24","2013",30450
2,"female","18-24","2014",31578
2,"female","18-24","2015",177464
2,"female","18-24","2016",190284
2,"female","18-24","2017",183549
2,"female","18-24","2018",185270
2,"female","18-24","2019",214852
2,"female","18-24","2020",208464
2,"female","18-24","2021",207234
2,"female","18-24","2022",211555
2,"male","18-24","2008",29303
2,"male","18-24","2009",29010
2,"male","18-24","2010",28990
2,"male","18-24","2011",29936
2,"male","18-24","2012",28858
2,"male","18-24","2013",29614
2,"male","18-24","2014",30978
2,"male","18-24","2015",174052
2,"male","18-24","2016",188716
2,"male","18-24","2017",182753
2,"male","18-24","2018",180932
2,"male","18-24","2019",212599
2,"male","18-24","2020",207038
2,"male","18-24","2021",206057
2,"male","18-24","2022",211102
3,"female","18-24","2008",35331
3,"female","18-24","2009",37004
3,"female","18-24","2010",36398
3,"female","18-24","2011",36509
3,"female","18-24","2012",35955
3,"female","18-24","2013",35276
3,"female","18-24","2014",36962
3,"female","18-24","2015",154653
3,"female","18-24","2016",164910
3,"female","18-24","2017",159911
3,"female","18-24","2018",164748
3,"female","18-24","2019",174543
3,"female","18-24","2020",173146
3,"female","18-24","2021",176035
3,"female","18-24","2022",180770
3,"male","18-24","2008",33921
3,"male","18-24","2009",35476
3,"male","18-24","2010",34346
3,"male","18-24","2011",34614
3,"male","18-24","2012",34177
3,"male","18-24","2013",33029
3,"male","18-24","2014",34672
3,"male","18-24","2015",146342
3,"male","18-24","2016",158946
3,"male","18-24","2017",155368
3,"male","18-24","2018",158646
3,"male","18-24","2019",169076
3,"male","18-24","2020",167793
3,"male","18-24","2021",172088
3,"male","18-24","2022",175783
4,"female","18-24","2008",8790
4,"female","18-24","2009",8551
4,"female","18-24","2010",8672
4,"female","18-24","2011",8331
4,"female","18-24","2012",8075
4,"female","18-24","2013",8300
4,"female","18-24","2014",8791
4,"female","18-24","2015",53437
4,"female","18-24","2016",57891
4,"female","18-24","2017",54333
4,"female","18-24","2018",55821
4,"female","18-24","2019",57582
4,"female","18-24","2020",54575
4,"female","18-24","2021",52826
4,"female","18-24","2022",58368
4,"male","18-24","2008",8422
4,"male","18-24","2009",8232
4,"male","18-24","2010",8417
4,"male","18-24","2011",8141
4,"male","18-24","2012",7717
4,"male","18-24","2013",7991
4,"male","18-24","2014",8727
