"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
10102,"female","18-24",2008,1603,0.6
10102,"female","18-24",2009,1606,0.6
10102,"female","18-24",2010,1546,0.6
10102,"female","18-24",2011,1547,0.6
10102,"female","18-24",2012,1415,0.6
10102,"female","18-24",2013,1577,0.6
10102,"female","18-24",2014,1687,0.6
10102,"female","18-24",2015,1872,0.6
10102,"female","18-24",2016,2097,0.6
10102,"female","18-24",2017,2076,0.6
10102,"female","18-24",2018,2028,0.6
10102,"female","18-24",2019,2113,0.5
10102,"female","18-24",2020,2052,0.6
10102,"female","18-24",2021,1919,0.6
10102,"female","18-24",2022,1961,0.5
10102,"male","18-24",2008,1456,0.5
10102,"male","18-24",2009,1456,0.5
10102,"male","18-24",2010,1335,0.5
10102,"male","18-24",2011,1392,0.5
10102,"male","18-24",2012,1260,0.5
10102,"male","18-24",2013,1423,0.5
10102,"male","18-24",2014,1633,0.5
10102,"male","18-24",2015,1734,0.5
10102,"male","18-24",2016,1986,0.5
10102,"male","18-24",2017,1929,0.5
10102,"male","18-24",2018,2005,0.5
10102,"male","18-24",2019,2120,0.6
10102,"male","18-24",2020,2005,0.5
10102,"male","18-24",2021,1877,0.5
10102,"male","18-24",2022,2017,0.6
10103,"female","18-24",2008,1027,0.6
10103,"female","18-24",2009,989,0.6
10103,"female","18-24",2010,895,0.6
10103,"female","18-24",2011,898,0.6
10103,"female","18-24",2012,785,0.6
10103,"female","18-24",2013,939,0.6
10103,"female","18-24",2014,956,0.6
10103,"female","18-24",2015,524,0.5
10103,"female","18-24",2016,610,0.5
10103,"female","18-24",2017,629,0.5
10103,"female","18-24",2018,623,0.5
10103,"female","18-24",2019,643,0.6
10103,"female","18-24",2020,588,0.5
10103,"female","18-24",2021,493,0.6
10103,"female","18-24",2022,563,0.6
10103,"male","18-24",2008,893,0.5
10103,"male","18-24",2009,843,0.5
10103,"male","18-24",2010,748,0.5
10103,"male","18-24",2011,755,0.5
10103,"male","18-24",2012,648,0.5
10103,"male","18-24",2013,784,0.5
10103,"male","18-24",2014,814,0.5
10103,"male","18-24",2015,583,0.6
10103,"male","18-24",2016,655,0.6
10103,"male","18-24",2017,653,0.6
10103,"male","18-24",2018,660,0.6
10103,"male","18-24",2019,642,0.5
10103,"male","18-24",2020,604,0.6
10103,"male","18-24",2021,490,0.5
10103,"male","18-24",2022,540,0.5
10104,"female","18-24",2008,1861,0.6
10104,"female","18-24",2009,1875,0.6
10104,"female","18-24",2010,1751,0.6
10104,"female","18-24",2011,1741,0.6
10104,"female","18-24",2012,1573,0.6
10104,"female","18-24",2013,1695,0.6
10104,"female","18-24",2014,1810,0.6
10104,"female","18-24",2015,1666,0.6
10104,"female","18-24",2016,1900,0.5
10104,"female","18-24",2017,1953,0.5
10104,"female","18-24",2018,1871,0.5
10104,"female","18-24",2019,1930,0.5
10104,"female","18-24",2020,1812,0.5
10104,"female","18-24",2021,1607,0.5
10104,"female","18-24",2022,1716,0.5
