"STE_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
1,"female","18-24",2008,30153,0.6
1,"female","18-24",2009,30356,0.6
1,"female","18-24",2010,29239,0.6
1,"female","18-24",2011,29041,0.6
1,"female","18-24",2012,27054,0.6
1,"female","18-24",2013,28154,0.6
1,"female","18-24",2014,28804,0.6
1,"female","18-24",2015,209219,0.6
1,"female","18-24",2016,234814,0.5
1,"female","18-24",2017,233510,0.5
1,"female","18-24",2018,232256,0.5
1,"female","18-24",2019,270242,0.5
1,"female","18-24",2020,254015,0.5
1,"female","18-24",2021,247554,0.5
1,"female","18-24",2022,264189,0.5
1,"male","18-24",2008,29711,0.5
1,"male","18-24",2009,29953,0.5
1,"male","18-24",2010,28347,0.5
1,"male","18-24",2011,28438,0.5
1,"male","18-24",2012,26242,0.5
1,"male","18-24",2013,27196,0.5
1,"male","18-24",2014,27836,0.5
1,"male","18-24",2015,202357,0.5
1,"male","18-24",2016,235330,0.6
1,"male","18-24",2017,237057,0.6
1,"male","18-24",2018,234078,0.6
1,"male","18-24",2019,275325,0.6
1,"male","18-24",2020,258188,0.6
1,"male","18-24",2021,251045,0.6
1,"male","18-24",2022,267096,0.6
2,"female","18-24",2008,30410,0.6
2,"female","18-24",2009,30204,0.6
2,"female","18-24",2010,30100,0.6
2,"female","18-24",2011,30554,0.6
2,"female","18-24",2012,29707,0.6
2,"female","18-24",2013,30450,0.6
2,"female","18-24",2014,31578,0.6
2,"female","18-24",2015,177464,0.6
2,"female","18-24",2016,190284,0.6
2,"female","18-24",2017,183549,0.6
2,"female","18-24",2018,185270,0.6
2,"female","18-24",2019,214852,0.6
2,"female","18-24",2020,208464,0.6
2,"female","18-24",2021,207234,0.6
2,"female","18-24",2022,211555,0.6
2,"male","18-24",2008,29303,0.5
2,"male","18-24",2009,29010,0.5
2,"male","18-24",2010,28990,0.5
2,"male","18-24",2011,29936,0.5
2,"male","18-24",2012,28858,0.5
2,"male","18-24",2013,29614,0.5
2,"male","18-24",2014,30978,0.5
2,"male","18-24",2015,174052,0.5
2,"male","18-24",2016,188716,0.5
2,"male","18-24",2017,182753,0.5
2,"male","18-24",2018,180932,0.5
2,"male","18-24",2019,212599,0.5
2,"male","18-24",2020,207038,0.5
2,"male","18-24",2021,206057,0.5
2,"male","18-24",2022,211102,0.5
3,"female","18-24",2008,35331,0.6
3,"female","18-24",2009,37004,0.6
3,"female","18-24",2010,36398,0.6
3,"female","18-24",2011,36509,0.6
3,"female","18-24",2012,35955,0.6
3,"female","18-24",2013,35276,0.6
3,"female","18-24",2014,36962,0.6
3,"female","18-24",2015,154653,0.6
3,"female","18-24",2016,164910,0.6
3,"female","18-24",2017,159911,0.6
3,"female","18-24",2018,164748,0.6
3,"female","18-24",2019,174543,0.6
3,"female","18-24",2020,173146,0.6
3,"female","18-24",2021,176035,0.6
3,"female","18-24",2022,180770,0.6
3,"male","18-24",2008,33921,0.5
3,"male","18-24",2009,35476,0.5
3,"male","18-24",2010,34346,0.5
3,"male","18-24",2011,34614,0.5
3,"male","18-24",2012,34177,0.5
3,"male","18-24",2013,33029,0.5
3,"male","18-24",2014,34672,0.5
3,"male","18-24",2015,146342,0.5
3,"male","18-24",2016,158946,0.5
3,"male","18-24",2017,155368,0.5
3,"male","18-24",2018,158646,0.5
3,"male","18-24",2019,169076,0.5
3,"male","18-24",2020,167793,0.5
3,"male","18-24",2021,172088,0.5
3,"male","18-24",2022,175783,0.5
4,"female","18-24",2008,8790,0.6
