"SA4_CODE16","sex","age_group","calendar_year","rate_of_enrolment"
101,"female","18-24","2008",0.6
101,"female","18-24","2009",0.6
101,"female","18-24","2010",0.6
101,"female","18-24","2011",0.6
101,"female","18-24","2012",0.6
101,"female","18-24","2013",0.6
101,"female","18-24","2014",0.6
101,"female","18-24","2015",0.6
101,"female","18-24","2016",0.6
101,"female","18-24","2017",0.6
101,"female","18-24","2018",0.5
101,"female","18-24","2019",0.5
101,"female","18-24","2020",0.5
101,"female","18-24","2021",0.5
101,"female","18-24","2022",0.5
102,"female","18-24","2015",0.6
102,"female","18-24","2016",0.5
102,"female","18-24","2017",0.5
102,"female","18-24","2018",0.5
102,"female","18-24","2019",0.5
102,"female","18-24","2020",0.5
102,"female","18-24","2021",0.5
102,"female","18-24","2022",0.5
103,"female","18-24","2015",0.6
103,"female","18-24","2016",0.6
103,"female","18-24","2017",0.5
103,"female","18-24","2018",0.5
103,"female","18-24","2019",0.5
103,"female","18-24","2020",0.5
103,"female","18-24","2021",0.5
103,"female","18-24","2022",0.5
104,"female","18-24","2015",0.5
104,"female","18-24","2016",0.5
104,"female","18-24","2017",0.5
104,"female","18-24","2018",0.5
104,"female","18-24","2019",0.5
104,"female","18-24","2020",0.5
104,"female","18-24","2021",0.5
104,"female","18-24","2022",0.5
105,"female","18-24","2008",0.6
105,"female","18-24","2009",0.6
105,"female","18-24","2010",0.6
105,"female","18-24","2011",0.6
105,"female","18-24","2012",0.6
105,"female","18-24","2013",0.6
105,"female","18-24","2014",0.6
105,"female","18-24","2015",0.6
105,"female","18-24","2016",0.6
105,"female","18-24","2017",0.5
105,"female","18-24","2018",0.6
105,"female","18-24","2019",0.6
105,"female","18-24","2020",0.6
105,"female","18-24","2021",0.5
105,"female","18-24","2022",0.5
106,"female","18-24","2008",0.5
106,"female","18-24","2009",0.5
106,"female","18-24","2010",0.6
106,"female","18-24","2011",0.5
106,"female","18-24","2012",0.6
106,"female","18-24","2013",0.6
106,"female","18-24","2014",0.6
106,"female","18-24","2015",0.6
106,"female","18-24","2016",0.6
106,"female","18-24","2017",0.5
106,"female","18-24","2018",0.6
106,"female","18-24","2019",0.5
106,"female","18-24","2020",0.6
106,"female","18-24","2021",0.5
106,"female","18-24","2022",0.5
107,"female","18-24","2015",0.5
107,"female","18-24","2016",0.5
107,"female","18-24","2017",0.5
107,"female","18-24","2018",0.5
107,"female","18-24","2019",0.5
107,"female","18-24","2020",0.5
107,"female","18-24","2021",0.6
107,"female","18-24","2022",0.6
108,"female","18-24","2015",0.6
108,"female","18-24","2016",0.5
108,"female","18-24","2017",0.5
108,"female","18-24","2018",0.5
108,"female","18-24","2019",0.5
108,"female","18-24","2020",0.5
108,"female","18-24","2021",0.5
108,"female","18-24","2022",0.5
109,"female","18-24","2015",0.6
109,"female","18-24","2016",0.5
109,"female","18-24","2017",0.5
109,"female","18-24","2018",0.5
109,"female","18-24","2019",0.6
109,"female","18-24","2020",0.6
109,"female","18-24","2021",0.6
109,"female","18-24","2022",0.6
110,"female","18-24","2008",0.6
110,"female","18-24","2009",0.6
110,"female","18-24","2010",0.6
110,"female","18-24","2011",0.6
110,"female","18-24","2012",0.5
110,"female","18-24","2013",0.6
110,"female","18-24","2014",0.6
110,"female","18-24","2015",0.6
110,"female","18-24","2016",0.6
110,"female","18-24","2017",0.5
110,"female","18-24","2018",0.5
110,"female","18-24","2019",0.5
110,"female","18-24","2020",0.5
110,"female","18-24","2021",0.5
110,"female","18-24","2022",0.5
111,"female","18-24","2008",0.5
111,"female","18-24","2009",0.5
111,"female","18-24","2010",0.5
111,"female","18-24","2011",0.5
111,"female","18-24","2012",0.6
111,"female","18-24","2013",0.6
111,"female","18-24","2014",0.6
111,"female","18-24","2015",0.6
111,"female","18-24","2016",0.5
111,"female","18-24","2017",0.5
111,"female","18-24","2018",0.5
