"STE_CODE16","sex","age_group","calendar_year","rate_of_enrolment"
1,"female","18-24","2008",0.6
1,"female","18-24","2009",0.6
1,"female","18-24","2010",0.6
1,"female","18-24","2011",0.6
1,"female","18-24","2012",0.6
1,"female","18-24","2013",0.6
1,"female","18-24","2014",0.6
1,"female","18-24","2015",0.6
1,"female","18-24","2016",0.5
1,"female","18-24","2017",0.5
1,"female","18-24","2018",0.5
1,"female","18-24","2019",0.5
1,"female","18-24","2020",0.5
1,"female","18-24","2021",0.5
1,"female","18-24","2022",0.5
2,"female","18-24","2008",0.6
2,"female","18-24","2009",0.6
2,"female","18-24","2010",0.6
2,"female","18-24","2011",0.6
2,"female","18-24","2012",0.6
2,"female","18-24","2013",0.6
2,"female","18-24","2014",0.6
2,"female","18-24","2015",0.6
2,"female","18-24","2016",0.6
2,"female","18-24","2017",0.6
2,"female","18-24","2018",0.6
2,"female","18-24","2019",0.6
2,"female","18-24","2020",0.6
2,"female","18-24","2021",0.6
2,"female","18-24","2022",0.6
3,"female","18-24","2008",0.6
3,"female","18-24","2009",0.6
3,"female","18-24","2010",0.6
3,"female","18-24","2011",0.6
3,"female","18-24","2012",0.6
3,"female","18-24","2013",0.6
3,"female","18-24","2014",0.6
3,"female","18-24","2015",0.6
3,"female","18-24","2016",0.6
3,"female","18-24","2017",0.6
3,"female","18-24","2018",0.6
3,"female","18-24","2019",0.6
3,"female","18-24","2020",0.6
3,"female","18-24","2021",0.6
3,"female","18-24","2022",0.6
4,"female","18-24","2008",0.6
4,"female","18-24","2009",0.6
4,"female","18-24","2010",0.6
4,"female","18-24","2011",0.6
4,"female","18-24","2012",0.6
4,"female","18-24","2013",0.6
4,"female","18-24","2014",0.6
4,"female","18-24","2015",0.5
4,"female","18-24","2016",0.5
4,"female","18-24","2017",0.5
4,"female","18-24","2018",0.6
4,"female","18-24","2019",0.6
4,"female","18-24","2020",0.6
4,"female","18-24","2021",0.6
4,"female","18-24","2022",0.6
5,"female","18-24","2008",0.6
5,"female","18-24","2009",0.6
5,"female","18-24","2010",0.6
5,"female","18-24","2011",0.6
5,"female","18-24","2012",0.6
5,"female","18-24","2013",0.6
5,"female","18-24","2014",0.6
5,"female","18-24","2015",0.6
5,"female","18-24","2016",0.5
5,"female","18-24","2017",0.5
5,"female","18-24","2018",0.6
5,"female","18-24","2019",0.5
5,"female","18-24","2020",0.5
5,"female","18-24","2021",0.6
5,"female","18-24","2022",0.6
6,"female","18-24","2015",0.5
6,"female","18-24","2016",0.5
6,"female","18-24","2017",0.5
6,"female","18-24","2018",0.5
6,"female","18-24","2019",0.6
6,"female","18-24","2020",0.6
6,"female","18-24","2021",0.6
6,"female","18-24","2022",0.5
7,"female","18-24","2015",0.6
7,"female","18-24","2016",0.5
7,"female","18-24","2017",0.5
7,"female","18-24","2018",0.5
7,"female","18-24","2019",0.5
7,"female","18-24","2020",0.5
7,"female","18-24","2021",0.5
7,"female","18-24","2022",0.5
8,"female","18-24","2015",0.6
8,"female","18-24","2016",0.6
8,"female","18-24","2017",0.6
8,"female","18-24","2018",0.6
8,"female","18-24","2019",0.5
8,"female","18-24","2020",0.5
8,"female","18-24","2021",0.5
8,"female","18-24","2022",0.5
9,"female","18-24","2015",0.6
9,"female","18-24","2016",0.6
9,"female","18-24","2017",0.62
9,"female","18-24","2018",0.7
9,"female","18-24","2019",0.58
9,"female","18-24","2020",0.68
9,"female","18-24","2021",0.59
9,"female","18-24","2022",0.43
1,"male","18-24","2008",0.5
1,"male","18-24","2009",0.5
1,"male","18-24","2010",0.5
1,"male","18-24","2011",0.5
1,"male","18-24","2012",0.5
1,"male","18-24","2013",0.5
1,"male","18-24","2014",0.5
1,"male","18-24","2015",0.5
1,"male","18-24","2016",0.6
1,"male","18-24","2017",0.6
1,"male","18-24","2018",0.6
1,"male","18-24","2019",0.6
1,"male","18-24","2020",0.6
1,"male","18-24","2021",0.6
1,"male","18-24","2022",0.6
2,"male","18-24","2008",0.5
2,"male","18-24","2009",0.5
2,"male","18-24","2010",0.5
2,"male","18-24","2011",0.5
2,"male","18-24","2012",0.5
2,"male","18-24","2013",0.5
2,"male","18-24","2014",0.5
2,"male","18-24","2015",0.5
2,"male","18-24","2016",0.5
2,"male","18-24","2017",0.5
2,"male","18-24","2018",0.5
2,"male","18-24","2019",0.5
2,"male","18-24","2020",0.5
2,"male","18-24","2021",0.5
2,"male","18-24","2022",0.5
3,"male","18-24","2008",0.5
3,"male","18-24","2009",0.5
3,"male","18-24","2010",0.5
3,"male","18-24","2011",0.5
3,"male","18-24","2012",0.5
3,"male","18-24","2013",0.5
3,"male","18-24","2014",0.5
3,"male","18-24","2015",0.5
3,"male","18-24","2016",0.5
3,"male","18-24","2017",0.5
3,"male","18-24","2018",0.5
3,"male","18-24","2019",0.5
3,"male","18-24","2020",0.5
3,"male","18-24","2021",0.5
3,"male","18-24","2022",0.5
4,"male","18-24","2008",0.5
4,"male","18-24","2009",0.5
4,"male","18-24","2010",0.5
4,"male","18-24","2011",0.5
4,"male","18-24","2012",0.5
4,"male","18-24","2013",0.5
4,"male","18-24","2014",0.5
4,"male","18-24","2015",0.6
4,"male","18-24","2016",0.6
4,"male","18-24","2017",0.6
4,"male","18-24","2018",0.5
4,"male","18-24","2019",0.5
4,"male","18-24","2020",0.5
4,"male","18-24","2021",0.5
4,"male","18-24","2022",0.5
5,"male","18-24","2008",0.5
5,"male","18-24","2009",0.5
5,"male","18-24","2010",0.5
5,"male","18-24","2011",0.5
5,"male","18-24","2012",0.5
5,"male","18-24","2013",0.5
5,"male","18-24","2014",0.5
5,"male","18-24","2015",0.5
5,"male","18-24","2016",0.6
5,"male","18-24","2017",0.6
5,"male","18-24","2018",0.5
5,"male","18-24","2019",0.6
5,"male","18-24","2020",0.6
5,"male","18-24","2021",0.5
5,"male","18-24","2022",0.5
6,"male","18-24","2015",0.6
6,"male","18-24","2016",0.6
6,"male","18-24","2017",0.6
6,"male","18-24","2018",0.6
6,"male","18-24","2019",0.5
6,"male","18-24","2020",0.5
6,"male","18-24","2021",0.5
6,"male","18-24","2022",0.6
7,"male","18-24","2015",0.5
7,"male","18-24","2016",0.6
7,"male","18-24","2017",0.6
7,"male","18-24","2018",0.6
7,"male","18-24","2019",0.6
7,"male","18-24","2020",0.6
7,"male","18-24","2021",0.6
7,"male","18-24","2022",0.6
8,"male","18-24","2015",0.5
8,"male","18-24","2016",0.5
8,"male","18-24","2017",0.5
8,"male","18-24","2018",0.5
8,"male","18-24","2019",0.6
8,"male","18-24","2020",0.6
8,"male","18-24","2021",0.6
8,"male","18-24","2022",0.6
9,"male","18-24","2015",0.5
9,"male","18-24","2016",0.5
9,"male","18-24","2017",0.38
9,"male","18-24","2018",0.3
9,"male","18-24","2019",0.42
9,"male","18-24","2020",0.32
9,"male","18-24","2021",0.41
9,"male","18-24","2022",0.57
